"","Genotype","Locality","Rep","WeightPlant","WeightPlot","Yield"
"1","102.18","Ayac",1,0.51,5.1,18.8888888888889
"2","104.22","Ayac",1,0.345,2.76,12.7777777777778
"3","121.31","Ayac",1,0.5425,4.34,20.0925925925926
"4","141.28","Ayac",1,0.988888888888889,8.9,36.6255144032922
"5","157.26","Ayac",1,0.625,5,23.1481481481481
"6","163.9","Ayac",1,0.512,2.56,18.962962962963
"7","221.19","Ayac",1,0.496,2.48,18.3703703703704
"8","233.11","Ayac",1,1.01,10.1,37.4074074074074
"9","235.6","Ayac",1,0.825,8.25,30.5555555555556
"10","241.2","Ayac",1,0.488,4.88,18.0740740740741
"11","255.7","Ayac",1,0.58,2.32,21.4814814814815
"12","314.12","Ayac",1,0.41,1.64,15.1851851851852
"13","317.6","Ayac",1,1.00571428571429,7.04,37.2486772486773
"14","319.20","Ayac",1,0.864444444444444,7.78,32.0164609053498
"15","320.16","Ayac",1,0.706666666666667,6.36,26.1728395061728
"16","342.15","Ayac",1,0.73,4.38,27.037037037037
"17","346.2","Ayac",1,0.87,6.96,32.2222222222222
"18","351.26","Ayac",1,0.825,6.6,30.5555555555556
"19","364.21","Ayac",1,0.556,2.78,20.5925925925926
"20","402.7","Ayac",1,0.4,2.4,14.8148148148148
"21","405.2","Ayac",1,0.854,8.54,31.6296296296296
"22","406.12","Ayac",1,0.314285714285714,2.2,11.6402116402116
"23","427.7","Ayac",1,0.6875,5.5,25.462962962963
"24","450.3","Ayac",1,0.848888888888889,7.64,31.440329218107
"25","506.2","Ayac",1,0.3275,2.62,12.1296296296296
"26","Canchan","Ayac",1,0.64,6.4,23.7037037037037
"27","Desiree","Ayac",1,0.64,5.12,23.7037037037037
"28","Unica","Ayac",1,0.45875,3.67,16.9907407407407
"29","102.18","Ayac",2,0.7775,6.22,28.7962962962963
"30","104.22","Ayac",2,0.7125,5.7,26.3888888888889
"31","121.31","Ayac",2,0.7,4.9,25.9259259259259
"32","141.28","Ayac",2,0.833333333333333,7.5,30.8641975308642
"33","157.26","Ayac",2,0.597142857142857,4.18,22.1164021164021
"34","163.9","Ayac",2,0.48,2.4,17.7777777777778
"35","221.19","Ayac",2,0.3525,2.115,13.0555555555556
"36","233.11","Ayac",2,0.5125,4.1,18.9814814814815
"37","235.6","Ayac",2,0.798,7.98,29.5555555555556
"38","241.2","Ayac",2,0.428,4.28,15.8518518518519
"39","255.7","Ayac",2,0.531428571428571,3.72,19.6825396825397
"40","314.12","Ayac",2,0.68,3.4,25.1851851851852
"41","317.6","Ayac",2,0.525,4.2,19.4444444444444
"42","319.20","Ayac",2,0.633333333333333,3.8,23.4567901234568
"43","320.16","Ayac",2,0.9625,7.7,35.6481481481481
"44","342.15","Ayac",2,0.415,3.32,15.3703703703704
"45","346.2","Ayac",2,0.372,1.86,13.7777777777778
"46","351.26","Ayac",2,0.8,6.4,29.6296296296296
"47","364.21","Ayac",2,0.6875,5.5,25.462962962963
"48","402.7","Ayac",2,0.575555555555555,5.18,21.3168724279835
"49","405.2","Ayac",2,0.655555555555556,5.9,24.2798353909465
"50","406.12","Ayac",2,0.71,4.26,26.2962962962963
"51","427.7","Ayac",2,0.9,7.2,33.3333333333333
"52","450.3","Ayac",2,0.777777777777778,7,28.8065843621399
"53","506.2","Ayac",2,1,9,37.037037037037
"54","Canchan","Ayac",2,0.6,4.8,22.2222222222222
"55","Desiree","Ayac",2,0.58,4.64,21.4814814814815
"56","Unica","Ayac",2,0.844444444444444,7.6,31.2757201646091
"57","102.18","Ayac",3,0.731428571428571,5.12,27.0899470899471
"58","104.22","Ayac",3,0.68,5.44,25.1851851851852
"59","121.31","Ayac",3,0.657777777777778,5.92,24.3621399176955
"60","141.28","Ayac",3,0.757142857142857,5.3,28.042328042328
"61","157.26","Ayac",3,0.371111111111111,3.34,13.7448559670782
"62","163.9","Ayac",3,0.428571428571429,3,15.8730158730159
"63","221.19","Ayac",3,0.4,2.8,14.8148148148148
"64","233.11","Ayac",3,0.444444444444444,4,16.4609053497942
"65","235.6","Ayac",3,0.8,7.2,29.6296296296296
"66","241.2","Ayac",3,0.74,4.44,27.4074074074074
"67","255.7","Ayac",3,1,4,37.037037037037
"68","314.12","Ayac",3,0.313333333333333,0.94,11.6049382716049
"69","317.6","Ayac",3,0.625,5,23.1481481481481
"70","319.20","Ayac",3,0.59,3.54,21.8518518518519
"71","320.16","Ayac",3,0.7875,6.3,29.1666666666667
"72","342.15","Ayac",3,0.466666666666667,2.8,17.2839506172839
"73","346.2","Ayac",3,0.505555555555556,4.55,18.7242798353909
"74","351.26","Ayac",3,0.946666666666667,5.68,35.0617283950617
"75","364.21","Ayac",3,0.914285714285714,6.4,33.8624338624339
"76","402.7","Ayac",3,0.5875,4.7,21.7592592592593
"77","405.2","Ayac",3,0.8125,6.5,30.0925925925926
"78","406.12","Ayac",3,0.562222222222222,5.06,20.8230452674897
"79","427.7","Ayac",3,0.525714285714286,3.68,19.4708994708995
"80","450.3","Ayac",3,0.7,5.6,25.9259259259259
"81","506.2","Ayac",3,0.6975,5.58,25.8333333333333
"82","Canchan","Ayac",3,0.4875,3.9,18.0555555555556
"83","Desiree","Ayac",3,0.3,2.7,11.1111111111111
"84","Unica","Ayac",3,0.422222222222222,3.8,15.6378600823045
"85","102.18","LM-02",1,0.985,9.85,36.4814814814815
"86","104.22","LM-02",1,0.985,9.85,36.4814814814815
"87","121.31","LM-02",1,1.06,10.6,39.2592592592593
"88","141.28","LM-02",1,0.96,9.6,35.5555555555556
"89","157.26","LM-02",1,1.17,11.7,43.3333333333333
