"","judge","trt","evaluation"
"1",1,"t1",4
"2",2,"t1",4
"3",3,"t1",3
"4",4,"t1",3
"5",5,"t1",4
"6",6,"t1",2
"7",7,"t1",1
"8",8,"t1",2
"9",9,"t1",3.5
"10",10,"t1",4
"11",11,"t1",4
"12",12,"t1",3.5
"13",1,"t2",3
"14",2,"t2",2
"15",3,"t2",1.5
"16",4,"t2",1
"17",5,"t2",2
"18",6,"t2",2
"19",7,"t2",3
"20",8,"t2",4
"21",9,"t2",1
"22",10,"t2",1
"23",11,"t2",2
"24",12,"t2",1
"25",1,"t3",2
"26",2,"t3",3
"27",3,"t3",1.5
"28",4,"t3",2
"29",5,"t3",1
"30",6,"t3",2
"31",7,"t3",2
"32",8,"t3",1
"33",9,"t3",2
"34",10,"t3",3
"35",11,"t3",3
"36",12,"t3",2
"37",1,"t4",1
"38",2,"t4",1
"39",3,"t4",4
"40",4,"t4",4
"41",5,"t4",3
"42",6,"t4",4
"43",7,"t4",4
"44",8,"t4",3
"45",9,"t4",3.5
"46",10,"t4",2
"47",11,"t4",1
"48",12,"t4",3.5
