"","place","Day7","Day11","Day15","Day19","Day23","Day27","Day31","Day35","Day39","Day43","Day47","Day51","AUDPC","relative"
"1","Namora",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Hyo1",0,0,0,0,0,0,0,0,11.1,11.1,11.1,11.1,155.4,0.0353
"3","Hyo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","SR1",0,0,0,0,0,11.1,11.1,11.1,44.4,44.4,44.4,55.5,777,0.1766
"5","SR2",33.3,44.4,66.6,66.6,77.7,88.9,100,100,100,100,100,100,3643.4,0.828
"6","Cnt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Cnt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Cnt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Chz",0,0,0,0,0,11.1,11.1,11.1,22.2,33.3,33.3,77.77,643.94,0.1464
"10","Chmar",11.1,11.1,11.1,11.1,11.1,11.1,11.1,22.2,22.2,22.2,22.2,44.4,732.6,0.1665
"11","Hco1",22.2,22.2,22.2,22.2,22.2,22.2,22.2,44.4,55.5,55.5,55.5,55.5,1531.8,0.3481
"12","Hco2",0,0,11.1,11.1,11.1,11.1,11.1,33.3,44.4,55.5,77.7,77.73,1221.06,0.2775
"13","Hco3",11.1,11.1,11.1,11.1,11.1,22.2,33.3,33.3,55.5,55.5,55.5,77.77,1376.54,0.3129
