"","ENV","GEN","YLD"
"1","A1",1,17.623333
"2","A1",2,26.983333
"3","A1",3,23.55
"4","A1",4,24.503333
"5","A1",5,14.106667
"6","A1",6,32.276667
"7","A1",7,34.34
"8","A1",8,30.846667
"9","A1",9,27.376667
"10","A1",10,20.243333
"11","A1",11,35.606667
"12","A1",12,35.34
"13","A1",13,36.69
"14","A1",14,42.47
"15","A1",15,27.313333
"16","A1",16,17.383333
"17","A1",17,20.12
"18","A1",18,23.026667
"19","A1",19,18.546667
"20","A1",20,12.656667
"21","A1",21,22.733333
"22","A1",22,21.583333
"23","A1",23,29.393333
"24","A1",24,27.443333
"25","A1",25,18.89
"26","A1",26,17.13
"27","A1",27,31.05
"28","A1",28,14.31
"29","A1",29,17.816667
"30","A1",30,19.866667
"31","A1",31,22.463333
"32","A1",32,35.673333
"33","A1",33,25.596667
"34","A1",34,22.223333
"35","A1",35,27.443333
"36","A1",36,13.986667
"37","A1",37,41.51
"38","A1",38,22.87
"39","A1",39,23.203333
"40","A1",40,27.1
"41","A1",41,14.6
"42","A1",42,18.583333
"43","A1",43,15.99
"44","A1",44,15.416667
"45","A1",45,22.033333
"46","A1",46,15.716667
"47","A1",47,28.356667
"48","A1",48,22.24
"49","A1",49,21.843333
"50","A1",50,24.256667
"51","A2",1,17.216667
"52","A2",2,13.53
"53","A2",3,17.733333
"54","A2",4,20.08
"55","A2",5,13.69
"56","A2",6,16.62
"57","A2",7,17.986667
"58","A2",8,18.923333
"59","A2",9,14.436667
"60","A2",10,13.493333
"61","A2",11,19.29
"62","A2",12,15.406667
"63","A2",13,17.623333
"64","A2",14,21.623333
"65","A2",15,18.986667
"66","A2",16,12.826667
"67","A2",17,15.513333
"68","A2",18,17.916667
"69","A2",19,19.7
"70","A2",20,9.933333
"71","A2",21,17.206667
"72","A2",22,15.666667
"73","A2",23,15.97
"74","A2",24,18.56
"75","A2",25,12.07
"76","A2",26,10.216667
"77","A2",27,18.783333
"78","A2",28,17.81
"79","A2",29,14.2
"80","A2",30,13.886667
"81","A2",31,9.9
"82","A2",32,17.096667
"83","A2",33,18.366667
"84","A2",34,14.19
"85","A2",35,15.706667
"86","A2",36,13.946667
"87","A2",37,22.75
"88","A2",38,19.313333
"89","A2",39,13.893333
"90","A2",40,18.786667
"91","A2",41,14.783333
"92","A2",42,20.02
"93","A2",43,17.4
"94","A2",44,13.086667
"95","A2",45,17.18
"96","A2",46,14.446667
"97","A2",47,17.483333
"98","A2",48,26.13
"99","A2",49,18.663333
"100","A2",50,17.013333
"101","A3",1,82.853333
"102","A3",2,73.836667
"103","A3",3,71.78
"104","A3",4,79.706667
"105","A3",5,65.74
"106","A3",6,91.806667
"107","A3",7,72.823333
"108","A3",8,91.75
"109","A3",9,100.796667
"110","A3",10,86.553333
"111","A3",11,73.083333
"112","A3",12,72.486667
"113","A3",13,91.063333
"114","A3",14,98.963333
"115","A3",15,82.953333
"116","A3",16,72.726667
"117","A3",17,68.16
"118","A3",18,74.816667
"119","A3",19,89.593333
"120","A3",20,67.173333
"121","A3",21,85.926667
"122","A3",22,63.93
"123","A3",23,81.68
"124","A3",24,87.62
"125","A3",25,73.733333
"126","A3",26,82.68
"127","A3",27,84.146667
"128","A3",28,84.95
"129","A3",29,87.65
"130","A3",30,79.156667
"131","A3",31,70.636667
"132","A3",32,66.08
"133","A3",33,79.746667
"134","A3",34,81.976667
"135","A3",35,79.153333
"136","A3",36,73.423333
"137","A3",37,81.496667
"138","A3",38,88.413333
"139","A3",39,76.703333
"140","A3",40,76.486667
"141","A3",41,65.33
"142","A3",42,77.516667
"143","A3",43,90.433333
"144","A3",44,79.436667
"145","A3",45,72.843333
"146","A3",46,58.09
"147","A3",47,70.513333
"148","A3",48,74.076667
"149","A3",49,61.64
"150","A3",50,77.326667
"151","A4",1,77.053333
"152","A4",2,64.486667
"153","A4",3,57.06
"154","A4",4,88.266667
"155","A4",5,59.136667
"156","A4",6,100.513333
"157","A4",7,96.8
"158","A4",8,82.776667
"159","A4",9,126.08
"160","A4",10,99.303333
"161","A4",11,93.996667
"162","A4",12,105.096667
"163","A4",13,115.903333
"164","A4",14,125.923333
"165","A4",15,103.663333
"166","A4",16,100.566667
"167","A4",17,83.683333
"168","A4",18,83.28
"169","A4",19,98.24
"170","A4",20,56.983333
"171","A4",21,108.853333
"172","A4",22,98.926667
"173","A4",23,79.62
"174","A4",24,93.376667
"175","A4",25,81.486667
"176","A4",26,86.38
"177","A4",27,108.546667
"178","A4",28,119.466667
"179","A4",29,108.406667
"180","A4",30,126.466667
"181","A4",31,87.7
"182","A4",32,93.793333
"183","A4",33,97.543333
"184","A4",34,117.64
"185","A4",35,84.62
"186","A4",36,90.733333
"187","A4",37,98.923333
"188","A4",38,101
"189","A4",39,100.316667
"190","A4",40,100.996667
"191","A4",41,84.173333
"192","A4",42,98.856667
"193","A4",43,101.753333
"194","A4",44,86.796667
"195","A4",45,99.4
"196","A4",46,77.476667
"197","A4",47,104.583333
"198","A4",48,94.516667
"199","A4",49,80.753333
"200","A4",50,85.18
"201","A5",1,28.94
"202","A5",2,27.71
"203","A5",3,28.566667
"204","A5",4,33.336667
"205","A5",5,23.396667
"206","A5",6,31.123333
"207","A5",7,34.083333
"208","A5",8,29.486667
"209","A5",9,35.07
"210","A5",10,26.006667
"211","A5",11,35.863333
"212","A5",12,34.256667
"213","A5",13,26.973333
"214","A5",14,31.506667
"215","A5",15,30.186667
"216","A5",16,39.466667
"217","A5",17,29.793333
"218","A5",18,48.006667
"219","A5",19,34.51
"220","A5",20,37.496667
"221","A5",21,32.76
"222","A5",22,30.746667
"223","A5",23,33.333333
"224","A5",24,31.64
"225","A5",25,35.246667
"226","A5",26,26.933333
"227","A5",27,37.036667
"228","A5",28,38.533333
"229","A5",29,28.276667
"230","A5",30,28.706667
"231","A5",31,30.38
"232","A5",32,38.3
"233","A5",33,29.166667
"234","A5",34,29.3
"235","A5",35,32.86
"236","A5",36,32.3
"237","A5",37,36.38
"238","A5",38,33.983333
"239","A5",39,35.803333
"240","A5",40,31.686667
"241","A5",41,36.683333
"242","A5",42,36.016667
"243","A5",43,37.49
"244","A5",44,39.443333
"245","A5",45,39.74
"246","A5",46,29.25
"247","A5",47,28.91
"248","A5",48,33.963333
"249","A5",49,35.566667
"250","A5",50,26.77
