"","place","slime","height"
"1","L1",6,9.4
"2","L1",7,9.2
"3","L1",7,10.2
"4","L1",6,12.5
"5","L1",10,12.2
"6","L1",9,10.5
"7","L1",17,12.1
"8","L1",17,10.2
"9","L1",17,11.4
"10","L1",18,10.1
"11","L1",5,10.1
"12","L1",5,8.7
"13","L1",7,8.5
"14","L1",5,6.5
"15","L1",7,9.6
"16","L2",11,10.8
"17","L2",11,11.7
"18","L2",13,11.5
"19","L2",6,11.7
"20","L2",6,11
"21","L2",15,11.9
"22","L2",14,11.3
"23","L2",14,11.7
"24","L2",10,10.5
"25","L2",10,10.7
"26","L2",7,11.6
"27","L2",9,12.4
"28","L2",11,11.8
"29","L2",7,12.4
"30","L2",12,12.5
