"","locality","site","dose","entry","replication","height","stalks","wfr","wff","wfk","roots","FOS","glucose","fructose","sucrose","brix","foliage","dry","IH"
"1","CAJ",1,"F0","P1385",1,57.9,3.2,6700,3600,5490,21.9,60.2,1.74,5,26.66,14.8,25.6,15.6,0.3469
"2","CAJ",1,"F0","P1385",2,62.1,3,6450,2500,3800,21.3,60.4,1.5,4.5,28.84,15.7,27.2,17,0.3257
"3","CAJ",1,"F0","P1385",3,53.7,2.6,7550,2450,5360,21.8,54.5,2.14,9.3,27.06,14.3,30,15.9,0.3221
"4","CAJ",1,"F80","P1385",1,55.8,3.7,4120,2940,3580,17.7,58.5,2.5,8.1,25.6,12.4,27.6,13.7,0.2999
"5","CAJ",1,"F80","P1385",2,61.5,3,7150,4000,4560,16.8,44.2,2.8,10.6,27.9,13,27.5,14.5,0.2859
"6","CAJ",1,"F80","P1385",3,66.5,3.6,7520,4450,5180,17.3,50.3,3,13.1,27.2,13.3,22,15.1,0.3187
"7","CAJ",1,"F150","P1385",1,68,3.1,6700,3600,5490,17.3,49.6,2.6,9.9,32.2,13.4,24.6,19.4,0.2821
"8","CAJ",1,"F150","P1385",2,52.8,5.6,6450,2500,3800,16.4,42,4.2,14.7,30.9,12.4,26.5,16.5,0.2759
"9","CAJ",1,"F150","P1385",3,60.5,3.4,7550,2450,5360,19.6,57.5,1.79,7.75,27.96,15.1,25.8,21.5,0.2934
"10","CAJ",1,"F0","AMM5150",1,70.5,3,9420,2520,4650,22.8,67.6,1.5,1.5,20.86,15.9,28.7,18.2,0.3273
"11","CAJ",1,"F0","AMM5150",2,60.4,3.4,6500,3360,4320,23.6,59.1,1.75,6.65,23.6,16.1,28.8,17.3,0.3384
"12","CAJ",1,"F0","AMM5150",3,72.3,3.9,6600,3100,2880,22.7,65.3,1.5,4.3,24.04,15.9,27.2,20.2,0.3244
"13","CAJ",1,"F80","AMM5150",1,75.2,3.3,9200,3600,8480,17.8,55.6,3.05,10.95,23.4,13.3,28.5,17.1,0.281
"14","CAJ",1,"F80","AMM5150",2,77.1,2.6,10120,4050,9200,18.5,61.8,1.57,4.15,25.88,14.1,28.9,13.7,0.3032
"15","CAJ",1,"F80","AMM5150",3,82.3,2.7,6280,4150,8850,17.6,59.1,2.04,7.6,25.16,14,25.6,17.5,0.2896
"16","CAJ",1,"F150","AMM5150",1,70.4,5.1,6920,2900,6190,18.4,57.2,1.79,8.55,26.26,14.8,31,22.5,0.2561
"17","CAJ",1,"F150","AMM5150",2,70.1,4,6150,2100,12710,18,54.8,2.8,11.8,25.6,14,34.5,20.1,0.2484
"18","CAJ",1,"F150","AMM5150",3,66.7,3.7,7000,2900,15500,19.4,60.5,2,6.8,24.9,14.9,28.3,19.8,0.2871
"19","CAJ",1,"F0","ARB5125 ",1,27.6,2.2,2720,1440,2140,18.9,52.2,3.72,6.69999999999999,29.88,12,35.4,14.8,0.2734
"20","CAJ",1,"F0","ARB5125 ",2,35,3.2,3500,2140,1450,19.4,52.9,4.47,7.45,29.38,12.5,32.5,13.6,0.2963
"21","CAJ",1,"F0","ARB5125 ",3,30.3,2.4,2170,1450,2470,20.6,55.4,2.18,8.2,25.32,13,30.4,14.8,0.3127
"22","CAJ",1,"F80","ARB5125 ",1,32,3.4,2000,1920,3130,14.9,45.6,4.88,12.9,28.32,11,32.3,12.6,0.2486
"23","CAJ",1,"F80","ARB5125 ",2,34.1,2.7,5500,2460,4880,14.8,47.4,4.62,9.6,29.88,11.1,32.9,11.8,0.249
"24","CAJ",1,"F80","ARB5125 ",3,24.1,3.1,1900,2000,2200,14.6,43.7,5.69,14.95,28.56,11,25.2,11.8,0.2826
"25","CAJ",1,"F150","ARB5125 ",1,36.8,3,5220,2000,6540,16.2,56,4.18,5.3,25.92,12.3,30.2,16.9,0.2566
"26","CAJ",1,"F150","ARB5125 ",2,34.1,3.2,3850,1400,5900,17.2,58.1,2.99,3.65,28.56,13.2,39.3,17.4,0.2332
"27","CAJ",1,"F150","ARB5125 ",3,38.1,3.5,7000,2180,6220,16.4,50.9,6.34,8.5,25.56,12.8,25,16.5,0.2838
"28","CAJ",1,"F0","AKW5075 ",1,60.5,4.2,5550,2470,2470,22.3,66.8,1.5,2.65000000000001,24.68,15,26.1,17.8,0.3367
"29","CAJ",1,"F0","AKW5075 ",2,69.3,3.7,7120,3560,3560,22.8,67.6,1.5,3.40000000000001,23.18,12.2,26.8,16.2,0.3462
"30","CAJ",1,"F0","AKW5075 ",3,60.7,4.3,6100,3485,3485,22.2,66.5,1.5,2.2,25.42,16,22.7,19.3,0.3457
"31","CAJ",1,"F80","AKW5075 ",1,57.6,5.3,5860,3000,7900,16.8,34.8,3.5,14.3,29.2,13,28.9,15.5,0.2743
"32","CAJ",1,"F80","AKW5075 ",2,62.6,4.6,5500,3580,7600,18.1,50,2.9,11.4,27.9,14,27.5,14.9,0.299
"33","CAJ",1,"F80","AKW5075 ",3,67.2,5.1,7280,3680,8280,18.1,58.3,2.37,7.05,23.78,14,24.5,15.4,0.3123
"34","CAJ",1,"F150","AKW5075 ",1,59.1,4.6,5000,2450,8400,18.3,60.4,2.38,7.1,24.32,13.9,27.4,18.4,0.2853
"35","CAJ",1,"F150","AKW5075 ",2,51.3,6.9,4650,2700,6900,15.8,45.8,3.3,17.3,27.9,12.1,30.2,16.8,0.2523
"36","CAJ",1,"F150","AKW5075 ",3,57.9,4.3,3380,2460,6400,19.1,62.5,1.83,5.15000000000001,23.32,15,24.7,17.9,0.3095
"37","CAJ",1,"F0","AMM5136",1,47.3,3.3,2620,2210,2200,20.5,57.2,2.06,6.9,26.14,13.7,28.6,16.7,0.3114
"38","CAJ",1,"F0","AMM5136",2,56.8,4,5150,3480,3380,20.7,59.9,1.5,4.75,28.86,14,26,17.1,0.3242
"39","CAJ",1,"F0","AMM5136",3,54.1,4.2,4340,3580,3000,21,60.1,1.5,4.2,29.4,14.1,22.6,17.7,0.3421
"40","CAJ",1,"F80","AMM5136",1,64.1,3.4,8650,4840,6580,17.5,58,2.4,7.3,26.8,13,25.9,15.7,0.2958
"41","CAJ",1,"F80","AMM5136",2,61,3.3,5660,4860,5980,16.4,53.6,2.8,11.3,25,13,24.5,16,0.2879
"42","CAJ",1,"F80","AMM5136",3,46,3.2,3420,3500,2900,15.3,43.1,4.7,18,28.1,11.5,23.9,16.3,0.2756
"43","CAJ",1,"F150","AMM5136",1,57.3,4.3,4180,2900,4800,16.3,44.4,4.3,12.8,32.5,12.3,24.9,19.7,0.2682
"44","CAJ",1,"F150","AMM5136",2,42.3,2.8,2050,1200,1600,17.7,59.4,1.5,1.5,30.24,13.5,29.6,17.6,0.273
"45","CAJ",1,"F150","AMM5136",3,46.6,3.8,2700,2140,2350,17.8,55.1,2.43,1.95000000000001,32.02,13.4,26.7,17.2,0.2885
"46","CAJ",1,"F0","SAL136",1,35.2,3.7,5950,1900,1650,20.1,62.3,1.64,2.1,27.66,12.9,33.8,16.2,0.2874
"47","CAJ",1,"F0","SAL136",2,34.4,3.4,7750,1970,2630,18.7,55.2,2.88,5,29.82,14.3,30.4,11.5,0.3085
"48","CAJ",1,"F0","SAL136",3,29.4,1.8,3000,1430,970,19.5,56.4,2.45,6.45,27.8,12.3,30.3,13.2,0.3098
"49","CAJ",1,"F80","SAL136",1,35.5,3.7,4500,3000,3840,16.4,51.3,3.75,8.55,29.8,12,25.2,19.4,0.2693
"50","CAJ",1,"F80","SAL136",2,32.3,2.2,4250,2000,1830,15.1,42.6,3.6,14,31.3,11.4,26.6,16.5,0.2601
"51","CAJ",1,"F80","SAL136",3,33.9,3.3,4500,2580,2290,17.1,54,2.83,7.15,30.02,12.8,28.8,21.5,0.2534
"52","CAJ",1,"F150","SAL136",1,42.7,3.9,7300,2350,3900,16.3,58.8,1.5,1.5,21.2,12.3,30.6,17.6,0.2527
"53","CAJ",1,"F150","SAL136",2,31.7,2.7,6100,1500,3380,16.1,57.1,2.63,5.45,28.32,12.3,36.8,15.9,0.2335
"54","CAJ",1,"F150","SAL136",3,28.1,3.2,6240,1750,3080,16.5,58.8,2.7,6.3,24.1,12.4,31.2,14.8,0.264
"55","CAJ",1,"F0","AMM5163",1,64.1,4,5980,3000,3450,22,65,1.5,4.25,24.96,15.2,25.4,18.7,0.3326
"56","CAJ",1,"F0","AMM5163",2,65.5,4.3,7770,3630,4100,21.5,59.5,1.8,6.3,26.9,15.3,29.2,15.2,0.3256
"57","CAJ",1,"F0","AMM5163",3,55.1,3.4,3480,2750,1600,23,67.3,1.5,2.7,24.3,15.2,26.4,17.3,0.3453
"58","CAJ",1,"F80","AMM5163",1,64.2,3.3,7600,3390,4430,17.3,57.6,1.72,7.5,25.78,13.3,26.1,16.9,0.2866
"59","CAJ",1,"F80","AMM5163",2,76,3.5,8300,4000,6000,18.4,64.1,1.5,3.6,25.98,14.4,24.3,19.4,0.2965
"60","CAJ",1,"F80","AMM5163",3,66.6,3.6,7900,4100,6080,19.3,59.6,1.5,4.24999999999999,29.88,15.5,26.7,18,0.3014
"61","CAJ",1,"F150","AMM5163",1,68.7,5.1,5640,2900,6750,18.5,63.6,2.06,3.3,25.34,14.1,26.6,20.3,0.2824
"62","CAJ",1,"F150","AMM5163",2,69,5.6,7500,2800,6100,17.9,51.8,3.1,10.3,26,14.3,33.5,21.8,0.2451
"63","CAJ",1,"F150","AMM5163",3,42.4,3.3,6250,3050,5200,19.6,60.4,1.82,5.60000000000001,23.38,15.3,25.1,20.1,0.3024
"64","CAJ",1,"F0","CLLUNC118",1,37.5555555555556,2.4,2150,1490,1500,19.3,45.4,3.78,8.4,36.52,12.5,26.7,12.5,0.3301
"65","CAJ",1,"F0","CLLUNC118",2,35.2,2.2,3520,1500,1550,18.2,37.5,4.5,14.6,36.4,11.3,32.7,17.7,0.2655
"66","CAJ",1,"F0","CLLUNC118",3,33.7,2.1,3450,1550,1440,19.7,41.9,3.9,13.7,34.8,12.5,24.2,14.3,0.3388
"67","CAJ",1,"F80","CLLUNC118",1,39.6,2.8,5480,2350,4540,14.8,43.7,4.8,9.6,34,10.9,29.2,11.6,0.2656
"68","CAJ",1,"F80","CLLUNC118",2,35.7,2.7,1600,2050,3140,15.3,39.6,5.6,12.3,31.8,11,28.3,12.3,0.2732
"69","CAJ",1,"F80","CLLUNC118",3,33.7,2.1,1300,1500,1630,15.9,50.4,4.1,6.4,31.5,12,25.7,13.7,0.288
"70","CAJ",1,"F150","CLLUNC118",1,29.8,2.4,3550,1350,3000,15.7,38.5,5.1,15,31.3,11.4,26.5,14.1,0.2792
