"","yes","no","x","w","class"
"1",20,0,0.70199765701471,"0",3
"2",0,20,-0.77781312734778,"0",1
"3",2,18,-1.0240757344219,"1",2
"4",0,20,0.30276682480784,"0",1
"5",18,2,0.351139380549992,"1",3
"6",1,19,0.898595882188069,"0",1
"7",19,1,0.776430895932274,"1",2
"8",0,20,0.632252790323813,"1",1
"9",19,1,0.458488323279173,"0",2
"10",0,20,-1.10736420257088,"1",1
"11",12,8,-0.338248450440791,"0",2
"12",19,1,0.897880568968978,"0",2
"13",0,20,-0.597183718948876,"1",1
"14",18,2,0.634669675021114,"0",3
"15",0,20,0.248300578646599,"1",1
"16",1,19,0.0470636625286458,"0",1
"17",13,7,-0.345292908196108,"0",2
"18",11,9,-0.11844641597425,"0",2
"19",17,3,0.564505700894779,"0",2
"20",1,19,-0.382621041610191,"1",1
"21",17,3,0.369857968172758,"0",2
"22",7,13,-0.666848801555316,"0",2
"23",15,5,-0.0289553401972789,"0",2
"24",18,2,0.250673620447132,"1",2
"25",0,20,0.107385178058316,"0",1
"26",7,13,-0.382216228205902,"0",2
"27",0,20,-0.305258104562659,"1",1
"28",0,20,-0.648244470710493,"1",1
"29",20,0,1.19453791241885,"1",3
"30",11,9,-0.195702782801748,"0",2
"31",18,2,1.8875609156084,"1",3
"32",19,1,-0.19073193319601,"1",3
"33",17,3,0.944556322350338,"0",2
"34",10,10,-0.404465189656431,"0",2
"35",20,0,2.73599714509543,"0",2
"36",1,19,-0.125507266543864,"1",1
"37",9,11,-0.506017477572732,"0",2
"38",18,2,-0.166264142279431,"1",3
"39",19,1,1.31452246317013,"0",2
"40",20,0,1.72042024525364,"1",3
"41",17,3,-0.873279674273223,"1",3
"42",20,0,1.88324232491835,"1",3
"43",20,0,1.50787385760466,"0",2
"44",1,19,-0.0410355863798387,"1",1
"45",4,16,-1.34696478260575,"0",2
"46",19,1,-1.21629776580372,"1",3
"47",18,2,0.736027406624011,"0",2
"48",0,20,-2.85078851898343,"0",2
"49",0,20,-1.00821260589548,"0",1
"50",17,3,0.376098343180898,"0",2
"51",1,19,-1.20866771027859,"1",2
"52",19,1,0.666105152887302,"0",2
"53",17,3,0.382256973393088,"0",2
"54",20,0,0.26500699585484,"1",3
"55",6,14,-0.785964526288344,"0",2
"56",0,20,-0.13523499838197,"0",1
"57",20,0,-0.229778357685059,"0",3
"58",15,5,-0.183390900578142,"0",2
"59",20,0,-0.184933655259818,"1",3
"60",18,2,-0.518422610834376,"1",3
"61",20,0,-0.121652641485426,"1",3
"62",18,2,0.900265207395853,"0",2
"63",20,0,-0.54553084453979,"1",3
"64",0,20,-0.173316629157886,"1",1
"65",18,2,-1.45276094031662,"1",3
"66",1,19,-1.55850327649163,"0",2
"67",0,20,-0.487209881899929,"1",1
"68",11,9,-0.265966543155121,"0",2
"69",20,0,-0.0880519321693579,"1",3
"70",7,13,-0.455565443971859,"0",2
"71",20,0,0.695221455932628,"1",3
"72",1,19,0.484862685760377,"0",1
"73",10,10,-0.356332786475012,"0",2
"74",18,2,1.0021023866822,"1",3
"75",19,1,2.39737449176572,"0",3
"76",20,0,1.62729553510238,"1",2
"77",18,2,1.11117496097829,"0",3
"78",20,0,-0.0228698906231185,"1",3
"79",20,0,1.3586486382195,"1",2
"80",19,1,-0.0346574896162387,"0",3
"81",19,1,-2.101755485653,"1",3
"82",15,5,0.137418622139653,"0",2
"83",19,1,0.0807145881886038,"1",3
"84",0,20,-0.731701103629664,"0",1
"85",1,19,-0.820645178766717,"1",1
"86",19,1,1.28279985390934,"0",2
"87",2,18,0.35031789137185,"0",1
"88",19,1,-0.0306065630274587,"0",3
"89",0,20,-2.05396570468317,"0",2
"90",19,1,1.96079470538925,"1",3
"91",19,1,1.08336056135325,"1",3
"92",0,20,-0.606419561900297,"0",1
"93",19,1,2.79348114765498,"1",3
"94",18,2,-0.840421284917495,"0",3
"95",20,0,1.55089984040245,"0",2
"96",1,19,1.20149881316881,"1",1
"97",1,19,0.795555785158817,"1",1
"98",17,3,-0.0102375433940408,"1",2
"99",14,6,-0.182203063258748,"0",2
"100",4,16,-1.25826525756032,"0",2
"101",0,20,-2.11095308922628,"0",1
"102",19,1,-1.22065761619367,"0",3
"103",17,3,-0.0176011673156789,"1",2
"104",18,2,2.06012135115069,"1",3
"105",18,2,0.648911630815423,"1",3
