"","Dead","Dose"
"1",1,4.8
"2",1,4.8
"3",1,4.8
"4",1,4.8
"5",1,4.8
"6",1,4.8
"7",1,4.8
"8",1,4.8
"9",1,4.9
"10",1,4.9
"11",1,4.9
"12",1,4.9
"13",1,4.9
"14",1,4.9
"15",1,4.9
"16",1,4.9
"17",1,4.9
"18",1,4.9
"19",1,4.9
"20",1,4.9
"21",1,4.9
"22",1,4.9
"23",1,4.9
"24",1,4.9
"25",1,4.9
"26",1,4.9
"27",1,5
"28",1,5
"29",1,5
"30",1,5
"31",1,5
"32",1,5
"33",1,5
"34",1,5
"35",1,5
"36",1,5
"37",1,5
"38",1,5
"39",1,5
"40",1,5
"41",1,5
"42",1,5
"43",1,5
"44",1,5
"45",1,5.1
"46",1,5.1
"47",1,5.1
"48",1,5.1
"49",1,5.1
"50",1,5.1
"51",1,5.1
"52",1,5.1
"53",1,5.1
"54",1,5.1
"55",1,5.1
"56",1,5.1
"57",1,5.1
"58",1,5.1
"59",1,5.1
"60",1,5.1
"61",1,5.1
"62",1,5.1
"63",1,5.1
"64",1,5.1
"65",1,5.1
"66",1,5.1
"67",1,5.2
"68",1,5.2
"69",1,5.2
"70",1,5.2
"71",1,5.2
"72",1,5.2
"73",1,5.2
"74",1,5.2
"75",1,5.2
"76",1,5.2
"77",1,5.2
"78",1,5.2
"79",1,5.2
"80",1,5.2
"81",1,5.2
"82",1,5.2
"83",1,5.2
"84",1,5.2
"85",1,5.2
"86",1,5.2
"87",1,5.2
"88",1,5.2
"89",1,5.2
"90",1,5.2
"91",1,5.2
"92",1,5.2
"93",1,5.2
"94",1,5.2
"95",1,5.2
"96",1,5.2
"97",1,5.2
"98",1,5.2
"99",1,5.2
"100",1,5.2
"101",1,5.2
"102",1,5.2
"103",1,5.2
"104",1,5.3
"105",1,5.3
"106",1,5.3
"107",1,5.3
"108",1,5.3
"109",1,5.3
"110",1,5.3
"111",1,5.3
"112",1,5.3
"113",1,5.3
"114",1,5.3
"115",1,5.3
"116",1,5.3
"117",1,5.3
"118",1,5.3
"119",1,5.3
"120",1,5.3
"121",1,5.3
"122",1,5.3
"123",1,5.3
"124",1,5.3
"125",1,5.3
"126",1,5.3
"127",1,5.3
"128",1,5.3
"129",1,5.3
"130",1,5.3
"131",1,5.3
"132",1,5.3
"133",1,5.3
"134",1,5.3
"135",1,5.3
"136",1,5.3
"137",1,5.3
"138",1,5.3
"139",1,5.3
"140",1,5.3
"141",1,5.3
"142",1,5.3
"143",1,5.3
"144",1,5.3
"145",1,5.3
"146",1,5.3
"147",1,5.3
"148",1,5.3
"149",1,5.3
"150",1,5.3
"151",1,5.4
"152",1,5.4
"153",1,5.4
"154",1,5.4
"155",1,5.4
"156",1,5.4
"157",1,5.4
"158",1,5.4
"159",1,5.4
"160",1,5.4
"161",1,5.4
"162",1,5.4
"163",1,5.4
"164",1,5.4
"165",1,5.4
"166",1,5.4
"167",1,5.4
"168",1,5.4
"169",1,5.4
"170",1,5.4
"171",1,5.4
"172",1,5.4
"173",1,5.4
"174",1,5.4
"175",1,5.4
"176",1,5.4
"177",1,5.4
"178",1,5.4
"179",1,5.4
"180",1,5.4
"181",1,5.4
"182",1,5.4
"183",1,5.4
"184",1,5.4
"185",1,5.4
"186",1,5.4
"187",1,5.4
"188",1,5.4
"189",1,5.4
"190",1,5.4
"191",1,5.4
"192",1,5.4
"193",1,5.4
"194",1,5.4
"195",1,5.4
"196",1,5.4
"197",1,5.4
"198",1,5.4
"199",1,5.4
"200",1,5.4
"201",0,4.7
"202",0,4.7
"203",0,4.7
"204",0,4.7
"205",0,4.7
"206",0,4.7
"207",0,4.7
"208",0,4.7
"209",0,4.7
"210",0,4.7
"211",0,4.7
"212",0,4.7
"213",0,4.7
"214",0,4.7
"215",0,4.7
"216",0,4.7
"217",0,4.7
"218",0,4.7
"219",0,4.7
"220",0,4.7
"221",0,4.7
"222",0,4.7
"223",0,4.7
"224",0,4.7
"225",0,4.7
"226",0,4.7
"227",0,4.7
"228",0,4.7
"229",0,4.7
"230",0,4.7
"231",0,4.7
"232",0,4.7
"233",0,4.7
"234",0,4.7
"235",0,4.7
"236",0,4.7
"237",0,4.7
"238",0,4.7
"239",0,4.7
"240",0,4.7
"241",0,4.7
"242",0,4.7
"243",0,4.7
"244",0,4.7
"245",0,4.7
"246",0,4.7
"247",0,4.7
"248",0,4.7
"249",0,4.7
"250",0,4.7
"251",0,4.7
"252",0,4.7
"253",0,4.7
"254",0,4.7
"255",0,4.7
"256",0,4.8
"257",0,4.8
"258",0,4.8
"259",0,4.8
"260",0,4.8
"261",0,4.8
"262",0,4.8
"263",0,4.8
"264",0,4.8
"265",0,4.8
"266",0,4.8
"267",0,4.8
"268",0,4.8
"269",0,4.8
"270",0,4.8
"271",0,4.8
"272",0,4.8
"273",0,4.8
"274",0,4.8
"275",0,4.8
"276",0,4.8
"277",0,4.8
"278",0,4.8
"279",0,4.8
"280",0,4.8
"281",0,4.8
"282",0,4.8
"283",0,4.8
"284",0,4.8
"285",0,4.8
"286",0,4.8
"287",0,4.8
"288",0,4.8
"289",0,4.8
"290",0,4.8
"291",0,4.8
"292",0,4.8
"293",0,4.8
"294",0,4.8
"295",0,4.8
"296",0,4.8
"297",0,4.9
"298",0,4.9
"299",0,4.9
"300",0,4.9
"301",0,4.9
"302",0,4.9
"303",0,4.9
"304",0,4.9
"305",0,4.9
"306",0,4.9
"307",0,4.9
"308",0,4.9
"309",0,4.9
"310",0,4.9
"311",0,4.9
"312",0,4.9
"313",0,4.9
"314",0,4.9
"315",0,4.9
"316",0,4.9
"317",0,4.9
"318",0,4.9
"319",0,4.9
"320",0,4.9
"321",0,4.9
"322",0,4.9
"323",0,4.9
"324",0,4.9
"325",0,4.9
"326",0,4.9
"327",0,4.9
"328",0,4.9
"329",0,4.9
"330",0,4.9
"331",0,4.9
"332",0,4.9
"333",0,4.9
"334",0,4.9
"335",0,4.9
"336",0,4.9
"337",0,4.9
"338",0,4.9
"339",0,5
"340",0,5
"341",0,5
"342",0,5
"343",0,5
"344",0,5
"345",0,5
"346",0,5
"347",0,5
"348",0,5
"349",0,5
"350",0,5
"351",0,5
"352",0,5
"353",0,5
"354",0,5
"355",0,5
"356",0,5
"357",0,5
"358",0,5
"359",0,5
"360",0,5
"361",0,5
"362",0,5
"363",0,5
"364",0,5
"365",0,5
"366",0,5
"367",0,5
"368",0,5
"369",0,5
"370",0,5
"371",0,5
"372",0,5
"373",0,5
"374",0,5
"375",0,5
"376",0,5.1
"377",0,5.1
"378",0,5.1
"379",0,5.1
"380",0,5.1
"381",0,5.1
"382",0,5.1
"383",0,5.1
"384",0,5.1
"385",0,5.1
"386",0,5.1
"387",0,5.1
"388",0,5.1
"389",0,5.1
"390",0,5.1
"391",0,5.1
"392",0,5.1
"393",0,5.1
"394",0,5.1
"395",0,5.1
"396",0,5.1
"397",0,5.1
"398",0,5.1
"399",0,5.1
"400",0,5.1
"401",0,5.1
"402",0,5.1
"403",0,5.1
"404",0,5.1
"405",0,5.1
"406",0,5.1
"407",0,5.2
"408",0,5.2
"409",0,5.2
"410",0,5.2
"411",0,5.2
"412",0,5.2
"413",0,5.2
"414",0,5.2
"415",0,5.2
"416",0,5.2
"417",0,5.2
"418",0,5.2
"419",0,5.2
"420",0,5.2
"421",0,5.2
"422",0,5.2
"423",0,5.3
"424",0,5.3
"425",0,5.3
"426",0,5.3
