"","Response","Total","Drug","Site"
"1",0,15,"Control","1"
"2",6,38,"Control","2"
"3",3,21,"Control","3"
"4",2,17,"Control","4"
"5",2,21,"Control","5"
"6",2,12,"Control","6"
"7",10,52,"Control","7"
"8",2,19,"Control","8"
"9",0,15,"Control","9"
"10",2,29,"Control","10"
"11",2,20,"Control","11"
"12",1,12,"Control","12"
"13",5,24,"Control","13"
"14",2,13,"Control","14"
"15",11,14,"Control","15"
"16",4,52,"Control","16"
"17",0,20,"Control","17"
"18",0,21,"Control","18"
"19",1,49,"Control","19"
"20",1,14,"Control","20"
"21",1,14,"Control","21"
"22",0,21,"Control","22"
"23",0,15,"New","1"
"24",0,39,"New","2"
"25",1,21,"New","3"
"26",1,15,"New","4"
"27",1,21,"New","5"
"28",0,12,"New","6"
"29",3,52,"New","7"
"30",0,19,"New","8"
"31",1,15,"New","9"
"32",2,28,"New","10"
"33",0,19,"New","11"
"34",0,12,"New","12"
"35",0,24,"New","13"
"36",2,12,"New","14"
"37",0,14,"New","15"
"38",0,53,"New","16"
"39",0,20,"New","17"
"40",0,21,"New","18"
"41",1,51,"New","19"
"42",0,13,"New","20"
"43",0,13,"New","21"
"44",0,21,"New","22"
