"","Remaining","Total","Replicate","Species"
"1",25,50,"1","Castaneum"
"2",26,50,"1","Castaneum"
"3",26,50,"1","Castaneum"
"4",29,50,"2","Castaneum"
"5",28,50,"2","Castaneum"
"6",27,50,"2","Castaneum"
"7",26,50,"3","Castaneum"
"8",20,50,"3","Castaneum"
"9",14,50,"3","Castaneum"
"10",24,50,"1","Confusum"
"11",14,50,"1","Confusum"
"12",24,50,"1","Confusum"
"13",14,50,"2","Confusum"
"14",13,50,"2","Confusum"
"15",19,50,"2","Confusum"
"16",10,50,"3","Confusum"
"17",7,50,"3","Confusum"
"18",14,50,"3","Confusum"
"19",15,50,"1","Madens"
"20",26,50,"1","Madens"
"21",32,50,"1","Madens"
"22",32,50,"2","Madens"
"23",19,50,"2","Madens"
"24",16,50,"2","Madens"
"25",13,50,"3","Madens"
"26",15,50,"3","Madens"
"27",23,50,"3","Madens"
