"","Freq","Incidence.Singleton","Incidence.Knockando","Incidence.White Horse","Incidence.Scoresby Rare","Incidence.Ushers","Incidence.Macallan","Incidence.Grant's","Incidence.Passport","Incidence.Black & White","Incidence.Clan MacGregor","Incidence.Ballantine","Incidence.Pinch (Haig)","Incidence.Other brands","Incidence.Cutty Sark","Incidence.Glenfiddich","Incidence.Glenlivet","Incidence.J&B","Incidence.Dewar's White Label","Incidence.Johnnie Walker Black Label","Incidence.Johnnie Walker Red Label","Incidence.Chivas Regal"
"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13",2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"14",14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"18",4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"20",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"21",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"22",3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"24",57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"27",3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"28",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"29",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"31",3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"32",1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"33",2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"34",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"35",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"36",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"37",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"38",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"39",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"40",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"41",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"42",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"43",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"44",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"45",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"46",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"47",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"48",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"49",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"51",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"52",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"53",148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"54",3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
