"","gender","age","homework","desk","room","study","computer","software","internet","literature","poetry","art","textbook","dictionary","dishwasher","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV1READ","PV2READ","PV3READ","PV4READ","PV5READ","PV1SCIE","PV2SCIE","PV3SCIE","PV4SCIE","PV5SCIE","SENWGT_STU","possessions"
"1","female","5",5,1,1,1,1,1,1,0,0,1,1,1,1,561.5439,569.3332,555.3124,578.6805,548.3019,582.3127,571.1924,602.1704,571.9867,584.6956,583.495,578.8325,592.8198,566.7102,587.2249,0.1332,10
"2","female","5",5,0,1,1,1,1,1,0,0,0,1,1,1,564.8154,557.026,553.1313,538.3315,573.3837,616.7858,572.3044,559.5954,564.3613,565.1556,627.3219,600.2797,574.1701,581.63,624.5244,0.1332,8
"3","male","5",9,1,1,1,1,1,1,1,1,1,1,1,1,601.737,593.9477,551.885,526.1801,618.8737,649.7978,608.0967,594.4636,575.2169,620.1259,668.3514,664.6214,619.862,591.8874,656.229,0.1405,12
"4","male","7",3,1,1,1,1,1,1,0,0,0,1,1,1,520.1823,506.9403,500.7088,520.9612,547.4451,554.1258,559.7394,517.2363,563.7491,571.7686,573.6106,611.8426,570.8131,597.8553,662.1969,0.1405,9
"5","male","6",2,1,1,1,1,1,1,1,1,1,1,1,0,613.499,566.7627,584.6783,596.3624,602.5939,604.5681,557.2534,627.0226,596.5487,598.1526,638.605,634.875,665.6471,700.1492,670.3096,0.1405,11
"6","female","4",3,1,1,1,1,1,1,1,1,1,0,1,1,483.1827,505.7719,527.5822,501.8772,520.5717,585.5694,592.7182,604.6328,606.2214,593.5125,602.4245,612.6818,618.2768,586.5722,605.2219,0.1332,11
"7","female","5",4,1,1,1,1,1,1,1,0,0,1,1,1,673.1656,691.0812,604.6191,634.9977,610.0717,723.6999,664.9209,660.1551,626.7941,656.9778,749.1981,718.426,687.6539,682.0589,699.7762,0.1332,10
"8","female","5",3,1,1,1,1,1,1,1,1,1,1,1,1,464.4882,467.604,452.8042,464.4882,439.5622,543.7092,592.1621,572.3044,553.2409,589.7792,576.9675,674.8788,583.495,626.3894,630.1194,0.1332,12
"9","male","5",5,1,1,1,1,1,1,1,1,1,1,1,1,504.1362,511.9255,496.3468,494.01,518.936,492.376,489.1682,467.5157,477.941,510.0188,527.5457,561.1153,521.0183,547.1279,590.9549,0.1405,12
"10","female","5",1,1,1,1,1,1,1,0,1,1,1,1,1,448.52,454.7515,433.7202,445.4043,470.3303,482.309,496.6066,442.5935,497.4009,528.379,426.2775,439.3323,402.0328,429.075,479.4293,0.1159,11
"11","male","5",2,1,1,1,1,1,1,0,1,1,1,1,1,411.3647,435.5118,443.3011,435.5118,412.9226,445.3018,446.9057,454.9252,446.9057,452.5193,446.4192,452.0142,464.1365,452.0142,459.4741,0.1018,11
"12","female","5",14,1,1,1,1,1,1,0,1,0,1,1,1,466.9029,517.5339,525.3233,542.4599,509.7445,584.5368,578.1823,546.4099,583.7425,551.97,512.8124,517.4748,503.4875,501.6225,490.4327,0.1041,10
"13","male","6",5,0,1,0,1,0,1,0,1,0,1,1,0,594.0255,559.7523,624.4041,632.9724,615.8358,576.5001,570.8864,661.5062,612.5876,633.4382,607.8329,605.9679,667.5121,647.9299,635.8075,0.1018,6
"14","male","5",1,1,0,1,1,1,1,0,1,1,1,1,1,454.2063,405.9121,466.6693,434.7328,451.0905,418.0357,410.0163,419.6396,378.7404,422.8474,420.3096,413.7822,444.5543,415.6471,449.2167,0.1018,10
"15","male","5",7,1,1,1,1,1,1,0,0,1,1,1,1,416.8952,381.064,405.99,413.0005,418.453,377.6979,348.0259,356.8473,409.7757,394.5387,425.718,396.8109,412.6632,457.4226,436.9079,0.1159,10
"16","male","5",1,1,1,1,1,0,1,0,0,1,0,0,1,429.436,441.899,427.0992,362.4474,441.899,426.0552,441.2921,450.1135,408.4124,435.6785,380.2126,359.6979,400.7273,331.7232,395.1324,0.1018,7
"17","female","6",0,1,1,1,1,1,1,1,1,1,1,1,1,337.2098,299.0419,309.1681,368.3673,355.9043,430.5995,412.3303,388.501,427.4222,463.9605,349.4405,354.1029,320.5334,365.2928,383.9426,0.1159,12
"18","female","5",4,1,0,1,1,1,1,0,0,1,1,1,1,487.0774,480.8459,504.2141,528.3611,487.8564,556.9742,541.088,553.0026,553.797,567.3002,528.7579,516.6356,534.3529,535.2853,525.9605,0.1041,9
"19","male","6",0,1,1,1,1,1,1,0,0,1,1,1,0,486.2985,462.1514,494.0879,490.1932,462.9304,481.9507,455.4865,486.7624,505.2071,424.2107,520.7385,486.2365,516.0761,537.5233,476.9116,0.1018,9
"20","male","5",1,1,1,1,1,1,1,1,1,0,1,1,NA,501.1762,515.1971,525.3233,566.6069,507.4077,559.579,546.7479,558.7771,665.4358,557.9751,542.3722,540.5073,541.4398,611.3764,549.8322,0.1018,10
"21","male","5",0,0,1,1,1,0,1,0,0,0,0,0,1,583.0425,599.4002,584.6004,569.0217,582.2636,564.7917,592.8597,569.6033,566.3956,535.9216,604.9422,621.727,594.6848,610.5371,568.5752,0.1018,5
"22","male","6",4,1,1,1,1,1,1,1,1,1,1,1,1,592.3119,579.8489,592.3119,602.4381,632.0377,640.5755,586.0432,606.8938,581.2315,664.6338,631.8911,595.5241,596.4565,633.7561,660.7982,0.0289,12
"23","male","5",3,1,1,1,1,0,1,0,1,1,1,1,1,659.6121,667.4015,644.0333,619.8863,619.8863,699.2779,722.5343,706.4954,676.0214,655.1709,717.2137,707.8888,723.7411,673.3868,684.5767,0.0289,10
"24","male","6",3,1,1,1,1,0,1,0,0,1,1,1,1,554.0661,594.5708,591.4551,598.4655,603.9181,550.1161,587.0055,562.9472,512.4246,619.0833,588.8101,633.5696,600.9325,577.6203,637.2995,0.0289,9
"25","male","4",15,1,1,0,1,1,1,0,0,1,1,1,1,513.1718,513.1718,502.2667,515.5086,502.2667,526.8597,485.1585,473.1293,510.0188,521.246,531.6486,520.4588,519.5263,528.8512,549.3659,0.0289,9
"26","female","4",20,1,1,1,1,1,1,1,1,1,1,1,1,498.8394,511.3024,480.1449,483.2606,502.7341,535.2895,556.7359,523.3749,555.9416,567.8562,524.0022,565.9642,514.6774,556.6393,537.0571,0.0276,12
"27","male","6",10,1,1,1,1,1,1,1,1,1,1,1,1,655.0164,658.911,616.8484,645.6691,655.0164,650.279,679.149,603.7662,678.3471,667.9218,679.5412,704.7184,631.9843,688.8661,669.2838,0.0289,12
"28","female","5",5,1,1,1,1,1,1,1,1,1,1,1,1,419.232,442.6001,422.3477,414.5583,378.7272,510.0305,546.5687,510.8248,517.9736,492.5556,473.1816,481.574,460.1268,448.0045,447.072,0.0276,12
"29","female","5",5,1,1,1,1,1,1,1,1,1,1,1,1,580.472,552.4303,582.0299,528.2832,552.4303,634.0223,556.1799,562.5344,568.8889,594.3068,605.6882,544.144,583.3085,554.4013,601.0257,0.0276,12
"30","female","5",6,1,0,1,1,1,1,0,0,1,1,1,1,428.8129,445.9495,438.9391,449.0653,461.5283,576.2759,577.8646,534.9718,544.5035,569.9215,500.5035,479.9888,436.1619,474.3939,487.4487,0.0276,9
"31","female","6",10,1,1,1,1,1,1,0,1,0,1,1,1,446.6506,460.6714,436.5244,447.4295,482.4817,500.3399,488.4252,451.0927,453.4756,470.9504,491.3652,471.7829,472.7154,447.5382,459.6606,0.0276,10
"32","female","5",10,1,1,1,1,1,1,1,1,1,1,1,1,516.1318,486.5322,544.9525,513.016,509.1214,582.3127,581.5184,619.6453,599.7875,623.6168,554.6811,540.6938,567.7359,551.8836,591.9806,0.0276,12
"33","female","5",10,1,1,1,1,1,1,1,1,1,1,1,1,590.5982,562.5565,548.5356,569.5669,603.0612,643.554,625.2849,637.1995,641.1711,649.1142,581.63,574.1701,631.0518,583.495,616.132,0.0276,12
"34","female","5",2,1,1,1,0,1,1,0,0,0,0,1,1,288.6041,325.2142,311.1933,330.6668,301.0671,386.4358,384.0529,384.0529,391.996,395.1732,389.5375,400.7273,397.9299,412.8497,417.5121,0.0097,7
"35","female","5",3,1,1,1,1,1,1,0,0,1,1,0,0,506.0056,498.2162,520.0265,500.553,478.7428,529.0939,518.7679,579.1355,552.9232,498.9101,547.2212,534.1664,591.9806,549.0862,517.3816,0.0867,8
"36","male","5",0,1,1,1,1,1,1,1,1,1,1,1,1,496.2689,518.8581,524.3106,499.3846,496.2689,504.6458,491.8147,491.8147,495.0224,480.5874,561.1153,580.6975,563.9127,533.1406,541.533,0.0712,12
"37","male","5",0,0,1,1,1,0,1,0,0,0,0,1,0,402.8743,395.0849,396.6428,372.4957,370.1589,394.5387,404.964,381.7076,373.6881,381.7076,425.9045,372.7527,396.9974,415.6471,415.6471,0.0712,5
"38","male","5",5,1,1,1,1,1,1,0,0,0,1,1,1,465.2672,504.2141,491.7511,473.0566,512.0034,434.8766,501.438,449.3116,478.1816,479.7855,474.3939,579.765,497.7061,558.3178,549.9254,0.0712,9
"39","male","5",10,1,1,1,1,1,1,0,0,1,1,1,1,301.6124,286.8126,335.1067,342.8961,302.3913,275.7706,300.6309,259.7317,299.829,328.699,365.0131,351.0257,384.5953,356.6207,391.1227,0.0712,10
"40","male","4",8,1,1,1,1,0,1,0,0,0,1,1,1,392.9039,355.5149,375.7673,388.2303,376.5462,321.3211,278.818,323.727,311.6978,310.0939,424.226,398.1164,427.956,417.6986,365.4793,0.0094,8
"41","male","5",1,1,1,1,1,0,1,0,0,1,0,1,1,392.047,434.1097,423.9835,406.8469,413.0784,360.0551,372.0843,368.0745,410.5776,383.3115,441.1041,462.5513,452.2939,484.931,459.7538,0.0712,8
"42","male","6",5,1,1,1,1,0,1,0,1,1,1,1,1,601.2697,593.4803,584.133,606.7222,616.0695,546.8281,577.302,573.2923,554.8475,558.8573,605.8747,631.9843,642.2417,652.4991,642.2417,0.0712,10
"43","female","5",0,1,1,0,1,0,1,0,0,1,1,1,0,342.974,307.1429,371.7947,328.9531,427.0992,370.3113,313.9153,354.4251,325.83,386.1975,437.3741,333.868,414.0619,338.5304,418.7244,0.0867,7
"44","female","5",2,1,1,1,1,1,1,0,0,1,1,1,1,524.7001,550.405,464.7219,493.5426,492.7637,600.5818,581.5184,562.4549,556.1005,591.8444,552.8161,522.044,502.4618,482.8795,516.4491,0.0625,10
"45","female","5",5,1,1,1,1,0,1,0,0,1,1,1,1,353.8791,381.9209,384.2577,364.7842,368.6789,417.1756,428.296,465.6285,456.0968,427.5016,414.9944,402.8721,420.5893,436.4416,379.5599,0.0625,9
"46","female","5",8,1,1,1,1,1,1,0,0,0,1,1,1,490.1153,538.4094,526.7253,508.0308,511.1466,479.1318,499.7839,536.3221,535.5278,551.414,445.4868,434.2969,501.436,502.3685,478.1238,0.0625,9
"47","male","4",5,1,1,1,1,1,1,1,1,1,1,1,0,458.3346,458.3346,423.2824,451.3242,424.8403,535.4405,484.116,468.0771,528.223,494.5413,506.285,426.091,467.1205,470.8504,468.9855,0.0587,11
"48","female","5",4,1,1,1,1,1,1,1,1,1,1,1,1,509.6666,526.8032,526.8032,519.0139,525.2454,607.254,653.324,653.324,621.5516,621.5516,518.2208,550.8579,550.8579,562.0477,558.3178,0.0625,12
"49","female","5",2,1,1,1,1,1,1,0,0,1,1,1,1,500.2415,465.1893,464.4103,482.3259,483.8838,541.8029,494.1443,523.5337,517.1793,525.1224,507.6837,460.1268,500.2238,486.2365,500.2238,0.0625,10
"50","female","6",2,1,1,1,1,1,1,0,0,0,0,1,0,455.842,434.8107,455.842,451.9473,435.5897,558.5628,499.7839,558.5628,545.8539,492.6351,463.95,416.3931,463.95,459.2876,420.1231,0.0625,7
"51","female","4",6,1,1,1,1,0,1,0,0,1,1,1,1,537.7084,555.6239,564.1922,508.1087,519.7928,599.0726,587.9523,669.7662,640.3768,589.5409,556.1731,572.9579,625.1772,559.903,563.633,0.0625,9
"52","male","6",2,1,1,1,1,0,1,0,0,1,1,1,1,644.3449,649.7975,699.6495,677.0603,645.9028,656.6946,615.7954,677.5451,663.9121,646.2693,684.8564,630.7721,696.0463,693.2488,662.4767,0.0587,9
"53","female","6",2,1,1,1,1,1,1,0,0,0,0,1,1,446.6506,513.6392,433.4086,421.7246,434.1876,530.6031,590.1764,505.9795,504.3909,510.7453,429.5412,512.5326,430.4737,411.8239,435.1361,0.0625,8
"54","female","5",12,1,1,0,1,1,1,0,0,0,0,1,1,381.5314,344.9213,364.3948,397.1101,379.1946,475.9546,464.8342,427.5016,444.9765,425.1187,361.0034,349.8135,340.4886,339.5561,335.8262,0.0625,7
"55","female","7",2,1,1,1,1,NA,1,0,0,1,1,1,0,378.0262,364.0053,383.4787,384.2577,374.9104,424.3244,425.913,433.0618,479.1318,437.8277,416.2999,379.0004,378.0679,430.2872,365.0131,0.0292,8
"56","male","5",3,1,0,1,1,1,1,0,0,1,0,1,0,485.1301,495.2563,517.0665,545.1083,485.909,506.0091,474.7332,495.5838,481.1488,448.269,569.8806,510.2014,540.041,505.539,521.3913,0.032,7
"57","male","5",6,1,1,1,1,0,1,0,0,1,0,1,1,409.1058,405.2111,422.3477,431.695,411.4426,416.1912,376.094,366.4706,413.7854,368.0745,468.6125,417.3256,420.1231,455.5576,435.0429,0.032,8
"58","male","4",5,1,1,1,1,1,1,1,0,0,1,1,1,558.7397,536.9294,522.9086,547.0556,552.5082,549.3141,476.3371,487.5644,479.5449,523.6519,577.2473,539.0153,558.5975,570.7199,564.1925,0.032,10
"59","female","4",17,0,1,1,1,1,1,1,1,0,0,1,0,519.7149,486.9995,506.473,534.5147,511.9255,551.3346,564.0436,553.7175,574.3696,569.6037,560.8355,569.2279,572.9579,581.3502,587.8777,0.0327,8
"60","male","5",10,1,0,1,1,0,1,0,0,0,0,1,0,471.5766,479.3659,433.4086,459.1136,440.4191,481.7102,496.1452,464.8693,475.2946,466.4732,520.2723,539.8545,524.9347,525.8672,525.8672,0.032,5
"61","male","4",20,1,1,1,1,1,1,0,0,1,1,1,0,622.5347,652.9132,657.5869,654.4711,592.935,605.3701,632.6362,602.1623,640.6557,547.63,685.7889,703.5062,676.464,694.1813,589.7426,0.0327,9
"62","male","5",0,1,1,1,1,1,1,1,0,1,1,1,0,539.1105,568.7101,581.1731,553.9103,543.0051,504.6458,561.5839,503.0419,503.0419,525.4964,562.0477,646.9041,589.0899,572.3051,562.9802,0.032,10
"63","female","5",3,1,1,1,1,1,1,0,0,0,0,1,0,331.5236,347.1024,319.0606,341.6498,350.2181,316.2188,349.5798,328.1335,331.3107,359.9059,314.0992,366.3185,337.4114,322.4916,341.1414,0.0292,7
"64","male","5",7,1,1,1,1,1,1,1,1,1,1,1,1,582.9646,589.1961,618.7958,589.9751,593.8698,539.5304,574.816,574.014,570.8063,565.1926,581.5367,630.9586,608.5789,571.2794,624.4312,0.032,12
"65","female","4",3,1,1,0,1,1,1,1,1,1,1,1,0,473.9913,477.107,470.0966,499.6962,442.8338,438.066,457.9237,450.7749,485.7246,441.2432,452.0142,444.5543,442.6893,496.7736,451.0817,0.0292,10
"66","male","6",8,1,1,1,1,1,1,1,1,1,1,1,1,663.0394,639.6713,642.0081,666.1552,663.8184,610.262,632.7164,616.6775,672.0117,672.8137,684.9496,698.0045,680.2872,743.6964,721.3167,0.032,12
"67","female","5",4,1,1,1,1,1,1,0,0,1,0,1,1,525.4012,533.9695,594.7266,555.0008,539.422,568.3328,559.5954,621.5516,661.2671,577.8646,568.5752,554.5878,591.8874,604.9422,533.1406,0.0963,9
"68","male","5",15,1,1,1,1,1,1,0,0,1,1,1,1,640.4502,660.7026,623.3136,613.1874,642.0081,627.1028,669.6059,635.1222,630.3106,615.8756,704.5319,726.9116,674.6923,667.2324,659.7725,0.0945,10
"69","female","5",3,1,1,1,1,1,1,0,0,1,1,1,1,513.4055,503.2793,525.8685,548.4577,522.7528,566.7442,567.5385,585.8077,572.3044,592.9564,545.263,548.0604,611.4696,602.1447,565.7777,0.0935,10
"70","male","5",7,1,1,1,1,1,1,1,0,1,0,1,0,572.3711,587.1709,619.1073,626.1178,619.1073,591.0153,568.5608,647.1514,646.3495,637.5281,624.8974,647.2771,681.7792,714.4163,692.969,0.0945,9
"71","female","5",6,1,1,1,1,0,1,0,0,1,1,1,1,479.3659,496.5026,482.4817,495.7236,524.5443,520.992,514.6375,527.3464,548.7928,534.4952,516.5423,544.517,525.8672,559.4368,533.3271,0.0963,9
"72","female","6",2,1,1,1,1,1,1,0,0,1,0,1,1,416.8173,423.8277,416.8173,371.6389,415.2594,483.3417,447.5977,455.5408,451.5692,475.3985,473.4614,454.8116,417.5121,418.4446,476.2589,0.0963,9
"73","female","4",8,1,1,1,1,1,1,0,0,1,0,1,1,572.6827,588.2614,560.2197,560.9986,599.1665,639.5825,631.6394,610.193,651.4971,618.1361,602.1447,624.5244,585.3599,686.0686,649.7016,0.0935,9
"74","female","6",6,1,1,1,1,1,1,0,0,1,1,0,0,579.0699,566.6069,544.7967,545.5756,575.1753,617.9772,621.1545,596.5308,567.1414,601.2967,613.2413,565.6844,573.1443,555.4271,615.1063,0.0935,8
"75","female","6",4,1,1,1,1,1,1,0,0,0,1,1,1,438.7054,424.6845,407.5479,420.0109,377.1693,477.5432,464.8342,460.8627,483.1034,456.8911,479.0563,434.2969,471.5964,465.069,479.0563,0.0935,9
"76","male","6",0,1,1,1,1,1,1,0,0,1,1,1,1,381.6093,421.3351,387.0618,434.577,426.7877,416.111,452.1986,405.6858,444.9811,424.1305,440.8243,443.6218,453.8791,471.5964,470.6639,0.0945,10
"77","male","6",4,0,1,0,1,1,1,0,0,0,1,1,1,534.8263,506.7845,510.6792,515.3529,544.1735,501.9192,459.4161,521.1658,481.8705,477.8608,556.5461,492.2044,544.4237,517.3816,515.5166,0.0942,7
"78","male","5",1,1,1,1,1,1,1,0,0,1,1,1,1,518.2349,561.8554,507.3298,534.5926,500.3194,542.0966,669.6059,538.8888,567.7589,562.1452,566.9899,649.0489,575.3823,586.5722,574.4498,0.0945,10
"79","female","6",9,1,1,1,1,1,1,1,1,1,1,1,1,461.3725,487.8564,503.4351,507.3298,466.0461,555.6239,558.8011,575.4816,578.6589,533.3832,585.3599,572.3051,606.8072,602.1447,543.398,0.0935,12
"80","male","5",2,1,1,NA,1,1,1,NA,1,1,0,1,1,599.9455,621.7557,522.0517,611.6295,601.5033,582.9958,603.0444,542.0966,601.4406,578.9861,594.6848,654.364,573.2376,657.1615,615.1996,0.0054,9
"81","male","4",7,1,1,1,1,0,1,1,1,1,1,1,1,649.3301,615.8358,642.3197,667.2457,646.9933,615.7954,607.7759,627.8245,642.2596,635.844,665.6471,633.0101,698.2842,652.5923,660.9847,0.0054,11
"82","male","5",5,1,1,1,1,1,1,1,1,1,1,1,1,771.078,711.8788,682.2792,676.0477,704.8684,759.3435,671.1296,641.4576,663.1101,686.3665,833.4017,739.2204,700.0559,718.7057,747.6128,0.0054,12
"83","male","5",3,1,1,1,1,1,1,0,0,1,0,1,0,504.0583,478.3533,567.9311,551.5735,509.5108,447.7077,414.026,466.1524,501.438,422.0454,522.8833,469.7314,537.8031,567.6427,532.2081,0.0054,8
"84","male","5",10,1,1,1,1,1,1,1,0,1,1,1,1,576.6552,576.6552,578.9921,578.2131,601.5812,566.3956,557.5742,575.2169,548.7528,588.85,602.1447,573.2376,591.8874,579.765,636.6468,0.0059,11
"85","female","5",2,1,1,1,1,1,1,1,1,1,1,1,1,449.6884,466.0461,501.0983,434.8886,451.2463,486.2806,502.1668,518.8473,493.4294,503.7554,537.1503,538.0828,525.9605,508.2432,543.6777,0.0061,12
"86","male","5",3,1,1,1,1,1,1,1,1,1,1,1,1,491.5953,500.9425,503.2793,532.879,531.3211,468.5583,531.9119,492.6166,525.4964,511.8633,549.9254,611.4696,552.7229,593.7523,595.6173,0.0054,12
"87","female","4",0,1,1,1,1,0,1,0,0,1,1,1,1,411.5205,372.5736,377.2472,398.2785,403.7311,479.3701,434.0944,422.9741,463.4839,492.8734,454.8116,392.3349,388.605,457.6091,495.8411,0.0081,9
"88","male","5",0,1,0,0,1,1,1,0,0,1,1,1,0,414.7141,429.5139,448.2084,410.0405,448.9874,436.8012,480.9082,425.574,417.5545,466.4732,494.1626,496.0276,459.6606,450.3357,504.42,0.0089,7
"89","male","5",1,1,0,1,1,1,1,0,0,1,1,1,1,435.0444,430.3708,430.3708,383.6345,430.3708,434.8766,434.0746,385.9579,342.6529,414.026,424.972,429.6345,422.1746,371.8202,422.1746,0.0095,9
"90","female","4",4,1,1,1,1,0,1,0,0,1,0,1,1,372.262,389.3987,407.3142,395.6302,427.5666,390.884,363.8774,436.9539,433.7767,428.2165,341.9806,306.5461,369.0228,409.1197,396.0649,0.0095,8
"91","female","4",1,1,1,1,1,1,1,1,0,1,0,1,1,564.8933,530.62,540.7462,549.3145,518.157,529.1733,523.6132,553.797,580.0092,509.3156,525.4942,563.7262,573.9836,580.511,524.5617,0.0095,10
"92","male","5",0,0,1,0,0,0,1,0,0,0,0,0,1,244.6721,288.2926,273.4928,303.8713,236.8827,276.8934,282.507,276.8934,321.8023,232.7864,306.5461,322.3984,305.6136,349.4405,293.4912,0.0095,3
"93","female","4",0,1,1,1,1,1,1,1,1,1,0,1,0,447.3516,406.0679,411.5205,406.8469,425.5414,493.6677,473.8099,473.8099,485.7246,480.1644,513.5584,462.2715,495.8411,508.8959,470.6639,0.0081,10
"94","female","5",4,1,0,1,1,1,1,0,0,0,1,1,1,506.473,488.5574,494.01,472.1997,504.1362,552.2083,536.3221,499.7839,556.9742,547.4425,583.495,581.63,545.263,577.9,586.2924,0.0081,8
"95","male","5",0,1,1,1,1,0,1,0,0,1,0,0,0,593.4024,575.4868,585.613,545.1083,554.4555,587.8075,625.4989,660.7845,550.918,604.6483,604.3827,638.8847,675.2518,558.6908,647.2771,0.0089,6
"96","male","5",10,1,1,1,1,1,1,1,1,1,1,1,0,622.6126,648.3175,596.9076,581.3289,620.2757,617.4795,579.788,546.9083,612.6678,600.6386,569.7874,585.6397,545.5427,590.3021,578.1798,0.111,11
"97","male","5",10,1,1,1,1,1,1,0,0,0,1,1,1,582.8088,595.2718,578.1352,589.8193,588.2614,551.72,525.2558,542.0966,561.3433,567.7589,518.2208,525.6807,522.8833,574.1701,559.2503,0.0142,9
"98","male","5",10,1,1,1,1,1,1,0,0,1,1,1,1,597.6866,582.8867,635.0756,589.8972,625.7283,614.5123,614.5123,635.3628,627.3434,646.5901,590.0224,558.3178,592.8198,603.0772,605.8747,0.111,10
"99","male","7",7,1,1,1,1,1,1,1,1,1,1,1,1,584.2888,615.4463,625.5725,595.9729,624.7936,592.0578,593.6617,566.3956,572.0092,588.0481,570.4401,597.4823,583.495,566.7102,587.2249,0.111,12
"100","male","5",6,1,1,0,1,1,1,1,1,0,1,1,1,612.3306,653.6143,636.4776,571.0469,616.2253,553.5644,621.7298,619.3239,572.8111,599.2753,571.3726,623.5919,639.4442,576.0351,621.727,0.111,10
"101","male","5",7,1,0,0,1,1,1,1,0,1,1,1,0,554.7671,539.1883,532.9568,565.6722,517.3781,559.7394,550.1161,570.9666,553.3238,534.0772,545.263,556.4528,558.3178,552.7229,516.3558,0.111,8
"102","male","6",9,1,1,1,1,1,1,1,0,1,1,1,1,620.9768,638.1134,672.3867,656.029,608.5138,608.5779,647.0712,645.4673,658.2985,638.2498,599.0675,655.9493,636.367,628.9071,610.2574,0.111,11
"103","male","5",2,1,1,1,1,1,1,1,1,1,1,1,1,591.6108,604.0738,593.1687,570.5795,601.737,596.8695,611.3045,575.2169,588.0481,599.2753,598.4148,608.6721,590.9549,593.7523,638.5117,0.111,12
"104","male","6",5,1,1,1,1,1,1,1,1,1,1,1,1,578.9921,555.6239,574.3184,547.8346,568.8659,602.2425,557.3336,561.3433,589.4114,583.7978,561.395,553.9351,587.5047,553.9351,570.7199,0.111,12
"105","female","5",0,1,1,1,1,1,1,0,0,1,1,1,0,363.6937,323.189,375.3778,355.9043,337.2098,426.6279,359.9059,386.1181,380.5579,349.5798,416.5796,385.8075,396.0649,379.2801,354.1029,0.0302,9
"106","female","6",8,1,1,1,1,1,1,1,0,1,1,1,0,406.2237,417.1288,391.4239,434.2655,455.2968,507.9653,532.5889,469.8384,520.6742,504.788,511.6934,515.4233,457.6091,520.0858,531.2756,0.0302,10
"107","male","5",0,1,1,NA,1,1,1,0,0,1,0,1,1,390.4892,441.899,431.7729,423.9835,431.7729,424.2107,442.6554,417.7951,393.7368,419.399,448.937,478.7766,478.7766,443.342,462.9243,0.1019,8
"108","female","5",14,1,1,1,1,1,1,1,1,1,0,1,0,580.9394,583.2762,605.0865,629.2335,601.1918,614.1645,589.5409,654.6743,657.8516,628.4621,624.8974,624.8974,668.7244,688.3066,637.0198,0.1038,10
"109","female","5",1,1,1,1,1,1,1,0,0,1,1,1,0,531.8663,528.7506,513.1718,534.2031,519.4033,568.8889,550.6197,526.7904,558.5628,542.6766,571.7456,586.6654,528.8512,582.003,564.2857,0.1038,9
"110","female","5",7,1,1,1,1,1,1,1,1,1,1,1,1,502.7341,494.1658,526.1022,498.0604,472.3555,519.4828,497.2421,518.6885,471.0298,474.2071,504.1402,475.2331,517.1951,488.288,458.4483,0.1038,12
"111","female","5",1,1,1,1,1,1,1,0,1,1,1,1,1,497.9047,515.8202,477.6523,547.7567,458.1788,517.1793,526.711,496.5272,561.6606,487.7898,559.903,548.7132,549.6457,602.7975,511.4137,0.1103,11
"112","male","6",2,1,1,1,1,1,1,0,0,1,1,1,0,328.9531,311.0375,277.5432,349.9844,302.4692,319.9578,282.2664,226.9322,342.4123,301.5131,293.2115,238.1947,179.448,310.9288,272.6968,0.1019,9
