"","time","year","quarter","gilts","profit","s_per_herdsz","production","herdsz"
"1",1967,1967,1,105,8.075,10.8,2645,703
"2",1967.25,1967,2,119,7.819,9.16,2540,722
"3",1967.5,1967,3,119,7.366,9.38,2565,738
"4",1967.75,1967,4,109,8.113,10.39,2776,747
"5",1968,1968,1,117,7.38,9.44,2725,755
"6",1968.25,1968,2,135,7.134,8.69,2623,780
"7",1968.5,1968,3,126,7.222,9.6,2722,806
"8",1968.75,1968,4,112,7.768,11.28,3004,807
"9",1969,1969,1,116,7.386,11.2,2952,805
"10",1969.25,1969,2,122,6.965,9.94,2968,801
"11",1969.5,1969,3,115,6.478,11.21,2961,821
"12",1969.75,1969,4,115,8.105,11.69,3243,809
"13",1970,1970,1,122,8.06,9.67,3027,797
"14",1970.25,1970,2,138,7.684,7.87,2902,831
"15",1970.5,1970,3,135,7.58,8.15,3057,867
"16",1970.75,1970,4,125,7.093,8.83,3331,862
"17",1971,1971,1,115,6.129,10.51,3266,871
"18",1971.25,1971,2,108,6.026,9.03,3290,864
"19",1971.5,1971,3,100,6.679,9.93,3223,854
"20",1971.75,1971,4,96,7.414,10.27,3501,846
"21",1972,1972,1,107,7.112,9.56,3402,854
"22",1972.25,1972,2,115,7.762,8.74,3278,851
"23",1972.5,1972,3,123,7.645,10.32,3258,876
"24",1972.75,1972,4,122,8.639,10.31,3400,876
"25",1973,1973,1,128,7.667,9.97,3303,888
"26",1973.25,1973,2,136,8.08,8.99,3228,903
"27",1973.5,1973,3,140,6.678,12.22,3269,922
"28",1973.75,1973,4,122,6.739,12.9,3396,902
"29",1974,1974,1,102,5.569,14,3396,820
"30",1974.25,1974,2,103,5.049,12.77,3386,819
"31",1974.5,1974,3,89,5.642,12.61,3385,797
"32",1974.75,1974,4,77,6.808,12.16,3262,751
"33",1975,1975,1,89,6.636,11.16,3113,743
"34",1975.25,1975,2,94,8.241,8.9,2851,744
"35",1975.5,1975,3,104,7.968,10.24,2752,747
"36",1975.75,1975,4,108,8.044,10.29,2919,764
"37",1976,1976,1,119,7.791,10.03,2842,759
"38",1976.25,1976,2,126,7.024,9.05,2834,807
"39",1976.5,1976,3,119,6.102,12,2957,798
"40",1976.75,1976,4,103,6.053,12.7,3305,811
"41",1977,1977,1,96,5.941,12.95,3256,752
"42",1977.25,1977,2,95,5.386,11.69,3151,761
"43",1977.5,1977,3,80,5.811,12.65,3141,719
"44",1977.75,1977,4,88,6.716,12.21,3266,741
"45",1978,1978,1,93,6.923,10.68,3061,745
"46",1978.25,1978,2,105,6.939,10.47,3018,764
"47",1978.5,1978,3,107,6.705,11.05,3085,764
"48",1978.75,1978,4,100,6.914,10.31,3242,786
