"","locus_of_control","self_concept","motivation","read","write","math","science","sex"
"1",-0.84,-0.24,"4",54.8,64.5,44.5,52.6,"female"
"2",-0.38,-0.47,"3",62.7,43.7,44.7,52.6,"female"
"3",0.89,0.59,"3",60.6,56.7,70.5,58,"male"
"4",0.71,0.28,"3",62.7,56.7,54.7,58,"male"
"5",-0.64,0.03,"4",41.6,46.3,38.4,36.3,"female"
"6",1.11,0.9,"2",62.7,64.5,61.4,58,"female"
"7",0.06,0.03,"3",41.6,39.1,56.3,45,"male"
"8",-0.91,-0.59,"3",44.2,39.1,46.3,36.3,"male"
"9",0.45,0.03,"4",62.7,51.5,54.4,49.8,"female"
"10",0,0.03,"3",62.7,64.5,38.3,55.8,"female"
"11",0.24,-0.43,"2",70.7,43.7,58.8,66.1,"male"
"12",-1.09,-0.26,"2",44.2,41.1,45.1,47.1,"male"
"13",0.46,0.03,"3",57.4,59.3,53.9,49.8,"female"
"14",0.68,0.06,"3",49.5,51.5,41.2,41.7,"female"
"15",-0.14,-1.05,"4",70.7,65.1,66.4,63.4,"female"
"16",0.1,-0.16,"2",49.5,59.3,51,47.1,"male"
"17",0.45,0.65,"4",57.4,56.7,46.9,52.6,"female"
"18",-1.56,0.03,"2",62.7,54.1,53,55.3,"female"
"19",-1.02,-1.67,"3",45.3,43,52.3,60.7,"female"
"20",0.94,0.03,"4",68,56.7,59.6,58,"female"
"21",-0.4,0.03,"4",44.2,54.1,59.3,58,"female"
"22",-0.19,-1.73,"4",44.7,47.6,50.3,39,"female"
"23",0.26,0.03,"2",48.4,48.9,52.2,43.9,"male"
"24",0.21,0.94,"1",38.9,48.9,41.8,58.5,"male"
"25",0.7,0.87,"4",46.9,54.1,46.4,49.8,"female"
"26",1.36,0.94,"4",57.4,64.5,49.9,55.3,"female"
"27",-0.84,-0.57,"2",33.6,33.3,41,36.3,"male"
"28",-0.68,0.03,"2",38.9,38.5,41.2,39,"female"
"29",-0.17,0.31,"4",65.4,67.1,75.5,71.5,"male"
"30",0.06,0.28,"4",60.1,59.3,56.2,60.7,"female"
"31",-0.14,0.56,"4",54.8,61.9,54.6,47.1,"female"
"32",0.96,0.03,"3",44.2,51.5,43.2,44.4,"female"
"33",0.23,-0.26,"1",52.1,61.9,56.3,58,"female"
"34",0.66,0,"4",52.1,48.9,48.5,44.4,"female"
"35",0.08,0.59,"4",57.4,56.7,53.9,60.7,"female"
"36",-0.9,0.03,"3",36.3,44.3,36.1,33.6,"female"
"37",0.06,0.03,"3",62.7,61.9,58.8,60.7,"female"
"38",0.04,-0.47,"3",33.6,59.3,44.7,47.1,"female"
"39",0.66,0.34,"4",60.1,51.5,53,63.4,"male"
"40",0.46,0.03,"4",57.4,67.1,47.7,55.8,"female"
"41",-0.14,-0.24,"3",54.8,38.5,57,52.6,"male"
"42",0.26,-0.57,"4",41.6,58.6,54.6,55.3,"female"
"43",0.02,-0.14,"1",60.1,64.5,67,58.5,"female"
"44",1.11,0.34,"4",65.4,64.5,64.1,66.1,"male"
"45",1.16,-0.81,"3",65.4,64.5,48,63.4,"male"
"46",-0.4,0.65,"3",44.2,43.7,38.6,33.6,"male"
"47",-0.38,0.34,"3",38.9,28.1,35.3,39,"male"
"48",1.13,0.03,"4",38.9,54.1,47.5,49.8,"male"
"49",0.08,0.94,"2",49.5,52.8,50.6,48.8,"male"
"50",0.06,0.94,"4",52.1,51.5,57.9,60.7,"male"
"51",-0.64,-0.51,"3",49.5,56.7,47.7,44.4,"female"
"52",0.46,0.03,"4",70.7,56.7,51.3,71.5,"male"
"53",-1.13,-0.55,"2",44.2,46.9,45.5,39,"male"
"54",-1.05,-1.65,"1",46.9,46.3,38.6,47.1,"female"
"55",-0.84,0.03,"1",36.3,59.3,47.7,39,"female"
"56",0.06,0.65,"2",47.4,64.5,53.9,55.8,"female"
"57",-1.3,0.13,"2",44.2,41.1,51.8,47.1,"male"
"58",0.91,-0.47,"3",44.2,41.1,50.5,58,"male"
"59",0.28,0.03,"4",54.8,59.3,49.5,63.4,"male"
"60",-0.4,0.03,"1",54.8,49.5,55.3,47.1,"female"
"61",-0.86,0.28,"4",36.3,48.9,54.4,60.7,"male"
"62",0.46,0.94,"4",65.4,61.9,67.9,66.1,"male"
"63",0.5,-0.22,"4",54.8,61.9,61.3,60.7,"female"
"64",0.27,-1.05,"2",60.1,54.1,56.3,55.3,"male"
"65",-0.86,1.19,"2",33.6,28.1,31.8,39.6,"male"
"66",-0.89,0.56,"2",44.2,41.1,40.3,49.8,"male"
"67",-1.28,1.19,"4",41.6,41.1,45.9,44.4,"male"
"68",1.36,0.87,"4",36.3,43.7,37.2,41.7,"female"
"69",0.46,0.65,"4",49.5,48.9,60.5,55.3,"male"
"70",0.25,-0.26,"2",49.5,30.7,40.3,33.6,"male"
"71",0.23,0.03,"4",62.7,61.9,55.5,55.3,"female"
"72",-1.33,-0.6,"2",34.7,35.2,40.2,50.9,"female"
"73",0.32,-1.17,"2",52.1,54.1,58.1,47.1,"female"
"74",-0.44,-0.31,"3",49.5,59.3,42.1,52.6,"male"
"75",0.25,0.65,"1",49.5,48.9,50.4,63.4,"male"
"76",-0.37,-1.9,"3",54.8,36.5,37.7,49.8,"male"
"77",0.06,1.19,"4",65.4,64.5,67.9,63.4,"male"
"78",-0.6,0.32,"4",38.9,56.7,41.2,33.6,"female"
"79",0.71,0.03,"2",46.9,59.3,63,52.6,"male"
"80",-1.78,0.56,"4",28.3,46.3,42.8,44.4,"female"
"81",0.04,0.03,"3",65.4,51.5,61.2,68.8,"male"
"82",0.66,-0.6,"1",42.6,56.7,40.3,49.8,"female"
"83",-1.09,-0.9,"3",57.4,59.9,50.5,52.6,"female"
"84",0.06,0.03,"4",62.7,64.5,71.3,55.3,"male"
"85",-0.66,-0.08,"4",44.7,33.3,33.7,39,"male"
