"","ID","X source","Y source","X target","Y target"
"1",21,1155435.738041,1788033.339816,1155226.925091,1788399.625755
"2",20,1172614.977703,1718170.439523,1172166.669508,1718421.167088
"3",19,1294237.492376,1799488.934959,1293812.519027,1799926.624264
"4",17,1096966.295264,1748773.531008,1096550.401372,1749046.36177
"5",15,1189372.94943,1801408.533041,1188968.823784,1801745.270419
"6",13,1152591.95778,1682719.037506,1152198.231365,1683076.11659
"7",11,1300854.444574,1859903.982823,1300481.740496,1860215.504954
"8",10,1274769.607046,1868758.770543,1274382.705084,1869069.548947
"9",8,1246851.54622,1860836.295528,1245897.667034,1861410.277457
"10",7,1229707.293788,1780574.283805,1229232.915496,1780619.842604
"11",6,1199565.945024,1724303.606761,1199216.273989,1724586.284933
"12",5,1164257.771935,1790905.328423,1163404.64153,1791332.734219
"13",4,1210479.121866,1846091.924442,1210049.767713,1846299.71566
"14",3,1061465.218239,1736328.976116,1061151.586649,1736734.430306
"15",2,1129726.749183,1647315.999009,1128964.545955,1647933.372436
"16",1,1322531.688754,1824367.778502,1322119.595051,1824669.652733
