"","time","bicoal"
"1",1920,569
"2",1921,416
"3",1922,422
"4",1923,565
"5",1924,484
"6",1925,520
"7",1926,573
"8",1927,518
"9",1928,501
"10",1929,505
"11",1930,468
"12",1931,382
"13",1932,310
"14",1933,334
"15",1934,359
"16",1935,372
"17",1936,439
"18",1937,446
"19",1938,349
"20",1939,395
"21",1940,461
"22",1941,511
"23",1942,583
"24",1943,590
"25",1944,620
"26",1945,578
"27",1946,534
"28",1947,631
"29",1948,600
"30",1949,438
"31",1950,516
"32",1951,534
"33",1952,467
"34",1953,457
"35",1954,392
"36",1955,467
"37",1956,500
"38",1957,493
"39",1958,410
"40",1959,412
"41",1960,416
"42",1961,403
"43",1962,422
"44",1963,459
"45",1964,467
"46",1965,512
"47",1966,534
"48",1967,552
"49",1968,545
