"","time","copper1"
"1",1,5.15
"2",1.08333333333333,5.5
"3",1.16666666666667,4.89
"4",1.25,5.35
"5",1.33333333333333,4.74
"6",1.41666666666667,4.43
"7",1.5,4.6
"8",1.58333333333333,4.59
"9",1.66666666666667,4.57
"10",1.75,4.21
"11",1.83333333333333,4.2
"12",1.91666666666667,4.07
"13",2,3.95
"14",2.08333333333333,3.59
"15",2.16666666666667,3.58
"16",2.25,3.46
"17",2.33333333333333,3.45
"18",2.41666666666667,3.27
"19",2.5,3.26
"20",2.58333333333333,2.97
"21",2.66666666666667,2.96
"22",2.75,2.84
"23",2.83333333333333,2.83
"24",2.91666666666667,2.88
"25",3,2.71
"26",3.08333333333333,2.6
"27",3.16666666666667,2.71
"28",3.25,2.67
