"","time","shampoo"
"1",1,266
"2",1.08333333333333,145.9
"3",1.16666666666667,183.1
"4",1.25,119.3
"5",1.33333333333333,180.3
"6",1.41666666666667,168.5
"7",1.5,231.8
"8",1.58333333333333,224.5
"9",1.66666666666667,192.8
"10",1.75,122.9
"11",1.83333333333333,336.5
"12",1.91666666666667,185.9
"13",2,194.3
"14",2.08333333333333,149.5
"15",2.16666666666667,210.1
"16",2.25,273.3
"17",2.33333333333333,191.4
"18",2.41666666666667,287
"19",2.5,226
"20",2.58333333333333,303.6
"21",2.66666666666667,289.9
"22",2.75,421.6
"23",2.83333333333333,264.5
"24",2.91666666666667,342.3
"25",3,339.7
"26",3.08333333333333,440.4
"27",3.16666666666667,315.9
"28",3.25,439.3
"29",3.33333333333333,401.3
"30",3.41666666666667,437.4
"31",3.5,575.5
"32",3.58333333333333,407.6
"33",3.66666666666667,682
"34",3.75,475.3
"35",3.83333333333333,581.3
"36",3.91666666666667,646.9
