"","time","chicken"
"1",1924,164.16
"2",1925,169.17
"3",1926,180.65
"4",1927,168.3
"5",1928,180.73
"6",1929,192.55
"7",1930,159.43
"8",1931,150.11
"9",1932,126.05
"10",1933,106.08
"11",1934,119.92
"12",1935,157.06
"13",1936,156.59
"14",1937,161.21
"15",1938,151.94
"16",1939,137.47
"17",1940,134.1
"18",1941,153.25
"19",1942,166.02
"20",1943,203.24
"21",1944,194.83
"22",1945,208.18
"23",1946,204.4
"24",1947,171.61
"25",1948,180.87
"26",1949,154.12
"27",1950,133.4
"28",1951,139.22
"29",1952,120.43
"30",1953,119.53
"31",1954,90.41
"32",1955,100.48
"33",1956,85.16
"34",1957,70.41
"35",1958,70.04
"36",1959,54.59
"37",1960,59.59
"38",1961,48.84
"39",1962,48.78
"40",1963,47.25
"41",1964,42.9
"42",1965,40.8
"43",1966,43.23
"44",1967,34.23
"45",1968,34.09
"46",1969,38.27
"47",1970,33.9
"48",1971,27.48
"49",1972,31.12
"50",1973,49.16
"51",1974,28.44
"52",1975,26.6
"53",1976,33.02
"54",1977,29.34
"55",1978,27.49
"56",1979,27.67
"57",1980,19.29
"58",1981,17.65
"59",1982,15.43
"60",1983,18.43
"61",1984,22.12
"62",1985,19.88
"63",1986,16.48
"64",1987,14
"65",1988,11.25
"66",1989,17.38
"67",1990,16.45
"68",1991,15.69
"69",1992,15.25
"70",1993,14.64
