"","time","plastics"
"1",1,742
"2",1.08333333333333,697
"3",1.16666666666667,776
"4",1.25,898
"5",1.33333333333333,1030
"6",1.41666666666667,1107
"7",1.5,1165
"8",1.58333333333333,1216
"9",1.66666666666667,1208
"10",1.75,1131
"11",1.83333333333333,971
"12",1.91666666666667,783
"13",2,741
"14",2.08333333333333,700
"15",2.16666666666667,774
"16",2.25,932
"17",2.33333333333333,1099
"18",2.41666666666667,1223
"19",2.5,1290
"20",2.58333333333333,1349
"21",2.66666666666667,1341
"22",2.75,1296
"23",2.83333333333333,1066
"24",2.91666666666667,901
"25",3,896
"26",3.08333333333333,793
"27",3.16666666666667,885
"28",3.25,1055
"29",3.33333333333333,1204
"30",3.41666666666667,1326
"31",3.5,1303
"32",3.58333333333333,1436
"33",3.66666666666667,1473
"34",3.75,1453
"35",3.83333333333333,1170
"36",3.91666666666667,1023
"37",4,951
"38",4.08333333333333,861
"39",4.16666666666667,938
"40",4.25,1109
"41",4.33333333333333,1274
"42",4.41666666666667,1422
"43",4.5,1486
"44",4.58333333333333,1555
"45",4.66666666666667,1604
"46",4.75,1600
"47",4.83333333333333,1403
"48",4.91666666666667,1209
"49",5,1030
"50",5.08333333333333,1032
"51",5.16666666666667,1126
"52",5.25,1285
"53",5.33333333333333,1468
"54",5.41666666666667,1637
"55",5.5,1611
"56",5.58333333333333,1608
"57",5.66666666666667,1528
"58",5.75,1420
"59",5.83333333333333,1119
"60",5.91666666666667,1013
