"","time","telephone"
"1",1915,319.29
"2",1916,296.83
"3",1917,234.35
"4",1918,192.35
"5",1919,149.36
"6",1920,128.95
"7",1921,144.35
"8",1922,154.12
"9",1923,151.41
"10",1924,151.11
"11",1925,147.37
"12",1926,134.48
"13",1927,100.17
"14",1928,82.26
"15",1929,82.26
"16",1930,84.4
"17",1931,92.55
"18",1932,103.18
"19",1933,108.77
"20",1934,105.24
"21",1935,102.68
"22",1936,96.04
"23",1937,70.88
"24",1938,72.23
"25",1939,73.27
"26",1940,53.96
"27",1941,42.53
"28",1942,38.44
"29",1943,36.21
"30",1944,35.59
"31",1945,28.27
"32",1946,20.04
"33",1947,17.52
"34",1948,16.26
"35",1949,16.42
"36",1950,16.26
"37",1951,15.07
"38",1952,14.75
"39",1953,14.64
"40",1954,14.56
"41",1955,14.62
"42",1956,14.4
"43",1957,13.91
"44",1958,13.54
"45",1959,12.98
"46",1960,11.89
"47",1961,11.78
"48",1962,11.65
"49",1963,11.51
"50",1964,11.36
"51",1965,11.06
"52",1966,9.65
"53",1967,9.28
"54",1968,7.78
"55",1969,7.26
"56",1970,5.56
"57",1971,5.21
"58",1972,5.05
"59",1973,5.11
"60",1974,4.6
"61",1975,3.95
"62",1976,3.57
"63",1977,3.36
"64",1978,1.3
"65",1979,1.3
"66",1980,2.6
"67",1981,2.72
"68",1982,2.63
"69",1983,2.61
"70",1984,2.57
"71",1985,1.75
"72",1986,1.63
"73",1987,1.39
"74",1988,1.34
"75",1989,1.29
"76",1990,1.26
"77",1991,1.25
"78",1992,1.26
"79",1993,1.29
"80",1994,1.39
"81",1995,1.37
"82",1996,0.9
