"","time","eggs"
"1",1900,276.79
"2",1901,315.42
"3",1902,314.87
"4",1903,321.25
"5",1904,314.54
"6",1905,317.92
"7",1906,303.39
"8",1907,288.62
"9",1908,292.44
"10",1909,320.92
"11",1910,323.38
"12",1911,270.77
"13",1912,301.77
"14",1913,282.99
"15",1914,295.06
"16",1915,276.47
"17",1916,292.8
"18",1917,358.78
"19",1918,345.82
"20",1919,345.42
"21",1920,314.1
"22",1921,228.74
"23",1922,215.76
"24",1923,224.67
"25",1924,225.93
"26",1925,250.87
"27",1926,236.24
"28",1927,209.12
"29",1928,237.31
"30",1929,251.67
"31",1930,205.36
"32",1931,167.21
"33",1932,150.42
"34",1933,154.09
"35",1934,183.67
"36",1935,246.66
"37",1936,227.58
"38",1937,214.6
"39",1938,208.41
"40",1939,181.21
"41",1940,185.67
"42",1941,230.86
"43",1942,266.34
"44",1943,310.29
"45",1944,267.18
"46",1945,303.03
"47",1946,278.46
"48",1947,293.36
"49",1948,283.62
"50",1949,274.26
"51",1950,218.12
"52",1951,265.62
"53",1952,226.7
"54",1953,258
"55",1954,196.98
"56",1955,213.38
"57",1956,209.17
"58",1957,184.5
"59",1958,192.61
"60",1959,155.83
"61",1960,176.32
"62",1961,172.13
"63",1962,161.63
"64",1963,163
"65",1964,157.63
"66",1965,154.5
"67",1966,174.28
"68",1967,135.17
"69",1968,141.36
"70",1969,157.83
"71",1970,145.65
"72",1971,112.06
"73",1972,106.85
"74",1973,170.91
"75",1974,156.26
"76",1975,140.78
"77",1976,148.35
"78",1977,132.61
"79",1978,115.72
"80",1979,116.07
"81",1980,98.76
"82",1981,100.33
"83",1982,89.12
"84",1983,88.67
"85",1984,100.58
"86",1985,76.84
"87",1986,81.1
"88",1987,69.6
"89",1988,64.55
"90",1989,80.36
"91",1990,79.79
"92",1991,74.79
"93",1992,64.86
"94",1993,62.27
