"","time","pigs"
"1",1980,76378
"2",1980.08333333333,71947
"3",1980.16666666667,33873
"4",1980.25,96428
"5",1980.33333333333,105084
"6",1980.41666666667,95741
"7",1980.5,110647
"8",1980.58333333333,100331
"9",1980.66666666667,94133
"10",1980.75,103055
"11",1980.83333333333,90595
"12",1980.91666666667,101457
"13",1981,76889
"14",1981.08333333333,81291
"15",1981.16666666667,91643
"16",1981.25,96228
"17",1981.33333333333,102736
"18",1981.41666666667,100264
"19",1981.5,103491
"20",1981.58333333333,97027
"21",1981.66666666667,95240
"22",1981.75,91680
"23",1981.83333333333,101259
"24",1981.91666666667,109564
"25",1982,76892
"26",1982.08333333333,85773
"27",1982.16666666667,95210
"28",1982.25,93771
"29",1982.33333333333,98202
"30",1982.41666666667,97906
"31",1982.5,100306
"32",1982.58333333333,94089
"33",1982.66666666667,102680
"34",1982.75,77919
"35",1982.83333333333,93561
"36",1982.91666666667,117062
"37",1983,81225
"38",1983.08333333333,88357
"39",1983.16666666667,106175
"40",1983.25,91922
"41",1983.33333333333,104114
"42",1983.41666666667,109959
"43",1983.5,97880
"44",1983.58333333333,105386
"45",1983.66666666667,96479
"46",1983.75,97580
"47",1983.83333333333,109490
"48",1983.91666666667,110191
"49",1984,90974
"50",1984.08333333333,98981
"51",1984.16666666667,107188
"52",1984.25,94177
"53",1984.33333333333,115097
"54",1984.41666666667,113696
"55",1984.5,114532
"56",1984.58333333333,120110
"57",1984.66666666667,93607
"58",1984.75,110925
"59",1984.83333333333,103312
"60",1984.91666666667,120184
"61",1985,103069
"62",1985.08333333333,103351
"63",1985.16666666667,111331
"64",1985.25,106161
"65",1985.33333333333,111590
"66",1985.41666666667,99447
"67",1985.5,101987
"68",1985.58333333333,85333
"69",1985.66666666667,86970
"70",1985.75,100561
"71",1985.83333333333,89543
"72",1985.91666666667,89265
"73",1986,82719
"74",1986.08333333333,79498
"75",1986.16666666667,74846
"76",1986.25,73819
"77",1986.33333333333,77029
"78",1986.41666666667,78446
"79",1986.5,86978
"80",1986.58333333333,75878
"81",1986.66666666667,69571
"82",1986.75,75722
"83",1986.83333333333,64182
"84",1986.91666666667,77357
"85",1987,63292
"86",1987.08333333333,59380
"87",1987.16666666667,78332
"88",1987.25,72381
"89",1987.33333333333,55971
"90",1987.41666666667,69750
"91",1987.5,85472
"92",1987.58333333333,70133
"93",1987.66666666667,79125
"94",1987.75,85805
"95",1987.83333333333,81778
"96",1987.91666666667,86852
"97",1988,69069
"98",1988.08333333333,79556
"99",1988.16666666667,88174
"100",1988.25,66698
"101",1988.33333333333,72258
"102",1988.41666666667,73445
"103",1988.5,76131
"104",1988.58333333333,86082
"105",1988.66666666667,75443
"106",1988.75,73969
"107",1988.83333333333,78139
"108",1988.91666666667,78646
"109",1989,66269
"110",1989.08333333333,73776
"111",1989.16666666667,80034
"112",1989.25,70694
"113",1989.33333333333,81823
"114",1989.41666666667,75640
"115",1989.5,75540
"116",1989.58333333333,82229
"117",1989.66666666667,75345
"118",1989.75,77034
"119",1989.83333333333,78589
"120",1989.91666666667,79769
"121",1990,75982
"122",1990.08333333333,78074
"123",1990.16666666667,77588
"124",1990.25,84100
"125",1990.33333333333,97966
"126",1990.41666666667,89051
"127",1990.5,93503
"128",1990.58333333333,84747
"129",1990.66666666667,74531
"130",1990.75,91900
"131",1990.83333333333,81635
"132",1990.91666666667,89797
"133",1991,81022
"134",1991.08333333333,78265
"135",1991.16666666667,77271
"136",1991.25,85043
"137",1991.33333333333,95418
"138",1991.41666666667,79568
"139",1991.5,103283
"140",1991.58333333333,95770
"141",1991.66666666667,91297
"142",1991.75,101244
"143",1991.83333333333,114525
"144",1991.91666666667,101139
"145",1992,93866
"146",1992.08333333333,95171
"147",1992.16666666667,100183
"148",1992.25,103926
"149",1992.33333333333,102643
"150",1992.41666666667,108387
"151",1992.5,97077
"152",1992.58333333333,90901
"153",1992.66666666667,90336
"154",1992.75,88732
"155",1992.83333333333,83759
"156",1992.91666666667,99267
"157",1993,73292
"158",1993.08333333333,78943
"159",1993.16666666667,94399
"160",1993.25,92937
"161",1993.33333333333,90130
"162",1993.41666666667,91055
"163",1993.5,106062
"164",1993.58333333333,103560
"165",1993.66666666667,104075
"166",1993.75,101783
"167",1993.83333333333,93791
"168",1993.91666666667,102313
"169",1994,82413
"170",1994.08333333333,83534
"171",1994.16666666667,109011
"172",1994.25,96499
"173",1994.33333333333,102430
"174",1994.41666666667,103002
"175",1994.5,91815
"176",1994.58333333333,99067
"177",1994.66666666667,110067
"178",1994.75,101599
"179",1994.83333333333,97646
"180",1994.91666666667,104930
"181",1995,88905
"182",1995.08333333333,89936
"183",1995.16666666667,106723
"184",1995.25,84307
"185",1995.33333333333,114896
"186",1995.41666666667,106749
"187",1995.5,87892
"188",1995.58333333333,100506
