"","time","fancy"
"1",1987,1664.81
"2",1987.08333333333,2397.53
"3",1987.16666666667,2840.71
"4",1987.25,3547.29
"5",1987.33333333333,3752.96
"6",1987.41666666667,3714.74
"7",1987.5,4349.61
"8",1987.58333333333,3566.34
"9",1987.66666666667,5021.82
"10",1987.75,6423.48
"11",1987.83333333333,7600.6
"12",1987.91666666667,19756.21
"13",1988,2499.81
"14",1988.08333333333,5198.24
"15",1988.16666666667,7225.14
"16",1988.25,4806.03
"17",1988.33333333333,5900.88
"18",1988.41666666667,4951.34
"19",1988.5,6179.12
"20",1988.58333333333,4752.15
"21",1988.66666666667,5496.43
"22",1988.75,5835.1
"23",1988.83333333333,12600.08
"24",1988.91666666667,28541.72
"25",1989,4717.02
"26",1989.08333333333,5702.63
"27",1989.16666666667,9957.58
"28",1989.25,5304.78
"29",1989.33333333333,6492.43
"30",1989.41666666667,6630.8
"31",1989.5,7349.62
"32",1989.58333333333,8176.62
"33",1989.66666666667,8573.17
"34",1989.75,9690.5
"35",1989.83333333333,15151.84
"36",1989.91666666667,34061.01
"37",1990,5921.1
"38",1990.08333333333,5814.58
"39",1990.16666666667,12421.25
"40",1990.25,6369.77
"41",1990.33333333333,7609.12
"42",1990.41666666667,7224.75
"43",1990.5,8121.22
"44",1990.58333333333,7979.25
"45",1990.66666666667,8093.06
"46",1990.75,8476.7
"47",1990.83333333333,17914.66
"48",1990.91666666667,30114.41
"49",1991,4826.64
"50",1991.08333333333,6470.23
"51",1991.16666666667,9638.77
"52",1991.25,8821.17
"53",1991.33333333333,8722.37
"54",1991.41666666667,10209.48
"55",1991.5,11276.55
"56",1991.58333333333,12552.22
"57",1991.66666666667,11637.39
"58",1991.75,13606.89
"59",1991.83333333333,21822.11
"60",1991.91666666667,45060.69
"61",1992,7615.03
"62",1992.08333333333,9849.69
"63",1992.16666666667,14558.4
"64",1992.25,11587.33
"65",1992.33333333333,9332.56
"66",1992.41666666667,13082.09
"67",1992.5,16732.78
"68",1992.58333333333,19888.61
"69",1992.66666666667,23933.38
"70",1992.75,25391.35
"71",1992.83333333333,36024.8
"72",1992.91666666667,80721.71
"73",1993,10243.24
"74",1993.08333333333,11266.88
"75",1993.16666666667,21826.84
"76",1993.25,17357.33
"77",1993.33333333333,15997.79
"78",1993.41666666667,18601.53
"79",1993.5,26155.15
"80",1993.58333333333,28586.52
"81",1993.66666666667,30505.41
"82",1993.75,30821.33
"83",1993.83333333333,46634.38
"84",1993.91666666667,104660.67
