"","time","wagesuk"
"1",1260,4.41
"2",1261,4.63
"3",1262,4.38
"4",1263,4.52
"5",1264,4.42
"6",1265,4.64
"7",1266,4.44
"8",1267,5.15
"9",1268,5.23
"10",1269,4.42
"11",1270,4.71
"12",1271,3.76
"13",1272,2.8
"14",1273,3.76
"15",1274,3.91
"16",1275,3.68
"17",1276,3.83
"18",1277,3.71
"19",1278,3.61
"20",1279,3.91
"21",1280,3.91
"22",1281,3.98
"23",1282,3.54
"24",1283,3.32
"25",1284,3.1
"26",1285,4.42
"27",1286,4.05
"28",1287,4.05
"29",1288,5.08
"30",1289,5.31
"31",1290,4.64
"32",1291,3.46
"33",1292,3.83
"34",1293,3.98
"35",1294,3.32
"36",1295,2.8
"37",1296,3.54
"38",1297,3.98
"39",1298,3.46
"40",1299,3.83
"41",1300,3.24
"42",1301,4.29
"43",1302,4.28
"44",1303,4.65
"45",1304,4.57
"46",1305,4.42
"47",1306,4.27
"48",1307,4.57
"49",1308,4.05
"50",1309,3.76
"51",1310,3.47
"52",1311,3.98
"53",1312,4.57
"54",1313,4.86
"55",1314,4.42
"56",1315,3.76
"57",1316,2.28
"58",1317,2.28
"59",1318,3.24
"60",1319,4.13
"61",1320,4.64
"62",1321,4.05
"63",1322,3.54
"64",1323,3.02
"65",1324,3.61
"66",1325,3.91
"67",1326,3.98
"68",1327,5.16
"69",1328,5.16
"70",1329,4.13
"71",1330,4.13
"72",1331,3.68
"73",1332,3.76
"74",1333,4.42
"75",1334,5.01
"76",1335,5.16
"77",1336,4.86
"78",1337,4.42
"79",1338,5.29
"80",1339,5.18
"81",1340,3.83
"82",1341,4.27
"83",1342,4.35
"84",1343,4.42
"85",1344,3.83
"86",1345,3.76
"87",1346,4.2
"88",1347,3.39
"89",1348,3.17
"90",1349,3.83
"91",1350,3.61
"92",1351,2.93
"93",1352,2.6
"94",1353,3.19
"95",1354,3.96
"96",1355,4.24
"97",1356,4.23
"98",1357,4.02
"99",1358,4.02
"100",1359,4.63
"101",1360,4.5
"102",1361,4.64
"103",1362,3.98
"104",1363,3.98
"105",1364,4.05
"106",1365,4.27
"107",1366,5.08
"108",1367,4.5
"109",1368,4.42
"110",1369,4.05
"111",1370,3.32
"112",1371,3.76
"113",1372,4.64
"114",1373,4.64
"115",1374,4.86
"116",1375,4.86
"117",1376,4.2
"118",1377,5.45
"119",1378,6.41
"120",1379,6.49
"121",1380,5.75
"122",1381,5.16
"123",1382,5.53
"124",1383,5.67
"125",1384,5.31
"126",1385,5.45
"127",1386,5.9
"128",1387,6.12
"129",1388,5.97
"130",1389,6.12
"131",1390,5.75
"132",1391,4.57
"133",1392,5.9
"134",1393,6.12
"135",1394,6.04
"136",1395,6.56
"137",1396,6.19
"138",1397,5.31
"139",1398,5.08
"140",1399,5.38
"141",1400,5.9
"142",1401,4.72
"143",1402,4.79
"144",1403,5.22
"145",1404,6.4
"146",1405,6.53
"147",1406,6.6
"148",1407,6.79
"149",1408,6.4
"150",1409,5.82
"151",1410,5.47
"152",1411,6.83
"153",1412,7.15
"154",1413,6.85
"155",1414,6.85
"156",1415,6.41
"157",1416,5.97
"158",1417,5.75
"159",1418,6.49
"160",1419,7.74
