"","time","motion"
"1",1955,218.2
"2",1955.08333333333,217.9
"3",1955.16666666667,224.7
"4",1955.25,236.4
"5",1955.33333333333,238.7
"6",1955.41666666667,240.8
"7",1955.5,241.9
"8",1955.58333333333,241.3
"9",1955.66666666667,240.4
"10",1955.75,233.4
"11",1955.83333333333,226.6
"12",1955.91666666667,219.4
"13",1956,215.8
"14",1956.08333333333,213.8
"15",1956.16666666667,220.8
"16",1956.25,234.5
"17",1956.33333333333,236
"18",1956.41666666667,232.5
"19",1956.5,233.8
"20",1956.58333333333,233.2
"21",1956.66666666667,232.6
"22",1956.75,226.9
"23",1956.83333333333,217.9
"24",1956.91666666667,212.3
"25",1957,208.8
"26",1957.08333333333,209.3
"27",1957.16666666667,212.8
"28",1957.25,208.8
"29",1957.33333333333,211.7
"30",1957.41666666667,214.1
"31",1957.5,214.7
"32",1957.58333333333,216.2
"33",1957.66666666667,218.5
"34",1957.75,213.6
"35",1957.83333333333,206
"36",1957.91666666667,198.9
"37",1958,194.7
"38",1958.08333333333,193.6
"39",1958.16666666667,195.4
"40",1958.25,203
"41",1958.33333333333,204.3
"42",1958.41666666667,203.8
"43",1958.5,205.9
"44",1958.58333333333,207.6
"45",1958.66666666667,205.9
"46",1958.75,198.7
"47",1958.83333333333,189.7
"48",1958.91666666667,186.7
"49",1959,183.7
"50",1959.08333333333,184.9
"51",1959.16666666667,188.4
"52",1959.25,197
"53",1959.33333333333,199.2
"54",1959.41666666667,201.6
"55",1959.5,204.3
"56",1959.58333333333,206.8
"57",1959.66666666667,203.2
"58",1959.75,195.9
"59",1959.83333333333,190.9
"60",1959.91666666667,185.3
"61",1960,184
"62",1960.08333333333,183.4
"63",1960.16666666667,181.7
"64",1960.25,188.4
"65",1960.33333333333,191.6
"66",1960.41666666667,194.5
"67",1960.5,198.1
"68",1960.58333333333,200.4
"69",1960.66666666667,196.3
"70",1960.75,189.1
"71",1960.83333333333,185.1
"72",1960.91666666667,182.6
"73",1961,179.7
"74",1961.08333333333,178.5
"75",1961.16666666667,181.5
"76",1961.25,190.1
"77",1961.33333333333,190.5
"78",1961.41666666667,193.7
"79",1961.5,195.7
"80",1961.58333333333,195.1
"81",1961.66666666667,192.4
"82",1961.75,185.9
"83",1961.83333333333,178.8
"84",1961.91666666667,175.8
"85",1962,169.7
"86",1962.08333333333,169.3
"87",1962.16666666667,172.3
"88",1962.25,180.8
"89",1962.33333333333,183.1
"90",1962.41666666667,182.9
"91",1962.5,186.1
"92",1962.58333333333,189.3
"93",1962.66666666667,183.8
"94",1962.75,179
"95",1962.83333333333,172.5
"96",1962.91666666667,171.1
"97",1963,167.2
"98",1963.08333333333,165
"99",1963.16666666667,168.8
"100",1963.25,175
"101",1963.33333333333,177.9
"102",1963.41666666667,183.7
"103",1963.5,187.2
"104",1963.58333333333,189.3
"105",1963.66666666667,183.4
"106",1963.75,177.3
"107",1963.83333333333,172.3
"108",1963.91666666667,171.4
"109",1964,164.9
"110",1964.08333333333,164.4
"111",1964.16666666667,166.9
"112",1964.25,174.2
"113",1964.33333333333,177.5
"114",1964.41666666667,183.6
"115",1964.5,189.5
"116",1964.58333333333,191.6
"117",1964.66666666667,185.1
"118",1964.75,181.9
"119",1964.83333333333,175.4
"120",1964.91666666667,174.2
"121",1965,172.7
"122",1965.08333333333,168.2
"123",1965.16666666667,171.4
"124",1965.25,177
"125",1965.33333333333,182.6
"126",1965.41666666667,191.4
"127",1965.5,200.8
"128",1965.58333333333,201.2
"129",1965.66666666667,195.6
"130",1965.75,188.4
"131",1965.83333333333,184.8
"132",1965.91666666667,187.3
"133",1966,182.4
"134",1966.08333333333,176.2
"135",1966.16666666667,178.9
"136",1966.25,182.2
"137",1966.33333333333,184.9
"138",1966.41666666667,195.3
"139",1966.5,198.5
"140",1966.58333333333,200.9
"141",1966.66666666667,195.6
"142",1966.75,187.6
"143",1966.83333333333,183.7
"144",1966.91666666667,184.2
"145",1967,179.5
"146",1967.08333333333,179.9
"147",1967.16666666667,181.7
"148",1967.25,191.7
"149",1967.33333333333,199.1
"150",1967.41666666667,205.5
"151",1967.5,212
"152",1967.58333333333,213.1
"153",1967.66666666667,203.3
"154",1967.75,193.4
"155",1967.83333333333,190.3
"156",1967.91666666667,181.5
"157",1968,176
"158",1968.08333333333,176.8
"159",1968.16666666667,182.2
"160",1968.25,191.2
"161",1968.33333333333,197.6
"162",1968.41666666667,201.4
"163",1968.5,208
"164",1968.58333333333,210.2
"165",1968.66666666667,206.3
"166",1968.75,200.5
"167",1968.83333333333,202.2
"168",1968.91666666667,200.1
"169",1969,194.8
"170",1969.08333333333,192.3
"171",1969.16666666667,192.6
"172",1969.25,199
"173",1969.33333333333,207.7
"174",1969.41666666667,215.8
"175",1969.5,219.9
"176",1969.58333333333,221.7
"177",1969.66666666667,214.3
"178",1969.75,211.5
"179",1969.83333333333,206.4
"180",1969.91666666667,204.6
"181",1970,196.8
"182",1970.08333333333,190.8
"183",1970.16666666667,188.5
"184",1970.25,196.5
"185",1970.33333333333,204.7
"186",1970.41666666667,211.7
"187",1970.5,216.8
"188",1970.58333333333,217.3
"189",1970.66666666667,212.8
"190",1970.75,206.6
"191",1970.83333333333,203.9
"192",1970.91666666667,202.9
