"","time","huron"
"1",1875,10.38
"2",1876,11.86
"3",1877,10.97
"4",1878,10.8
"5",1879,9.79
"6",1880,10.39
"7",1881,10.42
"8",1882,10.82
"9",1883,11.4
"10",1884,11.32
"11",1885,11.44
"12",1886,11.68
"13",1887,11.17
"14",1888,10.53
"15",1889,10.01
"16",1890,9.91
"17",1891,9.14
"18",1892,9.16
"19",1893,9.55
"20",1894,9.67
"21",1895,8.44
"22",1896,8.24
"23",1897,9.1
"24",1898,9.09
"25",1899,9.35
"26",1900,8.82
"27",1901,9.32
"28",1902,9.01
"29",1903,9
"30",1904,9.8
"31",1905,9.83
"32",1906,9.72
"33",1907,9.89
"34",1908,10.01
"35",1909,9.37
"36",1910,8.69
"37",1911,8.19
"38",1912,8.67
"39",1913,9.55
"40",1914,8.92
"41",1915,8.09
"42",1916,9.37
"43",1917,10.13
"44",1918,10.14
"45",1919,9.51
"46",1920,9.24
"47",1921,8.66
"48",1922,8.86
"49",1923,8.05
"50",1924,7.79
"51",1925,6.75
"52",1926,6.75
"53",1927,7.82
"54",1928,8.64
"55",1929,10.58
"56",1930,9.48
"57",1931,7.38
"58",1932,6.9
"59",1933,6.94
"60",1934,6.24
"61",1935,6.84
"62",1936,6.85
"63",1937,6.9
"64",1938,7.79
"65",1939,8.18
"66",1940,7.51
"67",1941,7.23
"68",1942,8.42
"69",1943,9.61
"70",1944,9.05
"71",1945,9.26
"72",1946,9.22
"73",1947,9.38
"74",1948,9.1
"75",1949,7.95
"76",1950,8.12
"77",1951,9.75
"78",1952,10.85
"79",1953,10.41
"80",1954,9.96
"81",1955,9.61
"82",1956,8.76
"83",1957,8.18
"84",1958,7.21
"85",1959,7.13
"86",1960,9.1
"87",1961,8.25
"88",1962,7.91
"89",1963,6.89
"90",1964,5.96
"91",1965,6.8
"92",1966,7.68
"93",1967,8.38
"94",1968,8.52
"95",1969,9.74
"96",1970,9.31
"97",1971,9.89
"98",1972,9.96
