"","time","sheep"
"1",1867,2203
"2",1868,2360
"3",1869,2254
"4",1870,2165
"5",1871,2024
"6",1872,2078
"7",1873,2214
"8",1874,2292
"9",1875,2207
"10",1876,2119
"11",1877,2119
"12",1878,2137
"13",1879,2132
"14",1880,1955
"15",1881,1785
"16",1882,1747
"17",1883,1818
"18",1884,1909
"19",1885,1958
"20",1886,1892
"21",1887,1919
"22",1888,1853
"23",1889,1868
"24",1890,1991
"25",1891,2111
"26",1892,2119
"27",1893,1991
"28",1894,1859
"29",1895,1856
"30",1896,1924
"31",1897,1892
"32",1898,1916
"33",1899,1968
"34",1900,1928
"35",1901,1898
"36",1902,1850
"37",1903,1841
"38",1904,1824
"39",1905,1823
"40",1906,1843
"41",1907,1880
"42",1908,1968
"43",1909,2029
"44",1910,1996
"45",1911,1933
"46",1912,1805
"47",1913,1713
"48",1914,1726
"49",1915,1752
"50",1916,1795
"51",1917,1717
"52",1918,1648
"53",1919,1512
"54",1920,1338
"55",1921,1383
"56",1922,1344
"57",1923,1384
"58",1924,1484
"59",1925,1597
"60",1926,1686
"61",1927,1707
"62",1928,1640
"63",1929,1611
"64",1930,1632
"65",1931,1775
"66",1932,1850
"67",1933,1809
"68",1934,1653
"69",1935,1648
"70",1936,1665
"71",1937,1627
"72",1938,1791
"73",1939,1797
