"","time","condmilk"
"1",1971,81.28
"2",1971.08333333333,69.39
"3",1971.16666666667,67.63
"4",1971.25,51.25
"5",1971.33333333333,103.97
"6",1971.41666666667,133.83
"7",1971.5,162.37
"8",1971.58333333333,172.91
"9",1971.66666666667,163.01
"10",1971.75,151.5
"11",1971.83333333333,111.73
"12",1971.91666666667,88.58
"13",1972,74.29
"14",1972.08333333333,63.98
"15",1972.16666666667,61.18
"16",1972.25,76.48
"17",1972.33333333333,107.98
"18",1972.41666666667,124.97
"19",1972.5,145.57
"20",1972.58333333333,140.2
"21",1972.66666666667,143.84
"22",1972.75,138.8
"23",1972.83333333333,104.06
"24",1972.91666666667,74.7
"25",1973,60.18
"26",1973.08333333333,55.16
"27",1973.16666666667,35.62
"28",1973.25,56.18
"29",1973.33333333333,85.44
"30",1973.41666666667,114.08
"31",1973.5,133.64
"32",1973.58333333333,67.14
"33",1973.66666666667,95.58
"34",1973.75,89.37
"35",1973.83333333333,75.24
"36",1973.91666666667,69.18
"37",1974,54.49
"38",1974.08333333333,57.5
"39",1974.16666666667,62.16
"40",1974.25,76.67
"41",1974.33333333333,110.04
"42",1974.41666666667,127.38
"43",1974.5,156.47
"44",1974.58333333333,167.56
"45",1974.66666666667,153.54
"46",1974.75,124.08
"47",1974.83333333333,100.97
"48",1974.91666666667,79.17
"49",1975,68.13
"50",1975.08333333333,61.77
"51",1975.16666666667,54.31
"52",1975.25,60.3
"53",1975.33333333333,84.18
"54",1975.41666666667,104.05
"55",1975.5,114.66
"56",1975.58333333333,105.55
"57",1975.66666666667,96.61
"58",1975.75,70.94
"59",1975.83333333333,63.91
"60",1975.91666666667,58.61
"61",1976,44.53
"62",1976.08333333333,49.58
"63",1976.16666666667,57.39
"64",1976.25,76.76
"65",1976.33333333333,104.57
"66",1976.41666666667,125.41
"67",1976.5,143.11
"68",1976.58333333333,136.35
"69",1976.66666666667,135.15
"70",1976.75,131.7
"71",1976.83333333333,96.87
"72",1976.91666666667,70.63
"73",1977,66.29
"74",1977.08333333333,63.49
"75",1977.16666666667,62.97
"76",1977.25,66.43
"77",1977.33333333333,101.49
"78",1977.41666666667,127.69
"79",1977.5,133.21
"80",1977.58333333333,158.72
"81",1977.66666666667,148.61
"82",1977.75,134.31
"83",1977.83333333333,100.99
"84",1977.91666666667,75.16
"85",1978,59.74
"86",1978.08333333333,52.87
"87",1978.16666666667,52.07
"88",1978.25,57.38
"89",1978.33333333333,79.43
"90",1978.41666666667,101.4
"91",1978.5,120.19
"92",1978.58333333333,134.38
"93",1978.66666666667,135.97
"94",1978.75,113.83
"95",1978.83333333333,84.38
"96",1978.91666666667,70.28
"97",1979,65.96
"98",1979.08333333333,56.36
"99",1979.16666666667,49.57
"100",1979.25,68.33
"101",1979.33333333333,90.32
"102",1979.41666666667,117.06
"103",1979.5,134.69
"104",1979.58333333333,131.67
"105",1979.66666666667,129.25
"106",1979.75,118.77
"107",1979.83333333333,88.44
"108",1979.91666666667,76.79
"109",1980,75.28
"110",1980.08333333333,73.89
"111",1980.16666666667,76.24
"112",1980.25,88.58
"113",1980.33333333333,105.83
"114",1980.41666666667,115.84
"115",1980.5,127.76
"116",1980.58333333333,131.75
"117",1980.66666666667,119.63
"118",1980.75,93.38
"119",1980.83333333333,75.55
"120",1980.91666666667,51.79
