"","time","oilprice"
"1",1870,49.32
"2",1871,58.53
"3",1872,49.09
"4",1873,24.68
"5",1874,16.71
"6",1875,19.86
"7",1876,38.23
"8",1877,36.11
"9",1878,19.59
"10",1879,14.91
"11",1880,15.74
"12",1881,15.4
"13",1882,13.06
"14",1883,19.07
"15",1884,15.28
"16",1885,15.82
"17",1886,12.77
"18",1887,12.05
"19",1888,11.69
"20",1889,13.85
"21",1890,13.85
"22",1891,10.07
"23",1892,9.17
"24",1893,10.79
"25",1894,13.44
"26",1895,21.17
"27",1896,18.64
"28",1897,13.21
"29",1898,15.54
"30",1899,21.94
"31",1900,23.11
"32",1901,18.64
"33",1902,14.94
"34",1903,16.9
"35",1904,15.46
"36",1905,11.15
"37",1906,13.13
"38",1907,12.48
"39",1908,12.95
"40",1909,12.59
"41",1910,10.58
"42",1911,10.58
"43",1912,12.39
"44",1913,15.53
"45",1914,13.06
"46",1915,10.22
"47",1916,16.33
"48",1917,19.72
"49",1918,21.31
"50",1919,18.84
"51",1920,24.84
"52",1921,15.67
"53",1922,15.57
"54",1923,12.73
"55",1924,13.56
"56",1925,15.54
"57",1926,17.22
"58",1927,12.14
"59",1928,11.07
"60",1929,12.02
"61",1930,11.55
"62",1931,6.92
"63",1932,10.33
"64",1933,8.38
"65",1934,12.11
"66",1935,11.46
"67",1936,12.75
"68",1937,13.32
"69",1938,13
"70",1939,11.9
"71",1940,11.79
"72",1941,12.55
"73",1942,11.84
"74",1943,11.25
"75",1944,11.15
"76",1945,10.99
"77",1946,11.7
"78",1947,14.01
"79",1948,17.51
"80",1949,17.27
"81",1950,16.9
"82",1951,15.79
"83",1952,15.45
"84",1953,16.24
"85",1954,16.71
"86",1955,16.77
"87",1956,16.64
"88",1957,17.8
"89",1958,16.87
"90",1959,16.13
"91",1960,15.76
"92",1961,15.66
"93",1962,15.54
"94",1963,15.3
"95",1964,15.05
"96",1965,14.69
"97",1966,14.39
"98",1967,14.18
"99",1968,13.7
"100",1969,13.66
"101",1970,13.27
"102",1971,13.56
"103",1972,13.14
"104",1973,14.19
"105",1974,22.57
"106",1975,23.09
"107",1976,23.31
"108",1977,22.91
"109",1978,22.36
"110",1979,43.06
"111",1980,64.67
"112",1981,64.68
"113",1982,56.9
"114",1983,48.79
"115",1984,45.21
"116",1985,41.4
"117",1986,22.17
"118",1987,25.52
"119",1988,20.28
"120",1989,22.87
"121",1990,27.63
"122",1991,22.95
"123",1992,21.35
"124",1993,18.38
"125",1994,17.15
"126",1995,18.27
"127",1996,19.4
"128",1997,20.52
