"","time","invent15"
"1",1,143
"2",1.08333333333333,152
"3",1.16666666666667,161
"4",1.25,139
"5",1.33333333333333,137
"6",1.41666666666667,174
"7",1.5,142
"8",1.58333333333333,141
"9",1.66666666666667,162
"10",1.75,180
"11",1.83333333333333,164
"12",1.91666666666667,171
"13",2,206
"14",2.08333333333333,193
"15",2.16666666666667,207
"16",2.25,218
"17",2.33333333333333,229
"18",2.41666666666667,225
"19",2.5,204
"20",2.58333333333333,227
"21",2.66666666666667,223
"22",2.75,242
"23",2.83333333333333,239
"24",2.91666666666667,266
