"","time","milk"
"1",1,589
"2",1.08333333333333,561
"3",1.16666666666667,640
"4",1.25,656
"5",1.33333333333333,727
"6",1.41666666666667,697
"7",1.5,640
"8",1.58333333333333,599
"9",1.66666666666667,568
"10",1.75,577
"11",1.83333333333333,553
"12",1.91666666666667,582
"13",2,600
"14",2.08333333333333,566
"15",2.16666666666667,653
"16",2.25,673
"17",2.33333333333333,742
"18",2.41666666666667,716
"19",2.5,660
"20",2.58333333333333,617
"21",2.66666666666667,583
"22",2.75,587
"23",2.83333333333333,565
"24",2.91666666666667,598
"25",3,628
"26",3.08333333333333,618
"27",3.16666666666667,688
"28",3.25,705
"29",3.33333333333333,770
"30",3.41666666666667,736
"31",3.5,678
"32",3.58333333333333,639
"33",3.66666666666667,604
"34",3.75,611
"35",3.83333333333333,594
"36",3.91666666666667,634
"37",4,658
"38",4.08333333333333,622
"39",4.16666666666667,709
"40",4.25,722
"41",4.33333333333333,782
"42",4.41666666666667,756
"43",4.5,702
"44",4.58333333333333,653
"45",4.66666666666667,615
"46",4.75,621
"47",4.83333333333333,602
"48",4.91666666666667,635
"49",5,677
"50",5.08333333333333,635
"51",5.16666666666667,736
"52",5.25,755
"53",5.33333333333333,811
"54",5.41666666666667,798
"55",5.5,735
"56",5.58333333333333,697
"57",5.66666666666667,661
"58",5.75,667
"59",5.83333333333333,645
"60",5.91666666666667,688
"61",6,713
"62",6.08333333333333,667
"63",6.16666666666667,762
"64",6.25,784
"65",6.33333333333333,837
"66",6.41666666666667,817
"67",6.5,767
"68",6.58333333333333,722
"69",6.66666666666667,681
"70",6.75,687
"71",6.83333333333333,660
"72",6.91666666666667,698
"73",7,717
"74",7.08333333333333,696
"75",7.16666666666667,775
"76",7.25,796
"77",7.33333333333333,858
"78",7.41666666666667,826
"79",7.5,783
"80",7.58333333333333,740
"81",7.66666666666667,701
"82",7.75,706
"83",7.83333333333333,677
"84",7.91666666666667,711
"85",8,734
"86",8.08333333333333,690
"87",8.16666666666667,785
"88",8.25,805
"89",8.33333333333333,871
"90",8.41666666666667,845
"91",8.5,801
"92",8.58333333333333,764
"93",8.66666666666667,725
"94",8.75,723
"95",8.83333333333333,690
"96",8.91666666666667,734
"97",9,750
"98",9.08333333333333,707
"99",9.16666666666667,807
"100",9.25,824
"101",9.33333333333333,886
"102",9.41666666666667,859
"103",9.5,819
"104",9.58333333333333,783
"105",9.66666666666667,740
"106",9.75,747
"107",9.83333333333333,711
"108",9.91666666666667,751
"109",10,804
"110",10.0833333333333,756
"111",10.1666666666667,860
"112",10.25,878
"113",10.3333333333333,942
"114",10.4166666666667,913
"115",10.5,869
"116",10.5833333333333,834
"117",10.6666666666667,790
"118",10.75,800
"119",10.8333333333333,763
"120",10.9166666666667,800
"121",11,826
"122",11.0833333333333,799
"123",11.1666666666667,890
"124",11.25,900
"125",11.3333333333333,961
"126",11.4166666666667,935
"127",11.5,894
"128",11.5833333333333,855
"129",11.6666666666667,809
"130",11.75,810
"131",11.8333333333333,766
"132",11.9166666666667,805
"133",12,821
"134",12.0833333333333,773
"135",12.1666666666667,883
"136",12.25,898
"137",12.3333333333333,957
"138",12.4166666666667,924
"139",12.5,881
"140",12.5833333333333,837
"141",12.6666666666667,784
"142",12.75,791
"143",12.8333333333333,760
"144",12.9166666666667,802
"145",13,828
"146",13.0833333333333,778
"147",13.1666666666667,889
"148",13.25,902
"149",13.3333333333333,969
"150",13.4166666666667,947
"151",13.5,908
"152",13.5833333333333,867
"153",13.6666666666667,815
"154",13.75,812
"155",13.8333333333333,773
"156",13.9166666666667,813
"157",14,834
"158",14.0833333333333,782
"159",14.1666666666667,892
"160",14.25,903
"161",14.3333333333333,966
"162",14.4166666666667,937
"163",14.5,896
"164",14.5833333333333,858
"165",14.6666666666667,817
"166",14.75,827
"167",14.8333333333333,797
"168",14.9166666666667,843
