"","time","dowjones"
"1",1,110.94
"2",2,110.69
"3",3,110.43
"4",4,110.56
"5",5,110.75
"6",6,110.84
"7",7,110.46
"8",8,110.56
"9",9,110.46
"10",10,110.05
"11",11,109.6
"12",12,109.31
"13",13,109.31
"14",14,109.25
"15",15,109.02
"16",16,108.54
"17",17,108.77
"18",18,109.02
"19",19,109.44
"20",20,109.38
"21",21,109.53
"22",22,109.89
"23",23,110.56
"24",24,110.56
"25",25,110.72
"26",26,111.23
"27",27,111.48
"28",28,111.58
"29",29,111.9
"30",30,112.19
"31",31,112.06
"32",32,111.96
"33",33,111.68
"34",34,111.36
"35",35,111.42
"36",36,112
"37",37,112.22
"38",38,112.7
"39",39,113.15
"40",40,114.36
"41",41,114.65
"42",42,115.06
"43",43,115.86
"44",44,116.4
"45",45,116.44
"46",46,116.88
"47",47,118.07
"48",48,118.51
"49",49,119.28
"50",50,119.79
"51",51,119.7
"52",52,119.28
"53",53,119.66
"54",54,120.14
"55",55,120.97
"56",56,121.13
"57",57,121.55
"58",58,121.96
"59",59,122.26
"60",60,123.79
"61",61,124.11
"62",62,124.14
"63",63,123.37
"64",64,123.02
"65",65,122.86
"66",66,123.02
"67",67,123.11
"68",68,123.05
"69",69,123.05
"70",70,122.83
"71",71,123.18
"72",72,122.67
"73",73,122.73
"74",74,122.86
"75",75,122.67
"76",76,122.09
"77",77,122
"78",78,121.23
