"","time","schizo"
"1",1,55
"2",2,56
"3",3,48
"4",4,46
"5",5,56
"6",6,46
"7",7,59
"8",8,60
"9",9,53
"10",10,58
"11",11,73
"12",12,69
"13",13,72
"14",14,51
"15",15,72
"16",16,69
"17",17,68
"18",18,69
"19",19,79
"20",20,77
"21",21,53
"22",22,63
"23",23,80
"24",24,65
"25",25,78
"26",26,64
"27",27,72
"28",28,77
"29",29,82
"30",30,77
"31",31,35
"32",32,79
"33",33,71
"34",34,73
"35",35,77
"36",36,76
"37",37,83
"38",38,73
"39",39,78
"40",40,91
"41",41,70
"42",42,88
"43",43,88
"44",44,85
"45",45,77
"46",46,63
"47",47,91
"48",48,94
"49",49,72
"50",50,83
"51",51,88
"52",52,78
"53",53,84
"54",54,78
"55",55,75
"56",56,75
"57",57,86
"58",58,79
"59",59,76
"60",60,87
"61",61,66
"62",62,73
"63",63,62
"64",64,27
"65",65,52
"66",66,47
"67",67,65
"68",68,59
"69",69,77
"70",70,47
"71",71,51
"72",72,47
"73",73,49
"74",74,54
"75",75,58
"76",76,56
"77",77,50
"78",78,54
"79",79,45
"80",80,66
"81",81,39
"82",82,51
"83",83,39
"84",84,27
"85",85,39
"86",86,37
"87",87,43
"88",88,41
"89",89,27
"90",90,29
"91",91,27
"92",92,26
"93",93,29
"94",94,31
"95",95,28
"96",96,38
"97",97,37
"98",98,26
"99",99,31
"100",100,45
"101",101,38
"102",102,33
"103",103,33
"104",104,25
"105",105,24
"106",106,29
"107",107,37
"108",108,35
"109",109,32
"110",110,31
"111",111,28
"112",112,40
"113",113,31
"114",114,37
"115",115,34
"116",116,43
"117",117,38
"118",118,33
"119",119,28
"120",120,35
