"","time","copper3"
"1",1,1.467682
"2",2,1.9472352
"3",3,2.2454436
"4",4,2.2411734
"5",5,2.4190838
"6",6,3.1530446
"7",7,2.5015835
"8",8,2.7864546
"9",9,2.8338433
"10",10,2.8162418
"11",11,2.5450054
"12",12,2.3976112
"13",13,2.3566653
"14",14,2.3041978
"15",15,2.4945403
"16",16,3.2951923
"17",17,3.2010826
"18",18,2.8265956
"19",19,3.1006002
"20",20,3.2592207
"21",21,3.1895266
"22",22,3.7470782
"23",23,3.8570268
"24",24,4.8135085
"25",25,5.3147049
"26",26,3.7199948
"27",27,3.1431502
"28",28,3.6870024
"29",29,3.7921632
"30",30,3.4999505
"31",31,3.5412841
"32",32,3.4988042
"33",33,3.5984385
"34",34,3.8770262
"35",35,3.833218
"36",36,3.9432313
"37",37,4.1319294
"38",38,4.4867502
"39",39,5.1792938
"40",40,4.433305
"41",41,4.2293436
"42",42,4.6271469
"43",43,5.4139204
