"","time","french"
"1",1,108
"2",1.08333333333333,108
"3",1.16666666666667,110
"4",1.25,106
"5",1.33333333333333,108
"6",1.41666666666667,108
"7",1.5,105
"8",1.58333333333333,100
"9",1.66666666666667,97
"10",1.75,95
"11",1.83333333333333,95
"12",1.91666666666667,92
"13",2,95
"14",2.08333333333333,95
"15",2.16666666666667,98
"16",2.25,97
"17",2.33333333333333,101
"18",2.41666666666667,104
"19",2.5,101
"20",2.58333333333333,99
"21",2.66666666666667,95
"22",2.75,95
"23",2.83333333333333,96
"24",2.91666666666667,96
"25",3,97
"26",3.08333333333333,98
"27",3.16666666666667,94
"28",3.25,92
