"","time","cpimel"
"1",1980,45.2
"2",1980.25,46.6
"3",1980.5,47.5
"4",1980.75,48.5
"5",1981,49.6
"6",1981.25,50.7
"7",1981.5,51.8
"8",1981.75,54.1
"9",1982,54.8
"10",1982.25,56.1
"11",1982.5,58.1
"12",1982.75,59.6
"13",1983,60.9
"14",1983.25,62.6
"15",1983.5,63.6
"16",1983.75,65.5
"17",1984,65.1
"18",1984.25,65.3
"19",1984.5,66.3
"20",1984.75,67.1
"21",1985,67.9
"22",1985.25,69.9
"23",1985.5,71.4
"24",1985.75,72.6
"25",1986,74.6
"26",1986.25,75.7
"27",1986.5,77.7
"28",1986.75,80
"29",1987,81.5
"30",1987.25,82.8
"31",1987.5,84.3
"32",1987.75,85.7
"33",1988,87
"34",1988.25,88.6
"35",1988.5,89.9
"36",1988.75,91.5
"37",1989,92.7
"38",1989.25,95.2
"39",1989.5,97.3
"40",1989.75,99.2
"41",1990,100.7
"42",1990.25,102.7
"43",1990.5,103.5
"44",1990.75,106.6
"45",1991,106.1
"46",1991.25,106.8
"47",1991.5,107.6
"48",1991.75,108.4
"49",1992,108.3
"50",1992.25,108.2
"51",1992.5,107.9
"52",1992.75,108.2
"53",1993,109.5
"54",1993.25,110.1
"55",1993.5,110.5
"56",1993.75,110.8
"57",1994,111.2
"58",1994.25,112
"59",1994.5,112.2
"60",1994.75,113.1
"61",1995,115
"62",1995.25,116.2
