"","time","cowtemp"
"1",1,60
"2",2,70
"3",3,54
"4",4,56
"5",5,70
"6",6,66
"7",7,53
"8",8,95
"9",9,70
"10",10,69
"11",11,56
"12",12,70
"13",13,70
"14",14,60
"15",15,60
"16",16,60
"17",17,50
"18",18,50
"19",19,48
"20",20,59
"21",21,50
"22",22,60
"23",23,70
"24",24,54
"25",25,46
"26",26,57
"27",27,57
"28",28,51
"29",29,51
"30",30,59
"31",31,42
"32",32,46
"33",33,40
"34",34,40
"35",35,54
"36",36,47
"37",37,67
"38",38,50
"39",39,60
"40",40,54
"41",41,55
"42",42,50
"43",43,55
"44",44,54
"45",45,47
"46",46,48
"47",47,54
"48",48,42
"49",49,43
"50",50,62
"51",51,49
"52",52,41
"53",53,45
"54",54,40
"55",55,49
"56",56,46
"57",57,54
"58",58,54
"59",59,60
"60",60,58
"61",61,52
"62",62,47
"63",63,53
"64",64,39
"65",65,55
"66",66,45
"67",67,47
"68",68,41
"69",69,48
"70",70,42
"71",71,45
"72",72,48
"73",73,52
"74",74,49
"75",75,53
