"","time","copper"
"1",1800,9.281972
"2",1801,8.9997
"3",1802,8.560122
"4",1803,8.599723
"5",1804,9.599666
"6",1805,10.099527
"7",1806,9.956961
"8",1807,10.390599
"9",1808,8.549561
"10",1809,8.597523
"11",1810,8.195346
"12",1811,6.407771
"13",1812,8.170265
"14",1813,7.82045
"15",1814,8.571122
"16",1815,7.34699
"17",1816,6.423171
"18",1817,5.118516
"19",1818,5.732342
"20",1819,5.90835
"21",1820,6.213942
"22",1821,6.749665
"23",1822,6.344848
"24",1823,6.499735
"25",1824,6.87243
"26",1825,8.020219
"27",1826,7.835631
"28",1827,6.912252
"29",1828,6.714024
"30",1829,6.587298
"31",1830,6.166861
"32",1831,6.222963
"33",1832,6.727444
"34",1833,7.114221
"35",1834,7.026437
"36",1835,6.799827
"37",1836,7.33907
"38",1837,7.123241
"39",1838,7.148102
"40",1839,6.86759
"41",1840,7.325429
"42",1841,7.233906
"43",1842,7.021377
"44",1843,6.791687
"45",1844,6.887611
"46",1845,7.272187
"47",1846,7.80725
"48",1847,7.432354
"49",1848,7.417613
"50",1849,7.714186
"51",1850,7.714186
"52",1851,7.355351
"53",1852,8.431856
"54",1853,10.441201
"55",1854,10.033084
"56",1855,9.514742
"57",1856,10.365298
"58",1857,9.642787
"59",1858,8.969999
"60",1859,8.671006
"61",1860,8.704228
"62",1861,8.476298
"63",1862,7.491756
"64",1863,9.402757
"65",1864,10.262554
"66",1865,8.76781
"67",1866,8.000198
"68",1867,6.206462
"69",1868,5.901089
"70",1869,6.234623
"71",1870,5.725522
"72",1871,6.87023
"73",1872,10.148589
"74",1873,7.982157
"75",1874,6.640541
"76",1875,7.059438
"77",1876,6.734925
"78",1877,6.093377
"79",1878,5.874468
"80",1879,6.817428
"81",1880,7.608581
"82",1881,6.476194
"83",1882,6.546817
"84",1883,5.827826
"85",1884,5.245462
"86",1885,4.219118
"87",1886,4.181057
"88",1887,4.295021
"89",1888,6.38555
"90",1889,5.245462
"91",1890,6.005594
"92",1891,4.97925
"93",1892,4.371145
"94",1893,4.142995
"95",1894,3.749838
"96",1895,4.433407
"97",1896,4.515471
"98",1897,4.638676
"99",1898,4.885086
"100",1899,7.266027
"101",1900,6.814348
"102",1901,6.937553
"103",1902,4.73658
"104",1903,5.2074
"105",1904,4.97925
"106",1905,6.005594
"107",1906,7.449955
"108",1907,7.80703
"109",1908,5.176819
"110",1909,5.098935
"111",1910,4.841745
"112",1911,4.691698
"113",1912,5.943331
"114",1913,5.555455
"115",1914,4.678498
"116",1915,5.980733
"117",1916,8.838213
"118",1917,8.04618
"119",1918,5.755663
"120",1919,3.875024
"121",1920,3.152733
"122",1921,2.470484
"123",1922,2.805339
"124",1923,2.982006
"125",1924,2.688954
"126",1925,2.822499
"127",1926,2.736476
"128",1927,2.627351
"129",1928,2.985966
"130",1929,3.712217
"131",1930,2.732515
"132",1931,1.906601
"133",1932,1.467682
"134",1933,1.947302
"135",1934,2.245635
"136",1935,2.241235
"137",1936,2.419222
"138",1937,3.153173
"139",1938,2.501726
"140",1939,2.786638
"141",1940,2.83394
"142",1941,2.816339
"143",1942,2.545068
"144",1943,2.397661
"145",1944,2.35674
"146",1945,2.304377
"147",1946,2.494685
"148",1947,3.295299
"149",1948,3.201135
"150",1949,2.826679
"151",1950,3.100811
"152",1951,3.259438
"153",1952,3.189695
"154",1953,3.747198
"155",1954,3.857203
"156",1955,4.813803
"157",1956,5.314985
"158",1957,3.720137
"159",1958,3.143273
"160",1959,3.687136
"161",1960,3.7923
"162",1961,3.500128
"163",1962,3.54149
"164",1963,3.499028
"165",1964,3.598692
"166",1965,3.877224
"167",1966,3.833442
"168",1967,3.943447
"169",1968,4.131995
"170",1969,4.48687
"171",1970,5.179459
"172",1971,4.433407
"173",1972,4.229459
"174",1973,4.627235
"175",1974,5.414209
"176",1975,4.120554
"177",1976,4.223738
"178",1977,3.806381
"179",1978,3.521909
"180",1979,4.437587
"181",1980,4.245079
"182",1981,3.198495
"183",1982,2.60491
"184",1983,2.652212
"185",1984,2.220114
"186",1985,2.150151
"187",1986,2.082608
"188",1987,2.507666
"189",1988,3.519489
"190",1989,3.648634
"191",1990,3.253717
"192",1991,2.771897
"193",1992,2.643192
"194",1993,2.197893
"195",1994,2.514706
"196",1995,2.197013
"197",1996,2.464104
"198",1997,2.587309
