"","time","ukdeaths"
"1",1975,1577
"2",1975.08333333333,1356
"3",1975.16666666667,1652
"4",1975.25,1382
"5",1975.33333333333,1519
"6",1975.41666666667,1421
"7",1975.5,1442
"8",1975.58333333333,1543
"9",1975.66666666667,1656
"10",1975.75,1561
"11",1975.83333333333,1905
"12",1975.91666666667,2199
"13",1976,1473
"14",1976.08333333333,1655
"15",1976.16666666667,1407
"16",1976.25,1395
"17",1976.33333333333,1530
"18",1976.41666666667,1309
"19",1976.5,1526
"20",1976.58333333333,1327
"21",1976.66666666667,1627
"22",1976.75,1748
"23",1976.83333333333,1958
"24",1976.91666666667,2274
"25",1977,1648
"26",1977.08333333333,1401
"27",1977.16666666667,1411
"28",1977.25,1403
"29",1977.33333333333,1394
"30",1977.41666666667,1520
"31",1977.5,1528
"32",1977.58333333333,1643
"33",1977.66666666667,1515
"34",1977.75,1685
"35",1977.83333333333,2000
"36",1977.91666666667,2215
"37",1978,1956
"38",1978.08333333333,1462
"39",1978.16666666667,1563
"40",1978.25,1459
"41",1978.33333333333,1446
"42",1978.41666666667,1622
"43",1978.5,1657
"44",1978.58333333333,1638
"45",1978.66666666667,1643
"46",1978.75,1683
"47",1978.83333333333,2050
"48",1978.91666666667,2262
"49",1979,1813
"50",1979.08333333333,1445
"51",1979.16666666667,1762
"52",1979.25,1461
"53",1979.33333333333,1556
"54",1979.41666666667,1431
"55",1979.5,1427
"56",1979.58333333333,1554
"57",1979.66666666667,1645
"58",1979.75,1653
"59",1979.83333333333,2016
"60",1979.91666666667,2207
"61",1980,1665
"62",1980.08333333333,1361
"63",1980.16666666667,1506
"64",1980.25,1360
"65",1980.33333333333,1453
"66",1980.41666666667,1522
"67",1980.5,1460
"68",1980.58333333333,1552
"69",1980.66666666667,1548
"70",1980.75,1827
"71",1980.83333333333,1737
"72",1980.91666666667,1941
"73",1981,1474
"74",1981.08333333333,1458
"75",1981.16666666667,1542
"76",1981.25,1404
"77",1981.33333333333,1522
"78",1981.41666666667,1385
"79",1981.5,1641
"80",1981.58333333333,1510
"81",1981.66666666667,1681
"82",1981.75,1938
"83",1981.83333333333,1868
"84",1981.91666666667,1726
"85",1982,1456
"86",1982.08333333333,1445
"87",1982.16666666667,1456
"88",1982.25,1365
"89",1982.33333333333,1487
"90",1982.41666666667,1558
"91",1982.5,1488
"92",1982.58333333333,1684
"93",1982.66666666667,1594
"94",1982.75,1850
"95",1982.83333333333,1998
"96",1982.91666666667,2079
"97",1983,1494
"98",1983.08333333333,1057
"99",1983.16666666667,1218
"100",1983.25,1168
"101",1983.33333333333,1236
"102",1983.41666666667,1076
"103",1983.5,1174
"104",1983.58333333333,1139
"105",1983.66666666667,1427
"106",1983.75,1487
"107",1983.83333333333,1483
"108",1983.91666666667,1513
"109",1984,1357
"110",1984.08333333333,1165
"111",1984.16666666667,1282
"112",1984.25,1110
"113",1984.33333333333,1297
"114",1984.41666666667,1185
"115",1984.5,1222
"116",1984.58333333333,1284
"117",1984.66666666667,1444
"118",1984.75,1575
"119",1984.83333333333,1737
"120",1984.91666666667,1763
