"","PA","TA","KA","FA","THETA","SA","SHA","BA","DA","GA","VA","THAT","ZA","ZHA","MA","NA"
"PA",0,0.229,0.432,0.101,0.124,0.052,0.038,0.022,0.025,0.013,0.016,0.028,0.025,0.019,0.025,0.017
"TA",0.229,0,0.241,0.057,0.079,0.05,0.05,0.013,0.022,0.016,0.022,0.016,0.023,0.017,0.022,0.018
"KA",0.432,0.241,0,0.077,0.084,0.063,0.047,0.018,0.02,0.03,0.02,0.018,0.025,0.019,0.021,0.02
"FA",0.101,0.057,0.077,0,0.423,0.066,0.03,0.046,0.025,0.015,0.035,0.032,0.018,0.007,0.016,0.012
"THETA",0.124,0.079,0.084,0.423,0,0.157,0.048,0.045,0.041,0.039,0.04,0.031,0.033,0.017,0.019,0.018
"SA",0.052,0.05,0.063,0.066,0.157,0,0.115,0.024,0.031,0.033,0.023,0.026,0.035,0.022,0.017,0.013
"SHA",0.038,0.05,0.047,0.03,0.048,0.115,0,0.012,0.033,0.021,0.02,0.018,0.017,0.012,0.012,0.011
"BA",0.022,0.013,0.018,0.046,0.045,0.024,0.012,0,0.058,0.069,0.21,0.145,0.055,0.027,0.038,0.024
"DA",0.025,0.022,0.02,0.025,0.041,0.031,0.033,0.058,0,0.342,0.059,0.094,0.106,0.089,0.024,0.032
"GA",0.013,0.016,0.03,0.015,0.039,0.033,0.021,0.069,0.342,0,0.054,0.12,0.139,0.125,0.032,0.03
"VA",0.016,0.022,0.02,0.035,0.04,0.023,0.02,0.21,0.059,0.054,0,0.338,0.08,0.029,0.03,0.022
"THAT",0.028,0.016,0.018,0.032,0.031,0.026,0.018,0.145,0.094,0.12,0.338,0,0.161,0.033,0.034,0.028
"ZA",0.025,0.023,0.025,0.018,0.033,0.035,0.017,0.055,0.106,0.139,0.08,0.161,0,0.136,0.021,0.016
"ZHA",0.019,0.017,0.019,0.007,0.017,0.022,0.012,0.027,0.089,0.125,0.029,0.033,0.136,0,0.016,0.03
"MA",0.025,0.022,0.021,0.016,0.019,0.017,0.012,0.038,0.024,0.032,0.03,0.034,0.021,0.016,0,0.151
"NA",0.017,0.018,0.02,0.012,0.018,0.013,0.011,0.024,0.032,0.03,0.022,0.028,0.016,0.03,0.151,0
