"","name","country.etc","pop","lat","long","capital"
"1","Abbotsford BC","BC",157795,49.06,-122.3,0
"2","Acton ON","ON",8308,43.63,-80.03,0
"3","Acton Vale QC","QC",5153,45.63,-72.57,0
"4","Airdrie AB","AB",25863,51.3,-114.02,0
"5","Aklavik NT","NT",643,68.22,-135,0
"6","Albanel QC","QC",1090,48.87,-72.42,0
"7","Alberton PE","PE",1154,46.8,-64.07,0
"8","Aldergrove BC","BC",11972,49.06,-122.5,0
"9","Alencon QC","QC",1427,46.07,-73.13,0
"10","Alexandria ON","ON",3604,45.3,-74.63,0
"11","Alfred QC","QC",1442,45.55,-74.87,0
"12","Alliston ON","ON",10353,44.15,-79.87,0
"13","Alma QC","QC",29880,48.55,-71.66,0
"14","Almonte ON","ON",4984,45.22,-76.2,0
"15","Altona MB","MB",3647,49.1,-97.57,0
"16","Amherst NS","NS",9297,45.83,-64.21,0
"17","Amherstburg ON","ON",11605,42.1,-83.1,0
"18","Amigo Beach ON","ON",1145,44.77,-79.34,0
"19","Amos QC","QC",10472,48.57,-78.14,0
"20","Amqui QC","QC",5135,48.47,-67.43,0
"21","Angus-Borden ON","ON",10399,44.32,-79.88,0
"22","Antigonish NS","NS",4957,45.62,-61.97,0
"23","Armstrong BC","BC",4278,50.45,-119.18,0
"24","Arnold's Cove NL","NL",914,47.77,-53.99,0
"25","Arnprior ON","ON",9729,45.43,-76.37,0
"26","Arthur ON","ON",2443,43.83,-80.53,0
"27","Asbestos QC","QC",7284,45.78,-71.95,0
"28","Ashcroft BC","BC",1797,50.72,-121.27,0
"29","Assiniboia SK","SK",2282,49.62,-105.98,0
"30","Athabasca AB","AB",2569,54.72,-113.27,0
"31","Atikokan ON","ON",3808,48.75,-91.62,0
"32","Attawapiskat ON","ON",1383,52.92,-82.43,0
"33","Aylmer ON","ON",7623,42.78,-80.98,0
"34","Ayr ON","ON",3889,43.28,-80.45,0
"35","Bagotville QC","QC",1085,48.35,-70.88,0
"36","Baie-Comeau QC","QC",10472,49.22,-68.16,0
"37","Baie-Saint-Paul QC","QC",4528,47.43,-70.5,0
"38","Banff AB","AB",7590,51.17,-115.57,0
"39","Barraute QC","QC",1184,48.43,-77.63,0
"40","Barrhead AB","AB",4482,54.12,-114.4,0
"41","Barrie ON","ON",198492,44.38,-79.68,0
"42","Barry's Bay ON","ON",1347,45.48,-77.68,0
"43","Bassano AB","AB",1404,50.78,-112.47,0
"44","Bathurst NB","NB",18683,47.62,-65.65,0
"45","Bay Roberts NL","NL",14975,47.59,-53.29,0
"46","Beamsville ON","ON",9677,43.17,-79.47,0
"47","Beauceville QC","QC",4496,46.2,-70.77,0
"48","Beaumont AB","AB",7453,53.35,-113.42,0
"49","Beaupre QC","QC",5306,47.05,-70.88,0
"50","Beausejour MB","MB",2913,50.07,-96.52,0
"51","Beaverlodge AB","AB",2245,55.2,-119.45,0
"52","Beaverton ON","ON",3279,44.43,-79.15,0
"53","Bedford QC","QC",2720,45.12,-72.98,0
"54","Beeton ON","ON",4088,44.11,-79.79,0
"55","Belleville ON","ON",66198,44.17,-77.38,0
"56","Belmont ON","ON",1946,42.88,-81.06,0
"57","Beloeil QC","QC",43168,45.55,-73.23,0
"58","Bernierville QC","QC",1386,46.1,-71.54,0
"59","Berthierville QC","QC",4427,46.08,-73.17,0
"60","Berwick NS","NS",2250,45.03,-64.73,0
"61","Betsiamites QC","QC",1658,48.95,-68.65,0
"62","Biggar SK","SK",2034,52.05,-107.98,0
"63","Bishop's Falls NL","NL",3219,49.02,-55.52,0
"64","Black Diamond AB","AB",3706,50.7,-114.23,0
"65","Blackfalds AB","AB",3236,52.38,-113.8,0
"66","Blairmore AB","AB",2120,49.6,-114.43,0
"67","Blenheim ON","ON",5129,42.33,-82,0
"68","Blind Bay BC","BC",1429,50.85,-119.35,0
"69","Blind River ON","ON",3004,46.18,-82.95,0
"70","Bobcaygeon ON","ON",3053,44.53,-78.55,0
"71","Boissevain MB","MB",1571,49.23,-100.05,0
"72","Bolton ON","ON",21985,43.88,-79.73,0
"73","Bon Accord AB","AB",1630,53.83,-113.42,0
"74","Bonaventure QC","QC",1485,48.05,-65.47,0
"75","Bonavista NL","NL",3580,48.65,-53.13,0
"76","Bonnyville AB","AB",6073,54.27,-110.75,0
"77","Botwood NL","NL",2876,49.15,-55.37,0
"78","Bouctouche NB","NB",1880,46.48,-64.72,0
"79","Bourget ON","ON",1075,45.44,-75.16,0
"80","Bow Island AB","AB",1813,49.87,-111.37,0
"81","Bowmanville-Newcastle ON","ON",34825,43.9,-78.68,0
"82","Bracebridge ON","ON",8342,45.03,-79.3,0
"83","Bradford ON","ON",19278,44.12,-79.56,0
"84","Brandon MB","MB",25134,49.84,-99.96,0
"85","Brantford ON","ON",87972,43.15,-80.26,0
"86","Bridgenorth-Chemong Park Area ON","ON",2438,44.5,-78.33,0
"87","Bridgetown NS","NS",1053,44.85,-65.15,0
"88","Bridgewater NS","NS",8147,44.38,-64.52,0
"89","Brighton ON","ON",5218,44.03,-77.73,0
"90","Brockville ON","ON",24083,44.61,-75.7,0
"91","Bromont QC","QC",1046,45.28,-72.65,0
"92","Brooklin ON","ON",6192,43.95,-78.96,0
"93","Brooks AB","AB",13045,50.57,-111.91,0
"94","Brookside NS","NS",1227,44.72,-63.38,0
