"","INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"1","[75.000-","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No","Three","None","Own","House","White",NA
"2","[75.000-","M","Married","45-54","College graduate","Homemaker","10+ years","No","Five","Two","Own","House","White","English"
"3","[75.000-","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Rent","Apartment","White","English"
"4","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"5","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Four","Two","Family","House","White","English"
"6","[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"7","-10.000)","M","Single","18-24","Graduated High Scool","Unemployed","7-10 years","Not Married","Three","One","Rent","Apartment","White","English"
"8","[30.000-40.000)","M","Divorced","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"9","[10.000-15.000)","M","Married","55-64","Graduated High Scool","Retired","10+ years","No","Three","None","Rent","Apartment","White","English"
"10","[20.000-25.000)","M","Married","65+","1 to 3 years of college","Retired","7-10 years","No","Two","None","Rent","Apartment","White","English"
"11","-10.000)","M","Single","18-24","1 to 3 years of college","Unemployed","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"12","[20.000-25.000)","F","Together","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Two","None","Own","House","Hispanic","English"
"13","[50.000-75.000)","F","Married","25-34","Grad Study","Student, HS or College","1-3 years","Yes","Four","Two","Own","House","White","English"
"14","[40.000-50.000)","F","Married","45-54","Graduated High Scool","Homemaker","10+ years","No","Four","None","Rent","House","White","English"
"15","[20.000-25.000)","M","Widowed","55-64","Graduated High Scool",NA,"10+ years","Not Married","One","None","Own","House","White",NA
"16","[40.000-50.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","Two","Own","House","White","English"
"17","-10.000)","F","Divorced","25-34","Graduated High Scool","Sales Worker","1-3 years","Not Married","Two","One","Rent","Apartment","White","English"
"18","[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White",NA
"19","[50.000-75.000)","F","Married","45-54","Graduated High Scool","Homemaker","-1 year","No","Two","None","Rent","Apartment","White","English"
"20","[75.000-","M","Single","14-17","Grades 9 to 11","Unemployed",NA,"Not Married","Four","Two","Family","House","White","English"
"21","[10.000-15.000)","M","Divorced","35-44","Grades 9 to 11","Factory Worker/Laborer/Driver","7-10 years","Not Married","Two","None","Rent","Apartment","White","English"
"22","[75.000-","F","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","No","Five","Three","Own","House","Hispanic","Spanish"
"23","[50.000-75.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","No","Five","Three","Own","House","White","English"
"24","[20.000-25.000)","F","Divorced","45-54","1 to 3 years of college","Sales Worker","4-6 years","Not Married","Three","None","Rent","Other","White","English"
"25","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"26","[75.000-","M","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Rent","Apartment","White","English"
"27","[40.000-50.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"28","[75.000-","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"29","[30.000-40.000)","M","Married","35-44","Grad Study","Professional/Managerial",NA,"Yes","Three","One","Own","House","White","English"
"30","[20.000-25.000)","F","Divorced","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Own","Other","White","English"
"31","[30.000-40.000)","F","Divorced","35-44","College graduate","Professional/Managerial","7-10 years","Not Married","Five","Three","Own","House","White","English"
"32","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Four","Two","Rent","House","White","English"
"33","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"34","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","One","Family","House","White","English"
"35","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Six","Four","Family","House","White","English"
"36","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Homemaker",NA,"No","Six","Four","Own","House","White","English"
"37","[10.000-15.000)","F","Married","65+","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"38","[50.000-75.000)","F","Married","35-44","Graduated High Scool","Homemaker","-1 year","No","Three","One","Own","House","White","English"
"39","[75.000-","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Four","None","Own","House","White","English"
"40","[25.000-30.000)","F","Divorced","35-44","College graduate","Professional/Managerial","4-6 years","Not Married","Two","One","Rent","Apartment","Asian","Other"
"41","[10.000-15.000)","F","Widowed","55-64","Grad Study","Professional/Managerial","-1 year","Not Married","One","None","Rent","Apartment","White","English"
"42","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","Two","Family","House","White","English"
"43","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Five","Three","Own","House","White","English"
"44","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No","Three","None","Own","House","White","English"
"45","[10.000-15.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","1-3 years","Not Married","Three","None","Family","House","Black","English"
"46","[30.000-40.000)","F","Married","55-64","1 to 3 years of college","Sales Worker","10+ years","Yes","Four","Two","Rent","House","White","English"
"47","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No","Three","None","Own","House","White","English"
"48","[30.000-40.000)","F","Married","55-64","Graduated High Scool","Homemaker",NA,"No","Two","None","Own","House","White","English"
"49","[50.000-75.000)","F","Married","35-44","Graduated High Scool","Homemaker","4-6 years","No","Six","Four","Own","House","White",NA
"50","[30.000-40.000)","F","Married","25-34","Graduated High Scool","Homemaker","10+ years","No","Five","Three","Own","House","Hispanic","English"
"51","[20.000-25.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","10+ years","Not Married","Three","One","Family","Condominium","White","English"
"52","[40.000-50.000)","M","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Condominium","White","English"
"53","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College",NA,"Not Married","Five","Three","Family","House","White","English"
"54","[75.000-","F","Married","45-54","Grad Study","Homemaker","10+ years","No","Two","None","Own","House","White",NA
"55","[15.000-20.000)","M","Married","14-17","College graduate","Retired","10+ years","Yes","Three","None","Rent","House","Black","Spanish"
"56","-10.000)","M","Single","14-17","Grade 8 or less","Factory Worker/Laborer/Driver","10+ years","Not Married",NA,"None","Family","House","White","English"
"57","-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"58","[75.000-","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"59","[50.000-75.000)","F","Married","55-64","Grad Study","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"60","-10.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","One","None","Own","House","White","English"
"61","[50.000-75.000)","M","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Yes","Three","One","Own","House","White","English"
"62","[20.000-25.000)","M","Divorced","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Own","House","Other","English"
"63","[50.000-75.000)","F","Married","25-34","College graduate","Professional/Managerial","7-10 years","Yes","Three","One","Own","Condominium","White","English"
"64","[40.000-50.000)","M","Married","65+","1 to 3 years of college","Retired","10+ years","Yes","Four","Two","Own","House","White","English"
"65","[15.000-20.000)","F","Married","45-54","1 to 3 years of college","Homemaker",NA,"Not Married","Four","One","Rent","Apartment","Asian",NA
"66","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","Hispanic","English"
"67","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","White","English"
"68","[40.000-50.000)","F","Married","35-44","1 to 3 years of college","Homemaker","7-10 years","No","Four","Two","Own","House","Asian","Other"
"69","-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"70","[75.000-","F","Married","55-64","College graduate","Professional/Managerial",NA,"Yes","Two","None","Own","House","White","English"
"71","[15.000-20.000)","F","Divorced","35-44","Grades 9 to 11","Professional/Managerial","10+ years","Not Married","Two","None","Family","House","White","English"
"72","[75.000-","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"73","[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Homemaker","1-3 years","No","Four","Two","Own","Condominium","White","English"
"74","-10.000)","M","Single","14-17","Grades 9 to 11","Clerical/Service Worker","10+ years","Not Married","Five","Three","Family","House","White","English"
"75","[30.000-40.000)","F","Married","45-54","Graduated High Scool","Homemaker",NA,"No","Three","One","Own","House","White","English"
"76","[10.000-15.000)","F","Married","55-64","Graduated High Scool","Retired",NA,"No",NA,"None","Rent","Apartment","White","Other"
