"","country","month","year","ISO"
"1","Yugoslavia","(September)",1997,"YUG"
"2","Republic of Colombia","(November)",1997,"COL"
"3","Canada","(December)",1997,"CAN"
"4","Hong Kong","(January)",1998,"HKG"
"5","Republic of Gabon","(September)",1998,"GAB"
"6","Kingdom of Belgium","(October)",1998,"BEL"
"7","Cayman Islands","(November)",1998,"CYM"
"8","Republic of Uzbekistan","(December)",1998,"UZB"
"9","Republic of Mauritius","(February)",1999,"MUS"
"10","Republic of Ireland and Northern Ireland","(March)",1999,"IRL"
"11","Republic of Hungary","(April)",1999,"HUN"
"12","Republic of Ecuador","(May)",1999,"ECU"
"13","Kingdom of Morocco","(June)",1999,"MAR"
"14","Republic of Honduras","(July)",1999,"HND"
"15","Republic of the Philippines","(August)",1999,"PHL"
"16","Republic of Mozambique","(September)",1999,"MOZ"
"17","The Kingdom of Norway","(October)",1999,"NOR"
"18","Republic of Korea","(November)",1999,"KOR"
"19","Republic of Argentina","(December)",1999,"ARG"
"20","The Czech Republic","(January)",2000,"CZE"
"21","The Republic of Madagascar","(February)",2000,"MDG"
"22","The Department of Guadeloupe","(March)",2000,"GLP"
"23","The Basics of Classical Datums","(April)",2000,NA
"24","The People's Republic of China","(May)",2000,"CHN"
"25","The Republic of Ghana","(June)",2000,"GHA"
"26","The Kingdom of Spain","(July)",2000,"ESP"
"27","The State of Israel","(August)",2000,"ISR"
"28","The Republic of Poland","(September)",2000,"POL"
"29","The Republic of Fiji Islands","(October)",2000,"FJI"
"30","The Republic of Trinidad and Tobago","(November)",2000,"TTO"
"31","The Bolivarian Republic of Venezuela","(December)",2000,"VEN"
"32","The French Republic","(January)",2001,"FRA"
"33","United Arab Emirate","(February)",2001,"ARE"
"34","The Republic of Angola","(March)",2001,"AGO"
"35","Niue","(April)",2001,"NIU"
"36","Romania","(May)",2001,"ROU"
"37","Macau Special Administrative Region","(June)",2001,"MAC"
"38","Republic of Bolivia","(July)",2001,"BOL"
"39","The Swiss Confederation","(August)",2001,"CHE"
"40","The Syrian Arab Republic","(September)",2001,"SYR"
"41","The Republic of Algeria","(October)",2001,"DZA"
"42","The public Trust of Surveys and Maps","(November)",2001,NA
"43","Tuvalu","(December)",2001,"TUV"
"44","Bulgaria","(January)",2002,"BGR"
"45","Japan","(February)",2002,"JPN"
"46","Republic of Suriname","(March)",2002,"SUR"
"47","Republic of Portugal","(April)",2002,"PRT"
"48","Republic of Vietnam","(May)",2002,"VDR"
"49","Republic of Guinea","(June)",2002,"GIN"
"50","Aruba and the Netherlands Antilles","(July)",2002,"ABW"
"51","Republic of Kiribati","(August)",2002,"KIR"
"52","Republic of Latvia","(September)",2002,"LVA"
"53","The Lebanese Republic","(October)",2002,"LBN"
"54","The Republic of Uruguay","(November)",2002,"URY"
"55","The Hellenic Republic","(December)",2002,"GRC"
"56","Mongolia","(January)",2003,"MNG"
"57","The Kingdom of the Netherlands","(February)",2003,"NLD"
"58","Federal Democratic Republic of Ethiopia","(March)",2003,"ETH"
"59","Co-operative Republic of Guyana","(April)",2003,"GUY"
"60","Jamaica","(May)",2003,"JAM"
"61","Republic of Kenya","(June)",2003,"KEN"
"62","Republic of Benin","(July)",2003,"BEN"
"63","Republic of Yemen","(August)",2003,"YEM"
"64","Antigua and Barbuda","(September)",2003,"ATG"
"65","United Kingdom","(October)",2003,"GBR"
"66","Republic of Zimbabwe","(November)",2003,"ZWE"
"67","Commonweath of Australia","(December)",2003,"AUS"
"68","Islamic State of Afghanistan","(January)",2004,"AFG"
"69","St. Vincent and the Grenadines","(February)",2004,"VCT"
"70","Republic of Austria","(March)",2004,"AUT"
"71","Republic of Vanuatu","(April)",2004,"VUT"
"72","Republic of Botswana","(May)",2004,"BWA"
"73","Ukraine","(June)",2004,"UKR"
"74","Commonwealth of the Bahamas","(July)",2004,"BHS"
"75","Kingdom of Sweden","(August)",2004,"SWE"
"76","Federal Islamic Republic of The Comores","(September)",2004,"COM"
"77","Republic of Zambia","(October)",2004,"ZMB"
"78","Saint Lucia","(November)",2004,"LCA"
"79","Republic of Iceland","(December)",2004,"ISL"
"80","Burkino Faso","(January)",2005,"BFA"
"81","Grenada","(February)",2005,"GRD"
"82","Independent State of Papau New Guinea","(March)",2005,"PNG"
"83","New Zealand","(May)",2005,"NZL"
"84","Democratic Republic The Congo","(June)",2005,"COD"
"85","Republic of El Salvador","(July)",2005,"SLV"
"86","Italian Republic","(August)",2005,"ITA"
"87","Republic of Turkey","(September)",2005,"TUR"
"88","Mars","(October)",2005,NA
"89","Grand Duchy of Luxembourg","(November)",2005,"LUX"
"90","Dominican Republic","(December)",2005,"DOM"
