"","vote","distD66","distPvdA","distVVD","distCDA","relig","class","income","educ","age","urban"
"1","PvdA",2.669695,2.3351206,4.1098807,6.4500795,0,0,1,2,5,1
"2","CDA",0.088126974,0.14975179,0.21012678,2.2491909,1,2,0,2,3,0
"3","CDA",6.3468976,6.5365987,4.9524336,1.6800155,1,2,0,2,1,0
"4","D66",6.3720939,6.8225008,6.0827517,12.044931,0,2,0,2,1,0
"5","VVD",0.28401647,0.39254634,0.022521451,0.93830286,1,2,0,2,1,0
"6","D66",0.12552651,0.22341767,0.061799213,1.7621459,0,2,0,2,0,0
"7","D66",1.9358713,1.7104679,3.1807254,6.2408086,0,2,3,3,2,0
"8","CDA",0.37509609,0.30585304,0.98519835,3.3757213,0,0.81249422,0,2,1,0
"9","D66",0.58287601,0.53357048,1.231991,4.111138,0,2,6,2,4,0
"10","VVD",0.66184693,0.67101483,1.1920652,4.3885299,0,0,1,2,3,0
"11","PvdA",1.3750202,1.3518469,2.1491264,6.0219069,0,2,5,1,7,0
"12","PvdA",1.9490838,1.8898492,2.911385,7.137793,1,2,0,3,2,0
"13","D66",1.7248958,2.0484278,1.0910426,3.4835319,1,2,0,2.220446e-16,10,0
"14","D66",2.6875443,2.5857674,3.8578223,8.4342632,0,2,5,3,2,0
"15","VVD",0.10807524,0.051451969,0.40002104,1.4602812,1,3,4,4,2,0
"16","PvdA",5.0374247,4.6022904,6.9736122,10.162221,1,0,0,2.220446e-16,3,0
"17","VVD",0.45924881,0.60863115,0.079211315,1.0470408,0,2,5,3,5,0
"18","CDA",3.4492787,3.8951513,2.571672,5.652014,0,0,2,2.220446e-16,6,0
"19","PvdA",1.6463097,1.4192844,2.8186341,5.5073007,0,2,2,2.220446e-16,2,0
"20","PvdA",0.10141917,0.07386255,0.25662424,1.1033468,1,1,0,1,4,0
"21","VVD",2.67109,3.0665065,1.9007588,4.7296759,0,2,3,3,3,0
"22","PvdA",5.1056261,5.0497209,4.466823,1.0870246,1,2,0,2.220446e-16,9,0
"23","CDA",1.934859,1.9161084,2.7948294,7.145228,0,1,2,2,10,0
"24","CDA",0.44964695,0.48074794,0.26489191,0.37457498,1,2,0.4209002,2.220446e-16,12,0
"25","PvdA",5.3877686,5.0186654,7.3449226,11.634192,1,0,4,2.220446e-16,6,0
"26","PvdA",0.39951566,0.52240567,0.44695374,3.0576468,1,2,5,3,4,0
"27","PvdA",0.34102134,0.46063391,0.37254519,2.8574805,0,2,6,3,4,0
"28","PvdA",0.049933459,0.012265365,0.32912971,1.6155982,1,2,0,3,3,0
"29","PvdA",0.92391708,0.95225614,1.4654905,5.0067072,0,2,5,3,2,0
"30","PvdA",0.8702285,1.0022068,1.0491578,4.4263464,0,0,0,2,1,0
"31","PvdA",4.0935523,3.6304061,5.4786565,5.6075371,0,1,2,2.220446e-16,9,0
"32","PvdA",2.2038625,1.9436727,3.5336495,6.4728637,1,1,0,2.220446e-16,12,0
"33","PvdA",1.3097412,1.2505238,2.1572952,5.8352304,0,0,0,2.220446e-16,10,0
"34","PvdA",7.7102595,7.2537493,10.03195,14.740224,0,0,3,1,6,0
"35","D66",2.4248222,2.0799873,3.4147231,3.4461625,1,2,0,2.220446e-16,3,0
