"","date","oil","gas"
"1",2003-07-01,30.4,5.32
"2",2003-07-02,30.15,5.2
"3",2003-07-03,30.42,5.23
"4",2003-07-07,30.13,5.38
"5",2003-07-08,30.22,5.5
"6",2003-07-09,30.88,5.52
"7",2003-07-10,31.06,5.26
"8",2003-07-11,31.28,5.15
"9",2003-07-14,31.27,5.1
"10",2003-07-15,31.62,5.02
"11",2003-07-16,31.05,4.93
"12",2003-07-17,31.41,5.05
"13",2003-07-18,31.96,5.02
"14",2003-07-21,31.78,5.11
"15",2003-07-22,30.19,4.87
"16",2003-07-23,29.67,4.88
"17",2003-07-24,30.22,4.73
"18",2003-07-25,30.17,4.71
"19",2003-07-28,30.11,4.7
"20",2003-07-29,30.24,4.69
"21",2003-07-30,30.68,4.67
"22",2003-07-31,30.54,4.72
"23",2003-08-01,32.31,4.87
"24",2003-08-04,31.84,4.63
"25",2003-08-05,32.22,4.68
"26",2003-08-06,31.7,4.75
"27",2003-08-07,32.39,5.08
"28",2003-08-08,32.18,5.04
"29",2003-08-11,32.01,5.13
"30",2003-08-12,31.92,5.22
"31",2003-08-13,30.78,5.18
"32",2003-08-14,31.09,4.89
"33",2003-08-15,31.05,4.85
"34",2003-08-18,30.89,4.88
"35",2003-08-19,30.7,4.96
"36",2003-08-20,30.95,5.12
"37",2003-08-21,31.88,5.28
"38",2003-08-22,31.84,5.28
"39",2003-08-25,31.56,5.08
"40",2003-08-26,31.95,5.04
"41",2003-08-27,31.21,4.93
"42",2003-08-28,31.5,4.94
"43",2003-08-29,31.57,4.73
"44",2003-09-02,29.41,4.64
"45",2003-09-03,29.49,4.69
"46",2003-09-04,28.98,4.81
"47",2003-09-05,28.88,4.77
"48",2003-09-08,28.85,4.66
"49",2003-09-09,29.18,4.73
"50",2003-09-10,29.35,4.97
"51",2003-09-11,28.82,4.74
"52",2003-09-12,28.27,4.77
"53",2003-09-15,28.14,4.69
"54",2003-09-16,27.56,4.66
"55",2003-09-17,27.03,4.64
"56",2003-09-18,27.17,4.47
"57",2003-09-19,27.03,4.48
"58",2003-09-22,26.96,4.49
"59",2003-09-23,27.13,4.51
"60",2003-09-24,28.24,4.59
"61",2003-09-25,28.29,4.54
"62",2003-09-26,28.16,4.43
"63",2003-09-29,28.4,4.9
"64",2003-09-30,29.2,4.83
"65",2003-10-01,29.39,4.68
"66",2003-10-02,29.84,4.69
"67",2003-10-03,30.4,4.77
"68",2003-10-06,30.47,4.9
"69",2003-10-07,30.41,5.14
"70",2003-10-08,29.81,5.15
"71",2003-10-09,31.01,5.49
"72",2003-10-10,31.97,5.65
"73",2003-10-13,31.95,5.55
"74",2003-10-14,31.82,5.48
"75",2003-10-15,31.77,5.43
"76",2003-10-16,31.54,5.41
"77",2003-10-17,30.68,5.04
"78",2003-10-20,30.35,4.77
"79",2003-10-21,30.18,4.88
"80",2003-10-22,29.92,4.92
"81",2003-10-23,30.3,4.91
"82",2003-10-24,30.16,4.79
"83",2003-10-27,29.92,4.51
"84",2003-10-28,29.56,4.49
"85",2003-10-29,28.91,4.46
"86",2003-10-30,28.47,4.71
"87",2003-10-31,29.11,4.89
"88",2003-11-03,28.9,4.71
"89",2003-11-04,28.75,4.73
"90",2003-11-05,30.3,4.9
"91",2003-11-06,30.26,4.66
"92",2003-11-07,30.85,4.71
"93",2003-11-10,30.88,4.71
"94",2003-11-11,31.15,4.87
"95",2003-11-12,31.33,4.74
"96",2003-11-13,31.9,4.8
"97",2003-11-14,32.37,5.11
"98",2003-11-17,31.73,4.76
"99",2003-11-18,33.28,4.87
"100",2003-11-19,32.92,4.74
"101",2003-11-20,32.86,4.9
"102",2003-11-21,31.61,4.92
"103",2003-11-24,29.74,4.93
"104",2003-11-25,29.77,5.05
"105",2003-11-26,30.41,4.93
"106",2003-12-01,29.95,5.28
"107",2003-12-02,30.78,5.58
"108",2003-12-03,31.1,5.76
"109",2003-12-04,31.26,6.34
"110",2003-12-05,30.73,6.14
"111",2003-12-08,32.1,6.9
"112",2003-12-09,31.76,6.72
"113",2003-12-10,31.88,6.71
"114",2003-12-11,31.85,6.62
"115",2003-12-12,33.04,7.22
"116",2003-12-15,33.18,6.95
"117",2003-12-16,32.89,6.75
"118",2003-12-17,33.35,6.99
"119",2003-12-18,33.71,7.12
"120",2003-12-19,33.02,6.98
"121",2003-12-22,31.87,6.32
"122",2003-12-23,31.95,6.14
"123",2003-12-24,32.86,6.39
"124",2003-12-29,32.4,6.15
"125",2003-12-30,32.79,6.6
"126",2003-12-31,32.52,6.19
"127",2004-01-05,33.78,6.83
"128",2004-01-06,33.7,7.08
"129",2004-01-07,33.62,6.88
"130",2004-01-08,33.98,7.09
"131",2004-01-09,34.31,7.29
"132",2004-01-12,34.72,6.91
"133",2004-01-13,34.43,6.33
"134",2004-01-14,34.5,6.39
"135",2004-01-15,33.44,5.85
"136",2004-01-16,35.07,5.94
"137",2004-01-20,36.2,6.29
"138",2004-01-21,34.58,6.15
"139",2004-01-22,34.93,5.83
"140",2004-01-23,34.94,6.06
"141",2004-01-26,34.47,5.73
"142",2004-01-27,34.12,5.72
"143",2004-01-28,33.62,5.78
"144",2004-01-29,32.81,5.66
"145",2004-01-30,33.05,5.4
"146",2004-02-02,34.98,5.57
"147",2004-02-03,34.1,5.65
"148",2004-02-04,33.1,5.65
"149",2004-02-05,33.08,5.4
"150",2004-02-06,32.48,5.35
"151",2004-02-09,32.83,5.35
"152",2004-02-10,33.87,5.4
"153",2004-02-11,34,5.26
"154",2004-02-12,33.98,5.45
