"","loss","alae","limit","censored"
"1",10,3806,500000,0
"2",24,5658,1000000,0
"3",45,321,1000000,0
"4",51,305,500000,0
"5",60,758,500000,0
"6",74,8768,2000000,0
"7",75,1805,500000,0
"8",78,78,500000,0
"9",87,46534,500000,0
"10",100,489,300000,0
"11",115,20,1000000,0
"12",123,60790,300000,0
"13",133,2305,300000,0
"14",140,1940,1000000,0
"15",147,125,500000,0
"16",147,2881,750000,0
"17",165,5235,500000,0
"18",192,915,100000,0
"19",200,1361,50000,0
"20",300,348,500000,0
"21",308,30735,1000000,0
"22",311,1081,500000,0
"23",326,4201,1000000,0
"24",350,76,-99,0
"25",350,1255,300000,0
"26",400,1336,100000,0
"27",500,164,100000,0
"28",500,179,1000000,0
"29",500,723,1000000,0
"30",500,1193,1000000,0
"31",500,1406,100000,0
"32",500,1480,-99,0
"33",500,1527,300000,0
"34",500,1938,500000,0
"35",500,1995,200000,0
"36",500,2215,1000000,0
"37",500,2706,500000,0
"38",500,2778,500000,0
"39",500,2936,1000000,0
"40",500,3815,1000000,0
"41",500,4419,300000,0
"42",500,4495,1000000,0
"43",500,5371,50000,0
"44",500,5609,500000,0
"45",500,6350,300000,0
"46",500,9317,500000,0
"47",500,10246,500000,0
"48",500,14752,300000,0
"49",500,19261,300000,0
"50",520,2373,500000,0
"51",578,1925,1000000,0
"52",600,1458,300000,0
"53",600,5057,500000,0
"54",634,211,1000000,0
"55",667,2369,1000000,0
"56",700,748,-99,0
"57",750,748,1000000,0
"58",750,1737,500000,0
"59",750,2147,500000,0
"60",750,3184,1000000,0
"61",750,3564,-99,0
"62",750,4788,1000000,0
"63",750,7865,500000,0
"64",798,1553,500000,0
"65",800,5773,500000,0
"66",833,7607,1000000,0
"67",833,9900,1000000,0
"68",875,4565,500000,0
"69",900,968,50000,0
"70",909,9215,7500000,0
"71",916,5522,100000,0
"72",1000,321,-99,0
"73",1000,407,1000000,0
"74",1000,450,750000,0
"75",1000,464,500000,0
"76",1000,484,-99,0
"77",1000,780,1000000,0
"78",1000,946,50000,0
"79",1000,1088,500000,0
"80",1000,1289,500000,0
"81",1000,1320,500000,0
"82",1000,1352,500000,0
"83",1000,1872,500000,0
"84",1000,1940,300000,0
"85",1000,2293,250000,0
"86",1000,2302,1000000,0
"87",1000,2481,100000,0
"88",1000,2488,500000,0
"89",1000,2495,300000,0
"90",1000,2750,1000000,0
"91",1000,3388,500000,0
"92",1000,3434,1000000,0
"93",1000,4149,500000,0
"94",1000,4927,1000000,0
"95",1000,5675,1000000,0
"96",1000,6525,500000,0
"97",1000,6557,100000,0
"98",1000,6626,500000,0
"99",1000,6829,1000000,0
"100",1000,6867,500000,0
"101",1000,7797,500000,0
"102",1000,8523,500000,0
"103",1000,9412,1000000,0
"104",1000,11124,500000,0
"105",1000,20564,1000000,0
"106",1075,2168,300000,0
"107",1091,2199,300000,0
"108",1100,170,500000,0
"109",1122,1422,1000000,0
"110",1125,1224,300000,0
"111",1200,984,300000,0
"112",1200,1251,100000,0
"113",1200,2456,50000,0
"114",1250,365,-99,0
"115",1250,371,300000,0
"116",1250,479,25000,0
"117",1250,531,500000,0
"118",1250,774,2000000,0
"119",1250,2090,1000000,0
"120",1250,2488,-99,0
"121",1250,3523,-99,0
"122",1298,1032,100000,0
"123",1300,1409,1000000,0
"124",1300,2507,250000,0
"125",1310,1459,250000,0
"126",1333,999,250000,0
"127",1375,9459,1000000,0
"128",1450,2750,500000,0
"129",1456,3911,100000,0
"130",1500,60,1000000,0
"131",1500,301,-99,0
"132",1500,318,-99,0
"133",1500,436,1000000,0
"134",1500,834,-99,0
"135",1500,1275,-99,0
"136",1500,1315,100000,0
"137",1500,1686,1000000,0
"138",1500,2286,-99,0
"139",1500,2422,500000,0
"140",1500,2919,1000000,0
"141",1500,3247,150000,0
"142",1500,3598,1000000,0
"143",1500,4701,300000,0
"144",1500,4860,500000,0
"145",1500,4870,500000,0
"146",1500,6528,500000,0
"147",1500,6990,1000000,0
"148",1500,7689,100000,0
"149",1500,8131,5000,0
"150",1500,8228,500000,0
"151",1500,10018,500000,0
"152",1500,11994,1000000,0
"153",1500,17146,300000,0
"154",1522,1614,25000,0
"155",1545,415,-99,0
"156",1600,3537,1000000,0
"157",1633,2585,-99,0
"158",1658,337,100000,0
"159",1666,261,300000,0
"160",1666,12323,1000000,0
"161",1667,526,500000,0
"162",1667,2413,1000000,0
"163",1701,12426,300000,0
"164",1750,150,300000,0
"165",1750,198,-99,0
"166",1750,947,1000000,0
"167",1750,1930,500000,0
"168",1800,776,300000,0
"169",1800,1791,300000,0
"170",1800,2825,1000000,0
"171",1800,4644,500000,0
"172",1800,7829,-99,0
"173",1892,1185,5000,0
"174",1913,1578,1000000,0
"175",1937,293,100000,0
"176",1947,10564,300000,0
"177",1974,775,750000,0
"178",1980,2706,500000,0
"179",1993,1946,1000000,0
"180",1994,4851,1000000,0
"181",2000,584,500000,0
"182",2000,700,500000,0
"183",2000,978,300000,0
"184",2000,999,250000,0
"185",2000,1190,500000,0
"186",2000,1395,500000,0
"187",2000,1699,5000,0
"188",2000,1968,500000,0
"189",2000,1989,500000,0
"190",2000,2453,500000,0
"191",2000,2503,500000,0
"192",2000,2644,500000,0
"193",2000,2748,500000,0
"194",2000,3089,1000000,0
"195",2000,3119,50000,0
"196",2000,3496,50000,0
"197",2000,3597,300000,0
"198",2000,4505,500000,0
"199",2000,4756,500000,0
"200",2000,5392,500000,0
"201",2000,5439,1000000,0
"202",2000,5491,500000,0
"203",2000,5767,300000,0
"204",2000,5963,500000,0
"205",2000,6033,1000000,0
"206",2000,6858,300000,0
"207",2000,6995,500000,0
"208",2000,7488,500000,0
"209",2000,8401,1000000,0
"210",2000,8650,500000,0
"211",2000,9393,-99,0
"212",2000,17222,500000,0
"213",2002,5971,100000,0
"214",2018,1322,1000000,0
"215",2022,610,500000,0
"216",2057,11305,500000,0
"217",2067,5697,100000,0
"218",2070,6201,300000,0
"219",2100,302,500000,0
"220",2125,2387,100000,0
"221",2180,9584,250000,0
"222",2250,2182,500000,0
"223",2250,8204,1000000,0
"224",2250,14528,300000,0
"225",2303,803,100000,0
"226",2312,19407,500000,0
"227",2325,5728,1000000,0
"228",2400,620,100000,0
"229",2405,960,300000,0
"230",2428,6657,500000,0
"231",2486,5417,50000,0
"232",2500,50,-99,0
"233",2500,115,1000000,0
"234",2500,145,300000,0
"235",2500,184,1000000,0
"236",2500,415,-99,0
"237",2500,540,1000000,0
"238",2500,544,-99,0
"239",2500,656,500000,0
"240",2500,852,1000000,0
"241",2500,895,500000,0
"242",2500,1053,500000,0
"243",2500,1059,250000,0
"244",2500,1123,500000,0
"245",2500,1150,300000,0
"246",2500,1862,1000000,0
"247",2500,1992,500000,0
"248",2500,2263,-99,0
"249",2500,2268,500000,0
"250",2500,2325,300000,0
"251",2500,2439,-99,0
"252",2500,2462,300000,0
"253",2500,2874,-99,0
"254",2500,2939,10000,0
"255",2500,3352,1000000,0
"256",2500,3411,1000000,0
"257",2500,3583,100000,0
"258",2500,4248,300000,0
"259",2500,4263,500000,0
"260",2500,4451,300000,0
"261",2500,4669,500000,0
"262",2500,4729,300000,0
"263",2500,4805,500000,0
"264",2500,4950,500000,0
"265",2500,5000,500000,0
"266",2500,5063,1000000,0
"267",2500,5075,1000000,0
"268",2500,5321,300000,0
"269",2500,5385,500000,0
"270",2500,5453,500000,0
"271",2500,5678,500000,0
"272",2500,5740,500000,0
"273",2500,5758,-99,0
"274",2500,6027,500000,0
"275",2500,6209,500000,0
"276",2500,6763,500000,0
"277",2500,7000,1000000,0
"278",2500,7362,500000,0
"279",2500,7369,500000,0
"280",2500,7421,500000,0
"281",2500,7467,500000,0
"282",2500,8083,25000,0
"283",2500,8185,-99,0
"284",2500,8813,500000,0
"285",2500,9073,250000,0
"286",2500,9652,500000,0
"287",2500,12580,300000,0
"288",2500,12644,100000,0
"289",2500,14842,500000,0
"290",2600,824,500000,0
"291",2600,2168,500000,0
"292",2600,4914,500000,0
"293",2700,1109,500000,0
"294",2700,3531,500000,0
"295",2730,112158,500000,0
"296",2749,2506,1000000,0
"297",2750,1491,1000000,0
"298",2750,4540,500000,0
"299",2776,4054,500000,0
"300",2787,2603,300000,0
"301",2850,5120,250000,0
"302",2917,1715,500000,0
"303",2922,7802,500000,0
"304",3000,190,500000,0
"305",3000,420,300000,0
"306",3000,749,100000,0
"307",3000,1301,500000,0
"308",3000,1495,300000,0
"309",3000,1594,-99,0
"310",3000,1618,500000,0
"311",3000,1693,500000,0
"312",3000,1899,500000,0
"313",3000,1952,1000000,0
"314",3000,2103,100000,0
"315",3000,2237,500000,0
"316",3000,2534,300000,0
"317",3000,2949,500000,0
"318",3000,3007,300000,0
"319",3000,3154,500000,0
"320",3000,3318,500000,0
"321",3000,3365,300000,0
"322",3000,5831,500000,0
"323",3000,7176,1000000,0
"324",3000,8420,500000,0
