"","In17","In16","In15","In14","In13","In12","In11","In10","In9","In8","In7","In6","In5","In4","In3","In2","In1","In0","InY","time"
"1",3.02,3.02,3.03,3.1,3.1,3.1,3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,5.45,"00:00"
"2",3.02,3.03,3.1,3.1,3.1,3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,6.2,"00:05"
"3",3.03,3.1,3.1,3.1,3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,6.85,"00:10"
"4",3.1,3.1,3.1,3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,7.17,"00:15"
"5",3.1,3.1,3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,7.21,"00:20"
"6",3.1,3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,7.25,"00:25"
"7",3.1,3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,7.29,"00:30"
"8",3.22,3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,7.34,"00:35"
"9",3.27,3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.27,"00:40"
"10",3.33,3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.23,"00:45"
"11",3.36,3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.16,"00:50"
"12",3.38,3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.13,"00:55"
"13",3.47,3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.13,"01:00"
"14",3.5,3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.05,"01:05"
"15",3.56,3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.04,"01:10"
"16",3.61,4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,6.98,"01:15"
"17",4.28,4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,6.93,"01:20"
"18",4.6,4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,6.24,"01:25"
"19",4.68,4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,5.92,"01:30"
"20",4.78,4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,5.85,"01:35"
"21",4.9,4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,5.75,"01:40"
"22",4.96,5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,5.64,"01:45"
"23",5.02,5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,5.58,"01:50"
"24",5.45,6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.52,"01:55"
"25",6.2,6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.08,"02:00"
"26",6.85,7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,4.34,"02:05"
"27",7.17,7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,3.69,"02:10"
"28",7.21,7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,3.36,"02:15"
"29",7.25,7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,3.26,"02:20"
"30",7.29,7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,3.21,"02:25"
"31",7.34,7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,3.17,"02:30"
"32",7.27,7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.12,"02:35"
"33",7.23,7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.08,"02:40"
"34",7.16,7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.07,"02:45"
"35",7.13,7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.07,"02:50"
"36",7.13,7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.07,"02:55"
"37",7.05,7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.06,"03:00"
"38",7.04,6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.04,"03:05"
"39",6.98,6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.03,"03:10"
"40",6.93,6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.03,"03:15"
"41",6.24,5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.03,"03:20"
"42",5.92,5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.03,"03:25"
"43",5.85,5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.06,3.03,"03:30"
"44",5.75,5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.06,3.04,3.02,"03:35"
"45",5.64,5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.06,3.04,3.03,3.02,"03:40"
