"","X","Y","ReportedDay"
"1",350850,557590,28
"2",337320,569500,28
"3",341730,572090,28
"4",350410,527040,28
"5",347800,541850,29
"6",356900,541120,29
"7",310090,530930,30
"8",336410,568740,30
"9",336690,570830,31
"10",349940,542360,33
"11",342380,569200,33
"12",329050,554410,35
"13",336740,569760,35
"14",340910,572450,35
"15",338420,571130,35
"16",339630,567800,35
"17",345890,573010,35
"18",311550,543200,36
"19",326770,559380,36
"20",349130,530690,36
"21",353930,538770,36
"22",342590,525730,36
"23",345970,533250,36
"24",337740,572050,36
"25",329610,557080,37
"26",356390,536220,37
"27",356650,531630,37
"28",334120,565350,37
"29",328490,554670,38
"30",324200,556770,38
"31",319720,546530,38
"32",320480,539600,38
"33",326440,555700,38
"34",347560,530450,38
"35",356440,543490,38
"36",333700,567540,38
"37",350450,521960,38
"38",315650,553610,39
"39",322630,561040,39
"40",338570,548170,39
"41",342290,526760,39
"42",349650,526940,39
"43",321050,556470,40
"44",309670,549490,40
"45",338930,548660,40
"46",341810,549830,40
"47",335130,560620,40
"48",344890,530870,40
"49",346420,545890,40
"50",343910,538520,40
"51",333290,566650,40
"52",350050,571410,40
"53",318990,554610,41
"54",335370,562070,41
"55",338170,539240,41
"56",347600,543000,41
"57",351620,534280,41
"58",340590,543790,41
"59",330510,551660,42
"60",313670,554010,42
"61",325590,559330,42
"62",336200,562210,42
"63",355820,538080,42
"64",346070,540690,42
"65",342100,535490,42
"66",351140,523190,42
"67",310410,551410,43
"68",323356,555234,43
"69",326930,555460,43
"70",348860,528400,43
"71",349390,542190,43
"72",340190,569360,43
"73",334670,560950,44
"74",353594,534868,44
"75",354500,542700,44
"76",312890,555330,44
"77",356220,522230,44
"78",351290,527740,44
"79",328410,555860,45
"80",326350,554720,45
"81",345210,557410,45
"82",328610,555410,46
"83",315400,554200,46
"84",332280,559780,46
"85",352180,551820,46
"86",337360,542620,46
"87",344510,548630,46
"88",349420,539180,46
"89",357680,540150,46
"90",344820,537690,46
"91",330990,552220,47
"92",324100,553440,47
"93",322250,558180,47
"94",333450,561520,47
"95",329680,555240,47
"96",338650,550950,47
"97",342790,558530,47
"98",355150,536330,47
"99",357350,535960,47
"100",352850,541260,47
"101",339120,529960,47
"102",337320,565830,47
"103",310900,551930,47
"104",330660,558730,48
"105",328100,556000,48
"106",330050,555430,48
"107",329200,555340,48
"108",356950,571110,48
"109",353610,552330,48
"110",339840,539280,48
"111",337200,538640,48
"112",358520,538910,48
"113",353430,535660,48
"114",353720,534270,48
"115",348150,537170,48
"116",344300,541200,48
"117",359220,541630,48
"118",359550,543090,48
"119",357310,543330,48
"120",355860,532260,48
