"","group","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11"
"1",1,4,3,3,3,2,2,3,4,4,2,3
"2",1,2,2,1,2,1,2,1,3,3,2,1
"3",1,1,3,2,3,3,2,2,2,3,2,1
"4",1,2,2,2,3,3,2,2,3,2,3,2
"5",1,3,3,3,2,3,3,1,4,4,2,3
"6",1,2,2,2,2,3,1,2,2,3,2,3
"7",1,3,2,2,3,3,3,2,4,4,2,3
"8",1,2,3,3,3,3,1,4,3,4,3,4
"9",1,2,2,2,2,3,2,2,3,2,1,2
"10",1,2,3,2,2,3,1,3,2,3,1,1
"11",1,2,3,3,3,4,3,4,4,4,4,4
"12",1,4,4,2,3,4,4,4,4,4,4,4
"13",1,2,3,3,3,2,2,3,4,3,2,2
"14",1,2,2,2,3,3,3,2,3,2,2,3
"15",1,2,2,2,2,2,3,2,2,1,3,2
"16",1,3,3,3,3,2,2,2,2,3,2,2
"17",1,3,1,2,1,2,1,1,2,2,1,1
"18",1,3,3,3,3,2,2,2,3,3,2,2
"19",1,2,3,3,3,2,1,3,3,2,2,3
"20",1,4,4,2,3,3,2,4,3,4,2,3
"21",1,3,2,1,2,2,1,2,1,1,2,2
"22",1,3,3,2,3,1,2,1,3,3,1,2
"23",1,3,3,4,2,3,4,4,3,4,3,4
"24",1,1,3,4,3,1,2,2,4,4,1,2
"25",1,2,3,3,3,2,2,3,3,3,3,3
"26",1,2,2,2,2,2,2,2,3,3,1,2
"27",1,3,3,3,3,2,3,3,3,4,3,3
"28",1,2,3,2,2,1,2,1,1,3,2,2
"29",1,3,3,3,4,3,3,3,2,4,2,2
"30",1,2,2,3,3,2,1,3,3,3,2,2
"31",1,2,3,3,3,2,3,2,3,1,3,3
"32",1,2,3,3,3,2,4,2,3,3,2,1
"33",1,1,2,3,2,3,4,2,4,3,2,3
"34",1,3,2,3,3,3,2,2,4,4,2,3
"35",1,3,2,3,3,1,2,2,2,3,2,3
"36",1,2,2,2,2,2,3,1,2,2,1,1
"37",1,3,2,2,1,3,2,2,2,4,2,3
"38",1,1,1,2,1,1,2,1,2,1,1,1
"39",1,3,2,3,4,3,1,3,4,2,2,3
"40",1,2,3,1,3,1,1,2,2,2,2,2
"41",1,3,1,3,2,1,2,2,3,4,1,2
"42",1,3,3,3,2,3,2,4,4,3,3,3
"43",1,2,3,3,2,3,1,3,2,4,3,2
"44",1,2,2,2,2,1,1,1,2,1,1,2
"45",1,2,4,2,2,3,4,3,3,3,3,2
"46",1,3,4,3,3,2,1,1,3,3,2,2
"47",1,2,3,2,3,2,1,3,2,4,2,3
"48",1,2,2,2,1,2,1,2,3,2,2,2
"49",1,2,3,3,2,1,2,3,3,2,2,2
"50",1,3,1,3,3,3,2,1,2,2,2,2
"51",1,1,2,2,3,2,1,1,3,3,2,2
"52",1,2,2,2,3,3,2,2,4,3,2,2
"53",1,2,2,2,2,3,3,2,3,4,1,2
"54",1,1,3,3,2,3,3,2,3,3,1,3
"55",1,3,1,3,3,3,1,3,4,4,2,2
"56",1,3,2,2,3,2,4,2,3,2,3,3
"57",1,3,1,2,2,1,1,1,1,2,2,1
"58",1,2,3,3,2,3,1,4,2,4,2,3
"59",1,2,2,2,2,1,4,2,3,3,1,3
"60",1,3,4,2,4,3,2,3,4,4,2,3
"61",1,2,3,3,2,3,4,3,4,3,2,2
"62",1,3,2,3,2,2,2,1,3,3,1,2
"63",1,2,2,4,4,2,1,3,4,2,3,4
"64",1,2,2,2,3,1,3,1,2,2,1,1
"65",1,2,3,3,2,3,4,4,3,3,1,3
"66",1,3,2,2,2,3,1,2,2,2,1,1
"67",1,2,2,3,4,1,3,1,3,1,1,1
"68",1,3,3,3,4,2,3,3,4,4,2,3
"69",1,2,3,3,2,2,1,2,3,3,2,2
"70",1,1,2,2,1,1,1,1,2,2,1,3
"71",1,3,2,2,3,2,1,2,3,3,2,3
"72",1,3,3,3,3,2,4,2,2,4,2,3
"73",1,3,2,3,3,1,1,4,3,3,2,3
"74",1,2,3,2,3,3,2,1,3,4,2,2
"75",1,2,2,3,2,2,1,2,2,2,2,1
"76",1,2,2,1,2,1,3,2,3,2,1,2
"77",1,2,2,2,2,2,2,3,2,3,2,3
"78",1,2,2,2,2,2,2,2,3,2,1,2
"79",1,3,3,3,2,2,1,3,3,3,2,2
"80",1,4,2,2,3,2,1,3,2,4,1,3
"81",1,2,3,3,3,3,1,4,3,3,2,3
"82",1,3,3,4,4,3,2,3,4,4,2,4
"83",1,3,3,3,2,2,1,4,4,3,3,4
"84",1,3,2,2,2,2,1,2,2,3,2,2
"85",1,2,3,2,2,3,2,2,4,3,2,2
"86",1,3,2,2,3,3,2,2,4,2,1,3
"87",1,2,1,1,2,1,2,1,1,1,1,1
"88",1,3,2,2,2,1,2,3,4,4,1,2
"89",1,1,2,2,2,1,1,2,3,3,3,2
"90",1,3,3,3,3,3,4,4,4,4,3,4
"91",1,2,3,3,3,2,2,3,4,3,2,2
"92",1,2,3,2,2,2,2,2,4,2,1,1
"93",1,3,3,2,2,1,3,2,2,3,1,2
"94",1,2,3,2,3,3,1,3,4,3,2,3
"95",1,2,2,2,2,3,2,2,3,2,2,1
"96",1,2,3,2,2,3,2,2,4,3,2,2
"97",1,2,3,2,3,2,2,3,3,2,1,2
"98",1,3,2,2,2,2,3,2,3,2,1,2
"99",1,3,2,2,3,2,2,2,2,2,1,2
"100",1,3,2,2,2,2,3,2,3,3,3,2
"101",1,2,3,2,1,2,1,2,1,2,1,2
"102",1,2,3,3,2,1,2,2,3,2,2,3
"103",1,3,4,4,4,4,2,3,4,3,3,3
"104",1,3,3,3,3,4,2,3,3,2,2,2
"105",1,1,3,2,2,3,2,1,2,2,1,2
"106",1,4,2,3,3,3,2,4,3,4,3,4
"107",1,3,2,1,3,2,2,3,3,3,1,2
"108",1,1,3,3,3,3,2,1,2,3,1,2
"109",1,2,2,3,3,3,2,2,1,3,3,3
"110",1,3,1,2,3,1,1,2,2,1,1,2
"111",1,2,2,3,3,3,1,1,2,3,2,3
"112",1,2,3,3,3,3,3,3,4,2,2,3
"113",1,2,3,3,2,2,3,2,2,3,2,2
"114",1,2,2,2,2,2,2,2,2,3,1,2
"115",1,1,3,2,2,2,2,2,2,2,1,2
"116",1,1,3,2,2,1,1,2,3,2,1,2
"117",1,2,3,3,3,2,2,3,3,3,2,3
"118",1,3,3,3,3,2,3,2,3,3,2,2
"119",1,2,2,2,2,2,2,1,3,3,2,2
"120",1,3,3,3,3,3,2,4,4,3,3,4
"121",1,1,2,3,2,1,1,1,2,4,1,2
"122",1,4,2,3,3,3,3,3,2,2,3,3
"123",1,3,3,2,2,2,2,2,4,2,2,2
"124",1,3,3,3,3,2,2,2,2,3,1,3
"125",1,2,3,2,2,2,3,3,4,2,2,3
"126",1,4,3,3,1,1,1,3,4,4,2,3
"127",1,2,3,3,3,2,1,1,3,3,2,2
"128",1,3,3,2,2,2,2,3,2,2,4,4
"129",1,2,2,2,3,2,1,1,3,3,1,2
"130",1,2,3,2,3,2,3,2,2,4,2,2
"131",1,3,3,2,3,2,1,3,4,3,2,3
"132",1,2,2,3,1,1,2,2,2,1,1,2
"133",1,2,2,2,2,3,1,2,2,2,1,2
"134",1,1,3,3,3,2,2,2,3,2,1,2
"135",1,3,3,3,3,3,3,3,3,3,1,2
"136",1,3,2,3,3,4,3,4,4,3,2,4
"137",1,2,2,3,2,1,1,1,3,2,2,1
"138",1,3,3,2,3,2,3,4,3,2,2,3
"139",1,3,3,3,2,3,1,2,3,3,2,3
"140",1,2,2,2,2,2,1,1,3,1,1,2
"141",1,4,4,3,1,2,3,4,4,3,2,3
"142",1,3,3,2,1,4,2,3,3,3,2,2
"143",1,3,1,2,2,3,1,3,3,2,1,3
"144",1,2,2,4,3,3,2,3,3,4,1,3
"145",1,3,2,3,1,2,3,2,3,3,2,3
"146",1,2,2,1,2,2,1,2,4,3,2,2
"147",1,1,2,1,3,2,2,1,3,2,1,2
"148",1,3,3,3,2,2,1,3,3,3,1,3
"149",1,2,2,3,1,1,2,2,3,2,2,1
"150",1,3,4,3,3,3,3,4,3,3,2,3
"151",1,3,1,3,4,2,2,2,3,3,2,2
"152",1,3,2,3,2,2,3,3,2,3,2,3
"153",1,2,2,2,3,1,1,2,4,1,2,3
"154",1,2,3,3,3,2,4,3,3,3,2,2
"155",1,2,3,2,1,3,1,2,3,4,1,3
"156",1,3,2,3,2,1,2,4,3,3,2,4
"157",1,2,2,2,3,1,2,2,2,2,2,2
"158",1,1,1,1,1,1,2,1,3,1,1,1
"159",1,4,2,3,4,4,3,4,4,3,2,2
"160",1,3,4,1,2,1,2,2,4,4,2,3
"161",1,2,4,3,2,3,1,3,3,4,2,3
"162",1,3,2,3,4,2,4,3,3,4,2,2
"163",1,3,2,2,2,2,3,2,3,3,1,2
"164",1,3,1,2,2,2,1,1,2,4,2,2
"165",1,1,1,2,1,2,2,1,2,2,1,2
"166",1,2,1,2,3,2,3,1,3,2,1,2
"167",1,2,3,2,3,2,3,2,2,2,2,2
"168",1,1,2,2,2,2,1,1,2,2,1,1
"169",1,3,2,2,2,2,1,2,2,3,2,2
"170",1,3,2,2,3,3,2,2,2,3,1,2
"171",1,2,2,2,3,2,2,1,3,3,2,2
"172",1,2,2,3,2,2,2,2,2,3,2,3
"173",1,2,2,2,3,2,2,3,4,2,1,1
"174",1,2,3,3,3,3,3,4,3,3,2,4
"175",1,4,2,2,3,3,4,4,3,4,2,4
"176",1,3,2,2,2,2,1,3,3,2,1,1
"177",1,3,2,2,3,1,3,4,3,2,2,3
"178",1,3,3,2,1,3,2,3,4,4,2,2
"179",1,2,2,2,2,3,2,1,3,2,2,2
"180",1,1,2,2,2,2,1,2,3,1,1,2
"181",1,3,3,3,3,3,1,3,4,3,3,3
"182",1,2,3,3,2,3,3,2,3,3,3,3
"183",1,2,1,2,1,1,1,1,2,2,1,2
"184",1,4,3,2,3,3,1,3,3,3,2,3
"185",1,3,2,3,2,1,2,1,1,3,1,2
"186",1,2,2,2,2,2,3,3,3,2,1,3
"187",1,3,3,2,4,3,2,2,4,3,1,3
"188",1,1,1,2,2,2,2,1,2,2,2,2
"189",1,1,1,2,2,3,1,1,2,1,1,1
"190",1,3,3,2,3,4,2,3,3,4,2,4
"191",1,1,2,3,3,2,2,1,3,2,1,2
"192",1,3,2,4,3,2,3,3,2,3,2,1
"193",1,2,3,3,4,2,2,3,2,3,2,4
"194",1,3,3,3,4,3,2,3,3,2,2,2
"195",1,3,2,2,2,2,1,2,3,3,1,2
"196",1,3,2,3,3,3,2,3,3,4,3,3
"197",1,2,2,3,3,2,2,3,3,4,2,2
"198",1,3,2,3,2,4,2,3,3,4,2,3
"199",1,3,3,3,3,3,1,2,4,4,1,4
"200",1,3,2,3,3,3,1,3,4,2,1,3
"201",1,2,2,3,2,3,2,3,4,3,2,3
"202",1,2,2,2,3,2,2,3,3,1,2,2
"203",1,2,2,3,2,4,3,3,3,2,3,4
"204",1,1,2,3,2,1,2,1,3,2,1,1
"205",1,2,3,1,3,2,2,2,3,3,2,2
"206",1,3,4,3,3,2,4,3,3,4,2,3
"207",1,4,3,4,3,4,3,3,4,4,3,4
"208",1,2,2,2,2,3,3,3,4,3,2,3
"209",1,3,3,3,3,2,2,4,4,3,3,3
"210",1,2,3,2,3,3,1,2,2,4,1,2
"211",1,1,2,2,1,2,2,1,1,3,1,2
"212",1,3,2,2,3,1,3,3,4,3,2,3
"213",1,1,3,3,2,1,3,1,3,3,2,3
"214",1,2,2,2,2,1,1,2,3,3,1,1
"215",1,2,4,3,2,1,3,3,3,3,2,3
"216",1,1,2,2,3,2,1,2,2,3,1,1
"217",1,1,3,1,1,2,2,1,1,2,1,2
"218",1,2,2,2,3,2,1,2,2,2,1,2
"219",1,3,2,3,3,1,2,1,2,2,1,1
"220",1,2,3,2,2,1,2,2,3,1,2,1
"221",1,2,3,3,3,2,1,4,3,4,2,2
"222",1,3,2,2,2,2,1,2,2,3,1,1
"223",1,3,3,3,3,3,4,2,4,3,2,3
"224",1,4,4,4,4,2,3,4,4,4,3,3
"225",1,3,3,2,2,3,1,3,2,3,2,2
"226",1,2,4,3,3,3,2,4,4,3,3,3
"227",1,2,2,2,2,2,1,1,3,2,2,1
"228",1,1,1,2,2,2,1,2,3,3,1,2
"229",1,1,1,3,2,3,2,3,1,3,2,2
"230",1,1,3,2,3,3,1,3,4,3,2,3
"231",1,1,2,2,2,3,1,1,2,3,2,2
"232",1,2,4,4,3,3,2,3,3,3,3,3
"233",1,3,2,4,1,2,2,4,3,4,3,3
"234",1,3,2,3,1,2,1,2,2,3,1,3
