"","matchday","home_team","away_team","goals_home","goals_away","result","attend"
"1",1,"Eintracht Sondershausen","Dynamo Dresden",1,0,1,3500
"2",1,"VfB Chemnitz","VFC Plauen",2,2,0,827
"3",1,"FSV Hoyerswerda","Energie Cottbus II",2,1,1,648
"4",1,"Bischofswerdaer FV 08","1.FC Magdeburg",2,1,1,1018
"5",1,"VfB Zittau","Wacker Nordhausen",1,2,2,684
"6",1,"FSV Zwickau","SV 1919 Grimma",3,0,1,2022
"7",1,"Stahl Riesa","VfL Halle 1896",0,1,2,1600
"8",1,"FV Dresden-Nord","Anhalt Dessau",2,2,0,150
"9",1,"Hallescher FC","VfB Leipzig",0,1,2,3777
"10",2,"VfB Leipzig","FV Dresden-Nord",4,3,1,3050
"11",2,"VfL Halle 1896","FSV Zwickau",0,1,2,1086
"12",2,"SV 1919 Grimma","VfB Zittau",0,0,0,260
"13",2,"Wacker Nordhausen","Bischofswerdaer FV 08",1,1,0,674
"14",2,"1.FC Magdeburg","FSV Hoyerswerda",3,1,1,1412
"15",2,"Energie Cottbus II","VfB Chemnitz",1,1,0,60
"16",2,"VFC Plauen","Eintracht Sondershausen",5,0,1,1357
"17",2,"Dynamo Dresden","Hallescher FC",4,0,1,4600
"18",2,"Anhalt Dessau","Stahl Riesa",1,4,2,417
"19",3,"Eintracht Sondershausen","Energie Cottbus II",0,1,2,1050
"20",3,"VfB Chemnitz","1.FC Magdeburg",0,4,2,765
"21",3,"FSV Hoyerswerda","Wacker Nordhausen",3,0,1,406
"22",3,"Bischofswerdaer FV 08","SV 1919 Grimma",3,1,1,320
"23",3,"VfB Zittau","VfL Halle 1896",1,5,2,437
"24",3,"FSV Zwickau","Anhalt Dessau",2,0,1,1783
"25",3,"Stahl Riesa","VfB Leipzig",0,0,0,2432
"26",3,"Dynamo Dresden","VFC Plauen",2,0,1,6900
"27",3,"Hallescher FC","FV Dresden-Nord",2,1,1,2035
"28",4,"VfB Leipzig","FSV Zwickau",0,2,2,4100
"29",4,"VfL Halle 1896","Bischofswerdaer FV 08",4,1,1,722
"30",4,"SV 1919 Grimma","FSV Hoyerswerda",2,5,2,150
"31",4,"Wacker Nordhausen","VfB Chemnitz",4,0,1,562
"32",4,"1.FC Magdeburg","Eintracht Sondershausen",8,0,1,968
"33",4,"Energie Cottbus II","Dynamo Dresden",1,1,0,1718
"34",4,"VFC Plauen","Hallescher FC",1,0,1,1828
"35",4,"FV Dresden-Nord","Stahl Riesa",1,1,0,370
"36",4,"Anhalt Dessau","VfB Zittau",0,1,2,138
"37",5,"Eintracht Sondershausen","Wacker Nordhausen",1,1,0,2100
"38",5,"VfB Chemnitz","SV 1919 Grimma",1,2,2,250
"39",5,"FSV Hoyerswerda","VfL Halle 1896",5,1,1,454
"40",5,"Bischofswerdaer FV 08","Anhalt Dessau",0,3,2,275
"41",5,"VfB Zittau","VfB Leipzig",0,2,2,825
"42",5,"FSV Zwickau","FV Dresden-Nord",6,1,1,1600
"43",5,"VFC Plauen","Energie Cottbus II",1,2,2,1271
"44",5,"Dynamo Dresden","1.FC Magdeburg",0,3,2,9085
"45",5,"Hallescher FC","Stahl Riesa",0,0,0,1469
"46",6,"VfB Leipzig","Bischofswerdaer FV 08",2,0,1,1850
"47",6,"VfL Halle 1896","VfB Chemnitz",1,0,1,604
"48",6,"SV 1919 Grimma","Eintracht Sondershausen",5,0,1,260
"49",6,"Wacker Nordhausen","Dynamo Dresden",1,2,2,1692
"50",6,"1.FC Magdeburg","VFC Plauen",5,0,1,2114
"51",6,"Energie Cottbus II","Hallescher FC",0,2,2,263
