"","idpatt","GF1","GF2","GF3","GF4","GF5","GF6","GF7","GF9"
"1",44,1,0,0,0,0,1,0,0
"2",29,1,1,0,0,0,1,0,0
"3",1,1,1,1,1,1,1,1,1
"4",3,1,1,1,1,1,1,1,1
"5",28,1,1,0,0,0,1,0,1
"6",50,0,0,0,0,0,0,0,0
"7",50,0,0,0,0,0,0,0,0
"8",36,1,1,0,1,0,0,0,0
"9",37,1,1,0,0,0,0,0,0
"10",25,1,1,1,1,0,0,0,0
"11",5,1,1,1,1,1,1,0,1
"12",31,1,1,0,1,0,0,1,0
"13",11,1,1,0,1,1,1,0,1
"14",3,1,1,1,1,1,1,1,1
"15",14,1,1,1,1,0,1,1,1
"16",1,1,1,1,1,1,1,1,1
"17",19,0,1,0,1,1,0,0,1
"18",43,1,0,0,1,0,0,0,0
"19",20,1,1,0,1,0,1,0,1
"20",29,1,1,0,0,0,1,0,0
"21",7,1,0,1,1,1,0,0,1
"22",27,1,1,1,0,0,1,0,0
"23",39,0,1,0,0,0,0,0,0
"24",15,1,1,1,1,0,1,0,1
"25",49,1,0,0,0,0,1,1,1
"26",20,1,1,0,1,0,1,0,1
"27",26,1,1,0,1,0,1,0,0
"28",45,1,0,0,0,0,0,0,0
"29",9,1,1,1,1,1,1,0,0
"30",10,1,1,1,1,1,0,0,0
"31",32,1,1,0,1,1,0,1,0
"32",15,1,1,1,1,0,1,0,1
"33",18,1,1,0,1,1,0,0,1
"34",12,1,0,0,1,1,1,0,1
"35",3,1,1,1,1,1,1,1,1
"36",48,0,0,0,0,0,0,0,0
"37",5,1,1,1,1,1,1,0,1
"38",45,1,0,0,0,0,0,0,0
"39",28,1,1,0,0,0,1,0,1
"40",42,1,0,0,0,0,0,0,1
"41",34,1,1,0,0,1,0,0,1
"42",22,1,1,0,1,0,0,0,1
"43",37,1,1,0,0,0,0,0,0
"44",16,1,1,1,0,0,1,0,1
"45",29,1,1,0,0,0,1,0,0
"46",35,0,1,0,0,0,0,0,1
"47",2,1,1,1,1,0,1,1,1
"48",30,0,0,0,0,0,1,0,0
"49",5,1,1,1,1,1,1,0,1
"50",45,1,0,0,0,0,0,0,0
"51",40,1,0,0,0,0,0,1,0
"52",37,1,1,0,0,0,0,0,0
"53",15,1,1,1,1,0,1,0,1
"54",38,1,1,1,0,0,0,0,0
"55",23,1,1,0,1,1,1,0,0
"56",6,1,0,1,1,1,1,0,1
"57",50,0,0,0,0,0,0,0,0
"58",28,1,1,0,0,0,1,0,1
"59",24,1,1,1,1,0,1,0,0
"60",37,1,1,0,0,0,0,0,0
"61",45,1,0,0,0,0,0,0,0
"62",46,0,0,1,1,0,0,0,0
"63",1,1,1,1,1,1,1,1,1
"64",36,1,1,0,1,0,0,0,0
"65",8,1,1,1,0,1,1,0,1
"66",1,1,1,1,1,1,1,1,1
"67",3,1,1,1,1,1,1,1,1
"68",37,1,1,0,0,0,0,0,0
"69",3,1,1,1,1,1,1,1,1
"70",35,0,1,0,0,0,0,0,1
"71",50,0,0,0,0,0,0,0,0
"72",47,0,0,1,0,0,0,0,0
"73",25,1,1,1,1,0,0,0,0
"74",23,1,1,0,1,1,1,0,0
"75",4,1,1,1,1,1,0,1,1
"76",21,0,1,0,1,0,1,0,1
"77",45,1,0,0,0,0,0,0,0
"78",1,1,1,1,1,1,1,1,1
"79",37,1,1,0,0,0,0,0,0
"80",1,1,1,1,1,1,1,1,1
"81",41,1,0,0,0,1,0,0,0
"82",3,1,1,1,1,1,1,1,1
"83",15,1,1,1,1,0,1,0,1
"84",5,1,1,1,1,1,1,0,1
"85",3,1,1,1,1,1,1,1,1
"86",17,1,0,0,1,0,1,1,1
"87",37,1,1,0,0,0,0,0,0
"88",45,1,0,0,0,0,0,0,0
"89",50,0,0,0,0,0,0,0,0
"90",50,0,0,0,0,0,0,0,0
"91",5,1,1,1,1,1,1,0,1
"92",22,1,1,0,1,0,0,0,1
"93",15,1,1,1,1,0,1,0,1
"94",13,1,1,1,1,0,1,1,1
"95",26,1,1,0,1,0,1,0,0
"96",25,1,1,1,1,0,0,0,0
"97",50,0,0,0,0,0,0,0,0
"98",33,1,1,0,1,1,0,0,0
"99",45,1,0,0,0,0,0,0,0
"100",15,1,1,1,1,0,1,0,1
