"","group","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1",1001,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0
"2",1001,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
"3",1001,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"4",1001,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"5",1001,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"6",1001,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
"7",1001,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
"8",1001,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"9",1001,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"10",1001,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0
"11",1001,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0
"12",1001,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
"13",1001,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"14",1001,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"15",1001,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0
"16",1001,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0
"17",1001,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"18",1001,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
"19",1001,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
"20",1001,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
"21",1002,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
"22",1002,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
"23",1002,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
"24",1002,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"25",1002,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"26",1002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27",1002,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
