"","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"1",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"2",1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0
"3",1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0
"4",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
"5",1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
"6",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"7",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"8",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0
"9",0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"10",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"11",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"12",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"13",1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
"14",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"15",1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0
"16",1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0
"17",0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
"18",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
"19",1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0
"20",1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
"21",1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1
"22",1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0
"23",1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0
"24",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
"25",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
"26",1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0
"27",1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"28",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
"29",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
"30",1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0
"31",1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
"32",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
"33",1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0
"34",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0
"35",1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
"36",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"37",1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0
"38",1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0
"39",1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0
"40",1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0
"41",1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
"42",1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"43",1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
"44",1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
"45",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
"46",1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
"47",1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0
"48",1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0
"49",1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
"50",1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
"51",1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1
"52",1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0
"53",0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
