"","idstud","rater","k1","k2","k3","k4","k5"
"1",1001,"R03",1,1,1,1,2
"2",1001,"R15",1,1,1,1,2
"3",1002,"R05",0,1,1,1,1
"4",1002,"R10",1,1,1,2,2
"5",1003,"R02",2,1,2,1,0
"6",1004,"R01",0,0,0,0,1
"7",1004,"R05",1,0,0,0,0
"8",1005,"R04",3,3,3,2,3
"9",1005,"R13",3,3,3,2,2
"10",1006,"R01",0,0,1,0,1
"11",1006,"R05",0,0,0,1,0
"12",1007,"R02",2,2,1,2,1
"13",1007,"R04",3,2,2,2,1
"14",1008,"R03",2,2,1,2,2
"15",1008,"R12",2,2,3,2,1
"16",1009,"R03",2,2,1,2,1
"17",1009,"R05",3,1,2,1,1
"18",1010,"R01",1,1,1,1,1
"19",1010,"R14",0,0,1,1,0
"20",1011,"R08",3,2,2,2,2
"21",1011,"R10",3,2,2,2,1
"22",1012,"R09",1,1,1,1,1
"23",1012,"R15",3,2,3,3,2
"24",1013,"R02",1,0,1,0,1
"25",1013,"R04",1,1,1,1,0
"26",1014,"R10",1,1,1,1,0
"27",1014,"R14",1,0,1,0,0
"28",1015,"R09",2,1,1,2,3
"29",1015,"R15",2,1,1,2,2
"30",1016,"R01",1,1,1,1,2
"31",1016,"R02",2,1,1,1,2
"32",1016,"R03",2,1,2,1,2
"33",1016,"R04",2,1,2,1,2
"34",1016,"R05",1,1,2,1,2
"35",1016,"R06",2,1,2,1,1
"36",1016,"R07",2,1,1,1,2
"37",1016,"R08",1,1,1,1,2
"38",1016,"R09",2,1,1,2,3
"39",1016,"R10",2,1,1,2,1
"40",1016,"R11",2,1,1,1,1
"41",1016,"R12",2,1,1,2,2
"42",1016,"R13",3,2,2,1,2
"43",1016,"R14",2,1,2,1,1
"44",1016,"R15",2,1,2,2,2
"45",1016,"R16",3,2,2,2,3
"46",1017,"R08",1,1,1,1,1
"47",1017,"R11",2,1,1,1,1
"48",1018,"R03",2,1,1,2,2
"49",1018,"R10",2,2,2,2,2
"50",1019,"R08",2,2,2,3,2
"51",1019,"R15",2,2,2,2,2
"52",1020,"R01",1,1,1,2,0
"53",1020,"R02",1,1,1,1,1
"54",1020,"R03",1,1,2,1,1
"55",1020,"R04",2,2,1,1,2
"56",1020,"R05",1,2,1,2,1
"57",1020,"R06",2,1,1,2,1
"58",1020,"R07",2,2,1,2,1
"59",1020,"R08",2,2,2,2,1
"60",1020,"R09",0,1,0,1,1
"61",1020,"R10",2,1,2,2,1
"62",1020,"R11",1,1,1,1,1
"63",1020,"R12",1,2,1,2,2
"64",1020,"R13",1,2,2,2,1
"65",1020,"R14",2,1,1,0,0
"66",1020,"R15",2,1,1,1,1
"67",1020,"R16",1,1,1,2,1
"68",1021,"R01",1,1,1,1,2
"69",1021,"R02",1,1,1,1,2
"70",1021,"R03",1,1,1,2,2
"71",1021,"R04",2,1,2,2,2
"72",1021,"R05",3,2,2,1,2
"73",1021,"R06",1,1,1,1,2
"74",1021,"R07",1,2,2,1,2
"75",1021,"R08",1,1,1,1,2
"76",1021,"R09",2,2,2,2,3
"77",1021,"R10",3,3,3,3,3
"78",1021,"R11",2,1,2,1,3
"79",1021,"R12",2,2,2,1,2
"80",1021,"R13",2,2,2,2,3
"81",1021,"R14",1,2,2,1,3
"82",1021,"R15",2,1,1,1,2
"83",1021,"R16",2,2,2,2,3
"84",1022,"R03",0,0,1,1,1
"85",1022,"R14",0,1,1,0,1
"86",1023,"R04",2,2,2,2,2
"87",1023,"R12",1,2,2,2,2
"88",1024,"R01",1,1,1,1,1
"89",1024,"R02",2,1,1,1,2
"90",1024,"R03",2,2,1,2,2
"91",1024,"R04",2,1,1,1,2
"92",1024,"R05",2,2,1,0,1
"93",1024,"R06",2,1,1,1,2
"94",1024,"R07",1,1,1,1,2
"95",1024,"R08",1,0,0,0,1
"96",1024,"R09",1,1,0,1,2
"97",1024,"R10",2,2,2,2,1
"98",1024,"R11",2,1,1,1,2
"99",1024,"R12",1,2,0,1,2
"100",1024,"R13",3,2,1,2,3
"101",1024,"R14",1,1,0,1,1
"102",1024,"R15",2,1,1,2,2
"103",1024,"R16",1,1,1,1,1
"104",1025,"R10",3,3,3,2,2
"105",1025,"R12",2,1,1,2,2
"106",1026,"R08",0,0,0,0,0
"107",1026,"R10",1,1,1,1,1
"108",1027,"R07",0,0,0,1,1
"109",1027,"R15",0,0,1,1,1
"110",1028,"R09",2,0,2,1,0
"111",1028,"R11",1,1,1,1,1
"112",1029,"R08",2,1,1,1,0
"113",1029,"R09",1,2,2,3,1
"114",1030,"R01",1,2,1,1,1
"115",1030,"R12",1,0,1,2,1
"116",1031,"R03",1,1,2,2,2
"117",1031,"R09",1,2,3,2,3
"118",1032,"R08",1,0,1,0,0
"119",1032,"R09",1,1,1,0,1
"120",1033,"R01",1,1,2,2,2
"121",1033,"R06",2,2,2,2,2
"122",1034,"R11",1,1,1,1,1
"123",1034,"R14",2,1,1,1,1
"124",1035,"R10",3,3,3,3,2
