"","I101","I102","I103","I104","I105","I106","I107","I108","I109","I110","I111","I113","I114","I115","I116","I117","I118","I119","I120","I121","I122","I123","I124","I125","I126","I127","I128","I129","I130","I131","I132","I133","I134","I135","I136","I137","I138","I139","I140","I141","I142","I143","I144","I145","I146","I147","I148","I149","I150","I151","I152","I154","I155","I156","I157","I158","I159","I160","I161","I162","I163","I164","I165","I166","I167","I168","I169","I170","I171","I172","I173","I174","I175","I176","I177","I178","I179"
"1",0,NA,1,0,1,NA,NA,1,"F",3,9,NA,NA,9,NA,"C",NA,2,NA,"B",2,3,"A",NA,NA,"E",1,4,1,NA,NA,3,2,NA,2,3,0,3,NA,3,"A",9,2,3,3,2,NA,NA,NA,2,2,0,3,3,NA,2,NA,NA,NA,NA,NA,NA,"F",NA,2,"D","C",1,NA,NA,3,NA,NA,NA,3,2,"E"
"2",0,NA,1,0,1,NA,NA,1,"B",3,9,NA,NA,9,NA,"F",NA,2,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,2,1,0,3,NA,1,"A",9,2,2,3,2,NA,NA,NA,2,3,9,2,2,NA,3,NA,NA,NA,NA,NA,NA,"D",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,1,3,"C"
"3",0,2,NA,0,NA,1,2,NA,"8",NA,0,2,1,0,3,"A",2,NA,1,"B",NA,NA,"D",2,3,"C",NA,NA,NA,1,2,NA,NA,2,NA,NA,0,NA,1,NA,"F",8,NA,NA,NA,NA,1,3,2,NA,NA,8,NA,NA,3,NA,4,2,3,2,3,3,"E",2,NA,"F","A",NA,1,2,NA,2,1,2,NA,NA,"D"
"4",2,1,NA,9,NA,2,2,NA,"E",NA,9,3,3,9,1,"C",3,NA,3,"B",NA,NA,"9",1,3,"C",NA,NA,NA,2,2,NA,NA,1,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,2,1,2,NA,NA,9,NA,NA,3,NA,1,1,2,1,2,1,"F",1,NA,"9","B",NA,1,9,NA,2,2,3,NA,NA,"E"
"5",0,2,NA,1,NA,1,2,NA,"B",NA,9,3,2,9,1,"C",1,NA,3,"B",NA,NA,"E",3,3,"D",NA,NA,NA,1,1,NA,NA,2,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,3,NA,1,1,2,2,1,1,"F",1,NA,"A","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"6",0,1,NA,1,NA,1,2,NA,"A",NA,9,1,3,9,2,"F",1,NA,2,"B",NA,NA,"E",1,1,"B",NA,NA,NA,1,2,NA,NA,1,NA,NA,0,NA,3,NA,"D",9,NA,NA,NA,NA,1,3,2,NA,NA,0,NA,NA,3,NA,8,3,1,1,2,3,"C",1,NA,"D","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"7",0,3,NA,1,NA,1,3,NA,"B",NA,0,3,2,0,1,"F",1,NA,3,"B",NA,NA,"D",3,3,"E",NA,NA,NA,2,2,NA,NA,1,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,4,NA,1,2,2,3,1,1,"C",1,NA,"A","C",NA,2,3,NA,2,2,1,NA,NA,"E"
"8",0,2,NA,9,NA,3,2,NA,"F",NA,9,3,3,9,1,"F",3,NA,3,"B",NA,NA,"E",1,2,"C",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,8,NA,NA,1,NA,1,2,2,1,2,1,"C",4,NA,"B","A",NA,2,2,NA,1,2,3,NA,NA,"E"
"9",0,NA,1,0,2,NA,NA,3,"B",1,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"D",NA,NA,"F",1,4,1,NA,NA,3,2,NA,3,1,0,3,NA,3,"A",0,2,3,3,3,NA,NA,NA,3,2,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"8",NA,2,"A","C",2,NA,NA,3,NA,NA,NA,2,3,"E"
"10",0,NA,1,1,2,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",9,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",1,NA,NA,3,NA,NA,NA,2,2,"E"
"11",0,NA,2,1,2,NA,NA,1,"D",3,1,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"F",NA,NA,"B",1,4,3,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",0,2,3,3,3,NA,NA,NA,3,2,1,2,2,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,3,"E"
"12",0,NA,1,1,1,NA,NA,1,"A",3,1,NA,NA,1,NA,"C",NA,2,NA,"B",3,3,"E",NA,NA,"F",2,4,2,NA,NA,4,2,NA,3,1,0,3,NA,3,"A",0,1,3,2,2,NA,NA,NA,2,3,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"D","C",2,NA,NA,1,NA,NA,NA,3,1,"E"
"13",0,NA,1,1,2,NA,NA,1,"A",1,9,NA,NA,9,NA,"C",NA,2,NA,"B",2,3,"E",NA,NA,"B",1,4,2,NA,NA,3,2,NA,3,1,0,3,NA,2,"A",9,3,3,3,3,NA,NA,NA,3,3,9,3,3,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,2,"D","C",3,NA,NA,3,NA,NA,NA,3,3,"E"
"14",3,NA,2,1,1,NA,NA,1,"9",3,9,NA,NA,9,NA,"F",NA,2,NA,"B",3,3,"9",NA,NA,"F",1,4,3,NA,NA,4,2,NA,3,1,0,3,NA,3,"A",9,1,3,3,2,NA,NA,NA,1,3,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,3,"9","C",3,NA,NA,3,NA,NA,NA,2,2,"E"
"15",0,3,NA,9,NA,1,2,NA,"B",NA,9,1,2,9,1,"F",1,NA,2,"B",NA,NA,"E",1,2,"A",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,3,NA,1,2,2,2,1,3,"C",1,NA,"C","F",NA,1,3,NA,2,2,3,NA,NA,"E"
"16",0,1,NA,0,NA,3,2,NA,"D",NA,9,1,3,9,2,"E",2,NA,3,"F",NA,NA,"E",1,3,"B",NA,NA,NA,2,3,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,2,NA,1,1,3,1,2,2,"B",2,NA,"A","C",NA,2,1,NA,1,2,2,NA,NA,"D"
"17",0,NA,1,1,1,NA,NA,1,"D",1,9,NA,NA,9,NA,"F",NA,2,NA,"B",3,3,"A",NA,NA,"B",1,4,1,NA,NA,3,1,NA,2,1,0,3,NA,3,"A",9,1,3,3,2,NA,NA,NA,2,3,9,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"F","E",2,NA,NA,3,NA,NA,NA,2,2,"E"
"18",2,1,NA,1,NA,1,2,NA,"A",NA,9,1,2,9,2,"F",3,NA,3,"B",NA,NA,"9",1,1,"B",NA,NA,NA,2,3,NA,NA,4,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,1,2,NA,NA,9,NA,NA,3,NA,1,2,2,1,1,1,"C",1,NA,"9","C",NA,2,1,NA,2,2,2,NA,NA,"E"
"19",0,NA,1,1,2,NA,NA,1,"F",3,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"D",NA,NA,"B",1,4,1,NA,NA,3,2,NA,2,1,0,3,NA,2,"A",9,1,3,3,2,NA,NA,NA,3,1,9,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,1,3,"E"
"20",0,NA,1,1,2,NA,NA,3,"A",3,0,NA,NA,0,NA,"E",NA,2,NA,"B",2,3,"E",NA,NA,"F",1,4,3,NA,NA,3,3,NA,3,3,0,3,NA,2,"D",0,3,3,3,3,NA,NA,NA,3,2,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,2,"B","C",3,NA,NA,1,NA,NA,NA,3,3,"A"
