"","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37"
"1",1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"2",1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,4,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"3",1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,4,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1
"4",1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,3,3,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1
"5",1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0
"6",1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1
"7",1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
"8",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
"9",1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,4,3,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
"11",1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,4,2,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"12",1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,4,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"13",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0
"15",1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,4,2,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0
"16",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,4,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"17",1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,2,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
"18",1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,3,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"19",1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,4,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
"20",1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,4,4,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
"21",1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
"22",1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
"23",1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1
"24",1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,4,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1
"25",1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,4,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1
"26",1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"27",1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,4,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1
"28",1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1
"29",1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,2,3,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1
