"","G30801","G30802","G30803","G30804","G30805","G30806","G30807","G30808","G30809","G30810","G30811","G30812","G30813","G30814","G30815","G30816","G30817","G30818","G30819","G30820"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
"3",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1
"4",1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"6",0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"7",0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"9",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"11",1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
"12",0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
"13",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1
"14",0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"15",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"18",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"19",1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
"22",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"23",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
"25",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"27",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"30",1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
"31",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"32",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
"33",1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
"34",1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1
"35",0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
"36",1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"37",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
"38",1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"39",1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0
"40",1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
"41",0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1
"42",1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1
"43",0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
"44",0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"45",1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1
"46",1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
"47",1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"48",0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
"49",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"50",0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"51",0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1
"52",1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"53",1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0
"54",1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"56",0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
"57",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"58",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
"59",0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
"60",0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
"62",1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0
"63",1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0
"64",1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0
"65",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"66",1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1
"67",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"68",1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
"69",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
"70",0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
"71",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"72",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"73",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"74",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"75",1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
"76",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"77",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
"78",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"79",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"80",1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1
"81",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"82",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"83",1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"84",1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"85",1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
"86",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0
"87",1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"88",1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0
"89",0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"90",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"91",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"92",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"94",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"95",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
"96",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
"97",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"101",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"102",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"103",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"104",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"105",1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"106",0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"107",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
"109",1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"110",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"111",1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"112",1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"113",1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"114",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"115",0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"116",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
"117",0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"118",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"119",0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0
"120",1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
"121",0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1
"122",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1
"123",1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"124",1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
"125",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"126",0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
"127",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"128",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
"129",1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"130",1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"131",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"133",0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
"134",1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"135",0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"136",1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"137",1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"138",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
"139",0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"140",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"141",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0
"142",1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"143",1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
"144",1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
"145",1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1
"146",1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"147",1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"148",1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"149",1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0
"150",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"151",1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0
"152",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"153",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0
"154",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0
"155",0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"156",1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1
"157",1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0
"158",1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"159",0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"160",1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1
"161",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0
"162",1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"163",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1
"165",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
"166",1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
"167",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"168",0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
"169",1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"170",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"171",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"172",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"173",1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
"174",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"175",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"176",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
"177",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"178",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"179",1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1
"180",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"181",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"182",1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"183",1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"184",1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0
"185",0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1
"186",0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"187",1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1
"188",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
"189",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
"190",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
"191",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"192",1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
"193",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0
"194",1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
"195",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"196",0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"197",1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1
"198",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"199",0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
"200",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
