"","idgroup","item1","item2"
"1",1,NA,4
"2",1,NA,4
"3",1,NA,4
"4",1,NA,4
"5",1,NA,4
"6",1,NA,4
"7",1,NA,4
"8",1,NA,2
"9",1,NA,4
"10",1,NA,4
"11",1,NA,4
"12",1,NA,3
"13",1,NA,4
"14",1,NA,4
"15",1,NA,4
"16",2,NA,4
"17",2,NA,4
"18",2,NA,4
"19",2,NA,4
"20",2,NA,4
"21",2,NA,3
"22",2,NA,4
"23",2,NA,4
"24",2,NA,4
"25",2,NA,3
"26",3,NA,4
"27",3,NA,4
"28",3,NA,4
"29",3,NA,4
"30",3,NA,4
"31",3,NA,4
"32",3,NA,4
"33",3,NA,4
"34",3,NA,4
"35",3,NA,4
"36",3,NA,3
"37",3,NA,3
"38",3,NA,4
"39",3,NA,4
"40",3,NA,4
"41",3,NA,4
"42",3,NA,4
"43",3,NA,4
"44",3,NA,4
"45",3,NA,4
"46",3,NA,4
"47",3,NA,4
"48",3,NA,4
"49",4,NA,4
"50",4,NA,4
"51",4,NA,4
"52",4,NA,4
"53",4,NA,4
"54",4,NA,4
"55",4,NA,4
"56",4,NA,4
"57",4,NA,4
"58",4,NA,3
"59",4,NA,4
"60",4,NA,4
"61",4,NA,4
"62",4,NA,4
"63",4,NA,4
"64",4,NA,4
"65",4,NA,4
"66",4,NA,4
"67",4,NA,3
"68",4,NA,4
"69",4,NA,4
"70",4,NA,3
"71",5,NA,4
"72",5,NA,4
"73",5,NA,4
"74",5,NA,4
"75",5,NA,4
"76",5,NA,4
"77",5,NA,4
"78",5,NA,2
"79",5,NA,4
"80",6,NA,1
"81",6,NA,4
"82",6,NA,4
"83",6,NA,4
"84",6,NA,4
"85",6,NA,4
"86",6,NA,3
"87",6,NA,4
"88",6,NA,3
"89",7,NA,4
"90",7,NA,4
"91",7,NA,4
"92",7,NA,4
"93",7,NA,4
"94",7,NA,3
"95",7,NA,4
"96",7,NA,4
"97",7,NA,4
"98",7,NA,4
"99",7,NA,4
"100",7,NA,4
"101",7,NA,4
"102",7,NA,4
"103",7,NA,4
"104",8,NA,3
"105",8,NA,3
"106",8,NA,3
"107",8,NA,4
"108",8,NA,4
"109",8,NA,3
"110",8,NA,4
"111",8,NA,2
"112",8,NA,4
"113",8,NA,4
"114",8,NA,4
"115",8,NA,4
"116",8,NA,3
"117",8,NA,4
"118",8,NA,4
"119",8,NA,4
"120",8,NA,3
"121",8,NA,4
"122",9,3,NA
"123",9,0,NA
"124",9,2,NA
"125",9,3,NA
"126",9,NA,4
"127",9,NA,4
"128",9,NA,4
"129",9,NA,4
"130",9,NA,4
"131",9,NA,4
"132",9,NA,4
