"","study","item","a","b"
"1","study1","M133",1.23793894777572,-1.16607018194824
"2","study1","M176",0.957296421011984,0.358439308953348
"3","study1","M214",1.83010721154526,1.06570665943094
"4","study1","M444",1.92701247342981,1.17159339334516
"5","study1","M446",2.29804293548975,0.00791607503007524
"6","study2","M133",1.22711761579107,-1.23242822469104
"7","study2","M202",1.80896981326596,1.24299625473861
"8","study2","M212",0.568401208057502,1.99832082537913
"9","study2","M214",1.85514932566771,1.09673402355144
"10","study2","M259",1.44355609557945,-0.838411338368358
"11","study2","M303",1.26031410684356,-1.08691248773913
"12","study2","M353",1.33896026323473,-0.596119143331435
"13","study2","M355",0.505122796817657,1.52456703417096
"14","study2","M446",2.17831987871448,-0.243430246166721
"15","study2","M449",2.27673947504707,-0.548056850507262
"16","study3","M176",1.0081534957238,0.384711239341427
"17","study3","M212",0.644704591528055,1.56572490402145
"18","study3","M214",2.32818814167672,1.0266811077483
"19","study3","M259",1.01027527886875,-1.47751582821002
"20","study3","M303",0.964654479922588,-1.26879121691639
"21","study3","M444",1.75627509697185,1.10267325149399
"22","study3","M446",1.8169834034182,-0.10474569406312
