"","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15"
"A01",0.49,0.44,0.38,0.3,0.29,0.13,0.23,0.16,0.16,0.23,0.21,0.31,0.31,0.25,0.09
"A02",0.44,0.77,0.56,0.41,0.41,0.17,0.3,0.22,0.21,0.32,0.27,0.4,0.43,0.32,0.12
"A03",0.38,0.56,0.68,0.35,0.35,0.15,0.27,0.19,0.18,0.28,0.23,0.36,0.37,0.29,0.12
"A04",0.3,0.41,0.35,0.46,0.27,0.11,0.21,0.14,0.15,0.21,0.19,0.27,0.28,0.22,0.08
"A05",0.29,0.41,0.35,0.27,0.48,0.11,0.21,0.13,0.14,0.22,0.19,0.27,0.29,0.22,0.08
"A06",0.13,0.17,0.15,0.11,0.11,0.2,0.09,0.08,0.08,0.1,0.09,0.13,0.12,0.1,0.05
"A07",0.23,0.3,0.27,0.21,0.21,0.09,0.36,0.13,0.13,0.17,0.15,0.22,0.23,0.19,0.07
"A08",0.16,0.22,0.19,0.14,0.13,0.08,0.13,0.26,0.09,0.12,0.11,0.14,0.16,0.13,0.06
"A09",0.16,0.21,0.18,0.15,0.14,0.08,0.13,0.09,0.24,0.12,0.12,0.16,0.17,0.14,0.05
"A10",0.23,0.32,0.28,0.21,0.22,0.1,0.17,0.12,0.12,0.4,0.15,0.24,0.23,0.18,0.07
"A11",0.21,0.27,0.23,0.19,0.19,0.09,0.15,0.11,0.12,0.15,0.3,0.2,0.22,0.16,0.06
"A12",0.31,0.4,0.36,0.27,0.27,0.13,0.22,0.14,0.16,0.24,0.2,0.47,0.3,0.25,0.08
"A13",0.31,0.43,0.37,0.28,0.29,0.12,0.23,0.16,0.17,0.23,0.22,0.3,0.49,0.26,0.09
"A14",0.25,0.32,0.29,0.22,0.22,0.1,0.19,0.13,0.14,0.18,0.16,0.25,0.26,0.38,0.07
"A15",0.09,0.12,0.12,0.08,0.08,0.05,0.07,0.06,0.05,0.07,0.06,0.08,0.09,0.07,0.16
