"","item","testlet","study1","study2"
"1","R055Q01","R055",-1.459,-1.525
"2","R055Q02","R055",0.474,0.509
"3","R055Q03","R055",0.012,-0.013
"4","R055Q05","R055",-0.771,-0.832
"5","R067Q01","R067",-2.135,-1.861
"6","R067Q04","R067",0.08,0.327
"7","R067Q05","R067",-0.264,-0.109
"8","R102Q04A","R102",1.422,1.607
"9","R102Q05","R102",0.668,0.98
"10","R104Q01","R104",-1.254,-1.406
"11","R104Q02","R104",1.33,1.326
"12","R104Q05","R104",2.475,2.165
"13","R111Q01","R111",-0.377,-0.371
"14","R111Q02B","R111",1.171,1.226
"15","R111Q06B","R111",0.762,0.809
"16","R219Q02","R219",-1.423,-1.139
"17","R220Q01","R220",0.901,1.028
"18","R220Q02B","R220",-0.179,0.031
"19","R220Q04","R220",-0.005,0.2
"20","R220Q05","R220",-1.347,-1.251
"21","R220Q06","R220",-0.435,-0.209
"22","R227Q01","R227",0.172,0.234
"23","R227Q02T","R227",0.093,0.135
"24","R227Q03","R227",0.225,0.259
"25","R227Q06","R227",-0.888,-0.665
