"","study","item","a","b"
"1","study1","M133",1,-1.58619591222904
"2","study1","M176",1,0.407619285174627
"3","study1","M214",1,1.78030645574107
"4","study1","M444",1,2.00381869368006
"5","study1","M446",1,0.00861581665753858
"6","study2","M133",1,-1.54896467713818
"7","study2","M202",1,1.93335526808926
"8","study2","M212",1,1.40500282174815
"9","study2","M214",1,1.72465298308
"10","study2","M259",1,-1.15688267659799
"11","study2","M303",1,-1.38733345841206
"12","study2","M353",1,-0.785507239825813
"13","study2","M355",1,0.974237629121575
"14","study2","M446",1,-0.405246464981829
"15","study2","M449",1,-0.9295583925065
"16","study3","M176",1,0.409732447210959
"17","study3","M212",1,1.18826176777722
"18","study3","M214",1,1.71668899189702
"19","study3","M259",1,-1.59315300730862
"20","study3","M303",1,-1.32579924704387
"21","study3","M444",1,1.64390065551679
"22","study3","M446",1,-0.165343539821521
