"","group","X1","X2","X3","X4","X5"
"1",1,2,2,3,2,2
"2",1,3,2,4,3,3
"3",1,4,4,5,3,3
"4",1,3,3,4,2,2
"5",1,3,3,2,1,3
"6",1,3,2,3,3,3
"7",1,1,2,3,1,1
"8",1,4,3,4,4,3
"9",1,4,4,4,4,2
"10",1,3,3,2,3,2
"11",1,3,2,2,1,2
"12",1,3,3,5,3,3
"13",1,4,4,6,3,4
"14",1,3,4,3,2,2
"15",1,3,3,3,1,4
"16",1,2,2,3,2,3
"17",1,4,4,4,4,4
"18",1,3,3,4,2,1
"19",1,5,5,3,3,3
"20",1,3,4,5,3,2
"21",2,4,3,3,1,3
"22",2,4,3,2,2,3
"23",2,3,3,3,3,2
"24",2,3,2,3,2,2
"25",2,3,3,4,2,1
"26",2,3,3,3,3,3
"27",2,5,4,3,3,3
"28",2,3,2,3,2,2
"29",2,5,4,2,5,4
"30",2,3,3,3,1,3
"31",2,5,5,3,3,4
"32",2,3,3,2,2,2
"33",2,4,3,3,4,2
"34",2,3,2,5,1,2
"35",2,3,3,3,1,2
"36",2,3,3,3,3,3
"37",2,3,3,4,3,2
"38",2,4,3,1,4,2
"39",2,3,1,3,1,2
"40",2,4,4,2,3,4
"41",3,4,4,4,3,1
"42",3,4,3,4,2,4
"43",3,3,3,4,2,2
"44",3,4,4,3,3,1
"45",3,4,3,3,4,2
"46",3,2,2,4,2,2
"47",3,3,2,3,2,2
"48",3,4,2,4,3,3
"49",3,3,2,3,2,3
"50",3,3,3,2,2,1
"51",3,2,2,3,3,3
"52",3,3,2,4,1,1
"53",3,2,4,4,3,4
"54",3,3,2,2,1,2
"55",3,4,3,4,2,2
"56",3,3,2,4,3,4
"57",3,3,2,4,1,1
"58",3,3,2,3,3,3
"59",3,2,2,3,1,1
"60",3,2,1,3,2,2
"61",4,3,2,3,1,3
"62",4,3,3,3,2,1
"63",4,2,2,3,2,2
"64",4,3,3,3,3,3
"65",4,2,2,3,2,2
"66",4,4,5,2,2,3
"67",4,3,3,4,1,3
"68",4,3,3,4,2,3
"69",4,2,4,4,3,3
"70",4,4,3,4,3,5
"71",4,2,3,4,3,2
"72",4,3,4,3,2,2
"73",4,3,3,4,2,3
"74",4,3,3,1,1,2
"75",4,3,4,3,2,2
"76",4,3,4,5,3,2
"77",4,3,3,3,2,2
"78",4,4,3,2,4,2
"79",4,3,2,3,3,3
"80",4,3,3,4,1,1
"81",5,3,2,2,2,3
"82",5,2,2,3,1,4
"83",5,2,1,4,2,1
"84",5,3,2,2,2,2
"85",5,3,2,2,3,2
"86",5,2,1,4,1,1
"87",5,2,1,1,2,1
"88",5,3,3,3,4,2
"89",5,3,3,3,2,1
"90",5,2,2,4,2,3
"91",5,1,2,4,2,3
"92",5,3,1,3,2,3
"93",5,2,2,2,2,2
"94",5,2,1,3,1,2
"95",5,3,1,4,2,2
"96",5,3,2,3,1,2
"97",5,3,2,4,3,3
"98",5,1,1,4,2,1
"99",5,3,3,2,2,1
"100",5,2,1,3,1,2
"101",6,4,2,3,3,3
"102",6,2,2,4,3,1
"103",6,4,4,4,2,3
"104",6,2,0,4,1,1
"105",6,3,3,2,2,3
"106",6,2,1,3,2,2
"107",6,4,3,3,2,3
"108",6,4,4,4,3,3
"109",6,2,1,2,1,2
"110",6,3,2,3,3,2
"111",6,3,1,2,2,2
"112",6,3,3,4,4,3
"113",6,3,3,2,3,2
"114",6,3,2,4,3,3
"115",6,3,1,4,3,2
"116",6,3,2,4,3,2
"117",6,3,3,5,2,1
"118",6,3,4,4,3,2
"119",6,3,4,4,3,3
"120",6,3,4,3,3,3
"121",7,2,0,3,2,2
"122",7,2,0,3,2,1
"123",7,3,2,2,3,3
"124",7,3,2,4,2,2
"125",7,4,3,4,3,3
"126",7,3,3,2,1,1
"127",7,4,4,4,2,3
"128",7,3,2,3,2,3
"129",7,3,4,4,3,2
"130",7,3,2,3,2,3
"131",7,3,3,2,3,3
"132",7,3,2,2,2,2
"133",7,3,3,2,2,2
"134",7,3,4,5,1,3
"135",7,3,2,3,2,2
"136",7,3,2,2,2,1
"137",7,3,3,4,2,3
"138",7,3,2,2,2,3
"139",7,2,1,2,1,1
"140",7,3,3,4,3,1
"141",8,3,3,3,2,3
"142",8,3,4,4,1,3
"143",8,4,3,2,3,4
"144",8,5,2,4,2,5
"145",8,3,2,3,2,3
"146",8,3,3,3,2,2
"147",8,2,2,4,2,1
"148",8,3,3,3,2,1
"149",8,4,3,3,3,4
"150",8,4,4,3,3,3
"151",8,4,3,3,3,3
"152",8,4,4,3,3,4
"153",8,4,4,3,2,3
"154",8,4,3,4,3,3
"155",8,2,3,4,1,2
"156",8,3,3,3,1,2
"157",8,3,3,4,3,2
"158",8,4,4,4,2,3
"159",8,4,4,3,3,4
"160",8,4,4,5,4,3
"161",9,4,2,3,2,2
"162",9,3,3,2,2,3
"163",9,4,5,4,2,4
"164",9,5,4,7,3,4
"165",9,3,2,3,2,2
"166",9,3,2,4,3,2
"167",9,3,3,3,3,2
"168",9,2,2,4,2,1
"169",9,5,4,6,2,3
"170",9,4,3,4,3,3
"171",9,3,2,4,1,3
"172",9,3,2,4,1,1
"173",9,3,3,3,2,3
"174",9,2,4,4,3,2
"175",9,5,4,5,4,3
"176",9,3,3,2,2,1
"177",9,4,3,3,3,2
"178",9,4,4,5,3,4
"179",9,3,2,3,4,3
"180",9,3,3,4,1,2
"181",10,2,2,2,0,2
"182",10,4,2,4,2,2
"183",10,3,2,3,2,1
"184",10,3,1,3,3,1
"185",10,3,1,2,1,2
"186",10,3,2,4,3,3
"187",10,4,5,4,3,3
"188",10,2,2,3,2,2
"189",10,3,3,3,3,3
"190",10,4,3,4,2,3
"191",10,3,2,4,3,2
"192",10,3,2,3,2,2
"193",10,2,3,4,3,1
"194",10,3,2,4,0,3
"195",10,2,1,3,2,1
"196",10,2,1,2,2,2
"197",10,2,2,2,2,3
"198",10,3,3,4,3,3
"199",10,3,3,3,2,2
"200",10,3,2,3,2,3
"201",11,4,4,3,3,3
"202",11,2,1,3,2,1
"203",11,3,2,4,3,3
"204",11,3,3,4,4,4
"205",11,4,2,4,3,4
"206",11,4,4,4,3,2
"207",11,4,4,5,3,3
"208",11,2,3,3,1,2
"209",11,3,3,3,4,3
"210",11,5,4,4,3,3
"211",11,3,3,4,2,3
"212",11,4,5,4,3,4
"213",11,4,4,5,3,2
"214",11,4,3,4,4,3
"215",11,3,3,5,4,3
"216",11,3,2,4,3,2
"217",11,4,3,3,3,2
"218",11,3,2,3,2,2
"219",11,3,4,4,3,3
"220",11,4,4,3,3,3
"221",12,3,3,4,3,3
"222",12,4,3,2,4,2
"223",12,3,4,4,3,4
"224",12,5,6,5,4,3
"225",12,3,3,4,2,3
"226",12,3,4,1,3,2
"227",12,4,5,2,5,3
"228",12,2,3,4,3,2
"229",12,3,3,2,4,2
"230",12,3,4,2,2,2
"231",12,4,4,3,3,4
"232",12,3,3,3,3,3
"233",12,3,2,2,2,1
"234",12,3,4,2,2,3
"235",12,2,2,2,2,1
"236",12,3,4,4,2,4
"237",12,2,2,4,1,1
"238",12,3,4,3,3,3
"239",12,3,4,2,2,4
"240",12,2,3,4,2,2
"241",13,4,1,4,3,2
"242",13,3,2,3,2,2
"243",13,1,1,4,0,2
